seed,asset
1,NYSE:FL
1,NYSE:CMP
1,NASDAQ:FAST
1,NYSE:PBI
1,NASDAQ:POOL
1,NASDAQ:JOUT
1,NASDAQ:MDB
1,NASDAQ:CMCSA
1,NYSE:ROL
1,NASDAQ:SRCE
1,NASDAQ:MGPI
1,NYSE:CHGG
1,NYSE:LEN
1,NYSE:VST
1,NASDAQ:FIVN
1,NASDAQ:PNTG
1,NYSE:QSR
1,NASDAQ:LSEA
1,NYSE:GNW
1,NYSE:WTRG
1,NYSE:VZ
1,NYSE:AN
1,NASDAQ:VCYT
1,NYSE:LPX
1,NASDAQ:AVGO
1,NASDAQ:PTCT
1,NYSE:KW
1,NASDAQ:QURE
1,NYSE:MOH
1,NASDAQ:ALGN
1,NYSE:UBER
1,NYSE:GHC
1,NYSE:NPO
1,NASDAQ:NTNX
1,NASDAQ:RYTM
1,NYSE:HII
1,NASDAQ:MTRX
1,NYSE:HTH
1,NYSE:ENVA
1,NYSE:CLH
1,NYSE:MO
1,NYSE:SFL
1,NASDAQ:QRVO
1,NASDAQ:XP
1,NASDAQ:SEDG
1,NYSE:IT
1,NYSE:BBDC
1,NASDAQ:TROW
1,NASDAQ:SHYF
1,NASDAQ:TCPC
1,NASDAQ:FATE
1,NASDAQ:TCMD
1,NYSE:HPQ
1,NYSE:NUE
1,NASDAQ:CRDF
1,NASDAQ:PPBI
1,NYSE:GKOS
1,NYSE:DDS
1,NASDAQ:LIVN
1,NASDAQ:WDC
1,NASDAQ:OTEX
1,NYSE:SMP
1,NASDAQ:ECPG
1,NYSE:SFBS
1,NYSE:QTWO
1,NASDAQ:SUPN
1,NASDAQ:LSTR
1,NASDAQ:SATS
1,NASDAQ:NBIX
1,NYSE:CIVI
1,NYSE:RRC
1,NASDAQ:NBTB
1,NASDAQ:ZM
1,NYSE:VMI
1,NYSE:GM
1,NYSE:SRE
1,NASDAQ:ROST
1,NYSE:PKG
1,NYSE:EVRI
1,NYSE:PGR
1,NASDAQ:TCBI
1,NASDAQ:OCSL
1,NYSE:TPR
1,NYSE:JWN
1,NASDAQ:BOKF
1,NASDAQ:ICUI
1,NYSE:WAT
1,NASDAQ:ARCC
1,NYSE:LXU
1,NASDAQ:MSEX
1,NASDAQ:TRS
1,NYSE:OLN
1,NASDAQ:IDXX
1,NASDAQ:NMFC
1,NASDAQ:CYRX
1,NYSE:NVR
1,NYSE:OC
1,NYSE:HESM
1,NYSE:JPM
1,NYSE:FVRR
