date,seed,strategy,asset,target_weight
2020-07-06,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-07,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-08,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-09,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-10,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-13,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-14,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-15,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-16,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,2.6004896018942025e-23
2020-07-17,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-20,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-21,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-22,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-23,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,8.268464294137308e-24
2020-07-24,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-27,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-28,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,7.759483537956415e-24
2020-07-29,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,1.1417221948693815e-22
2020-07-30,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-07-31,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-03,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-04,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-05,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-06,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,9.944105394035408e-25
2020-08-07,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-10,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-11,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-12,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,7.42328901483391e-24
2020-08-13,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-14,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-17,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-18,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,8.171716844108998e-23
2020-08-19,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-20,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,2.3800883458476573e-23
2020-08-21,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,1.5662688523601773e-22
2020-08-24,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-25,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-26,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-08-27,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,3.879313334831834e-24
2020-08-28,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,5.613435590757924e-23
2020-08-31,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-01,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-02,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,3.8952193052218196e-23
2020-09-03,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,4.6994093176188525e-23
2020-09-04,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-08,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-09,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-10,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-11,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,7.37266950432453e-23
2020-09-14,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-15,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-16,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,1.5027813418601864e-23
2020-09-17,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-18,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-21,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-22,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-23,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-24,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,1.535880347812407e-23
2020-09-25,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,4.6198302816491795e-23
2020-09-28,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,5.357739126179888e-23
2020-09-29,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-09-30,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,3.832904712691569e-23
2020-10-01,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-10-02,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,1.5236288991026145e-23
2020-10-05,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,3.7171471062055706e-23
2020-10-06,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,5.339770800512281e-23
2020-10-07,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-10-08,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-10-09,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-10-12,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-10-13,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,4.6927371665528846e-23
2020-10-14,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,7.723305338614025e-23
2020-10-15,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,1.0619319487592556e-22
2020-10-16,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-10-19,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,1.0169488430207489e-22
2020-10-20,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-10-21,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.09500198265295524
2020-10-22,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.04347066484534772
2020-10-23,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.07562322394252229
2020-10-26,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.10000000000000006
2020-10-27,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,1.1358179932707835e-23
