seed,strategy,final_equity_gross,final_equity_net,sharpe_gross,sharpe_net,max_dd_gross,max_dd_net,avg_turnover,avg_max_weight,has_nan_weights
1,Simple + Baseline,3.7535928214042413,3.4940046371117366,1.3365263539542054,1.2710424963062432,-0.3337998965887077,-0.3445850019541081,0.13989303552099447,0.09999993856646751,False
1,AR1 + Baseline,3.65231038318874,3.5338367862328757,1.2564173425824807,1.2280222463812382,-0.2994242953610329,-0.30521441269907856,0.06442254974644032,0.09982315565560124,False
1,Simple + Advanced,3.7924358864234455,3.5315077571196145,1.3686514041734916,1.3022054934252394,-0.3379078612010601,-0.3479320565294439,0.13919349263009073,0.09999360054914916,False
1,AR1 + Advanced,3.66783301809734,3.548204199137333,1.2959457004054453,1.2663378715128004,-0.27761816121842,-0.28343205572867525,0.06478541720611528,0.09979342360037413,False
2,Simple + Baseline,2.118842205710334,1.9585691353382404,0.8406319371585628,0.765939912353858,-0.535333067523269,-0.5534233329304796,0.1537226947780492,0.0999999688109341,False
2,AR1 + Baseline,2.994141988773848,2.8970733352251328,1.1235187167106773,1.0938480376349105,-0.27486838112074363,-0.2773925303877046,0.06451864617632838,0.09982287101184369,False
2,Simple + Advanced,2.2440299364302816,2.0763488066553837,0.9060133691950454,0.8309836423870389,-0.521757029048175,-0.5400352600725533,0.15183110513636286,0.0999936700988856,False
2,AR1 + Advanced,3.0689796866941337,2.9683548173053738,1.1587978760246738,1.1283720133759694,-0.25834730809376627,-0.26087594181577356,0.06529395013902677,0.09980826235923958,False
3,Simple + Baseline,2.1418272410747314,1.99159336350828,0.7730914642989248,0.7134325097959323,-0.41995583492323296,-0.4349926307973,0.1417023868703966,0.09999998640068249,False
3,AR1 + Baseline,2.532787248904976,2.4383407617703723,0.9283830944329615,0.8964540728107439,-0.35954911558501734,-0.36403076172517923,0.07425424306483384,0.0998237615999199,False
3,Simple + Advanced,2.072487663230127,1.9269590518153892,0.758684687098474,0.6973368348143879,-0.4176959547970758,-0.43288405807622266,0.14190592021003864,0.09999485473708232,False
3,AR1 + Advanced,2.4824322034456445,2.388684493717756,0.9298909669581991,0.8965726758234362,-0.3384670897852332,-0.3455478676890178,0.07518969936730469,0.09980431458995552,False
4,Simple + Baseline,2.0055406617520006,1.858992691243137,0.7892947052186883,0.7172189049708592,-0.30783527463666227,-0.3320751300737981,0.14820197150726266,0.10000003208509393,False
4,AR1 + Baseline,2.595642612077354,2.5099028433128434,1.0414390436869123,1.0092785228510095,-0.2352942984638089,-0.23625419140017545,0.06569020840474409,0.0998227779519148,False
4,Simple + Advanced,2.102918166405823,1.9501645630186588,0.8350496776518882,0.7633200411782823,-0.3021482891372185,-0.3261014993855973,0.14733826603590322,0.09999421266202864,False
4,AR1 + Advanced,2.7980746224241124,2.7062552610828536,1.1238475161642918,1.0914989648041316,-0.22268460042836047,-0.22369953092433148,0.06525452834501623,0.0998167151982666,False
5,Simple + Baseline,2.089251707400078,1.9380743095202995,0.8080692532613097,0.7391169900759147,-0.40252044813185495,-0.41940714497886,0.1462821815773619,0.09999993135338679,False
5,AR1 + Baseline,2.9564641879273847,2.8659267634746084,1.0948581025959048,1.067464332935216,-0.23588488304982758,-0.2374778161245169,0.06070217361019055,0.09982392037812901,False
5,Simple + Advanced,1.9987546304089385,1.8530435008008752,0.7775841923098143,0.7067269326001259,-0.40392101019640825,-0.42062884452563376,0.14740779001735277,0.09999429593029893,False
5,AR1 + Advanced,2.989813760110574,2.897270728947063,1.1366110628307715,1.1078742615701258,-0.21371261764033267,-0.2154641138629929,0.06137137629999892,0.09981646601196136,False
6,Simple + Baseline,2.3775117984054313,2.2141282789458008,0.8747728317001726,0.8146721651063326,-0.4109440137067968,-0.4305567825729325,0.13885419243583186,0.10000009834747302,False
6,AR1 + Baseline,3.2020335958295885,3.0853329640480127,1.1051788684182644,1.0747117685018455,-0.3509825757721742,-0.35802606973216167,0.07258382446756845,0.0998233807804308,False
6,Simple + Advanced,2.3520767458827385,2.1902681995136986,0.8774487456171409,0.81606713523175,-0.41181873827117066,-0.43134981614041823,0.13903040561765537,0.09999408208714305,False
6,AR1 + Advanced,3.2456279232705203,3.1241345694136617,1.145615797138011,1.113227336618222,-0.33767609146790767,-0.3450284521472249,0.07461843309507624,0.09980315393649747,False
7,Simple + Baseline,2.548116726793451,2.3645254979730166,0.9490656483284526,0.88437615293056,-0.4172682026171807,-0.44521426322989077,0.14627414751349332,0.10000002271490503,False
7,AR1 + Baseline,2.4010212971077,2.323742676772278,0.9087895257463258,0.8801439995515716,-0.3393222236142349,-0.3522864776191962,0.06415134481276778,0.09982284896389451,False
7,Simple + Advanced,2.697704104295611,2.50667542033743,1.0148340940327036,0.9498112185157845,-0.3838741805560226,-0.40583825312969035,0.14370940758027684,0.09999409796068552,False
