strategy,final_equity_gross,final_equity_net,sharpe_gross,sharpe_net,max_dd_gross,max_dd_net,avg_turnover,avg_max_weight
AR1 + Advanced,2.959849846993904,2.860433310606436,1.0849622065270048,1.054227498050475,-0.28211413318190864,-0.28771334145943717,0.06725240047411062,0.0998050714186231
AR1 + Baseline,2.935838771810735,2.838381376216865,1.055780139622125,1.02619965254202,-0.29211713965259395,-0.2975803151682591,0.06645461354157377,0.09982197860375591
Simple + Advanced,2.5161623006406058,2.337360415603584,0.9267770717398779,0.8606639894536191,-0.39128268629150476,-0.4096470271774141,0.14459670096038887,0.09999417957039208
Simple + Baseline,2.492681072140139,2.314720773698899,0.9045791315378738,0.8393261034260598,-0.40104285317092264,-0.41958491826218364,0.14529166753576153,0.09999999293370404
