date,seed,strategy,asset,weight
2020-07-14,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-07-15,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-07-16,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-07-17,16,AR1 alpha + Basic + One-Step,NYSE:TPR,1.104144325001014e-07
2020-07-20,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-07-21,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-07-22,16,AR1 alpha + Basic + One-Step,NYSE:TPR,1.4264410192210051e-07
2020-07-23,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-07-24,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-07-27,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-07-28,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-07-29,16,AR1 alpha + Basic + One-Step,NYSE:TPR,4.836308430901325e-09
2020-07-30,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-07-31,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-03,16,AR1 alpha + Basic + One-Step,NYSE:TPR,6.316224185898315e-08
2020-08-04,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-05,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-06,16,AR1 alpha + Basic + One-Step,NYSE:TPR,6.485401260839201e-08
2020-08-07,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-10,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-11,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-12,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-13,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-14,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-17,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-18,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-19,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-20,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-21,16,AR1 alpha + Basic + One-Step,NYSE:TPR,3.071590614452576e-09
2020-08-24,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-25,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-26,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-08-27,16,AR1 alpha + Basic + One-Step,NYSE:TPR,1.1323112700092301e-08
