seed,asset
4,NYSE:MFC
4,NASDAQ:ITRI
4,NYSE:FHN
4,NASDAQ:MTRX
4,NASDAQ:IESC
4,NYSE:RDN
4,NASDAQ:SHYF
4,NASDAQ:RMBS
4,NYSE:GM
4,NASDAQ:TER
4,NASDAQ:UFPI
4,NASDAQ:WDC
4,NASDAQ:UAL
4,NASDAQ:TROW
4,NYSE:RRC
4,NASDAQ:SAGE
4,NYSE:THO
4,NASDAQ:MCRB
4,NASDAQ:RDNT
4,NYSE:ENR
4,NASDAQ:PINC
4,NASDAQ:IRMD
4,NYSE:MTRN
4,NASDAQ:IHRT
4,NYSE:OGE
4,NASDAQ:KHC
4,NASDAQ:PNTG
4,NYSE:VZ
4,NYSE:OC
4,NYSE:MCK
4,NASDAQ:FBMS
4,NASDAQ:KIDS
4,NYSE:ROG
4,NASDAQ:KELYA
4,NYSE:VOYA
4,NYSE:A
4,NASDAQ:QURE
4,NYSE:KR
4,NASDAQ:EBAY
4,NASDAQ:SFM
4,NASDAQ:ATEX
4,NASDAQ:NMIH
4,NASDAQ:CHTR
4,NASDAQ:IBOC
4,NASDAQ:PFG
4,NYSE:CRK
4,NASDAQ:SIGA
4,NASDAQ:VRA
4,NASDAQ:UCTT
4,NASDAQ:OLED
4,NYSE:USM
4,NASDAQ:LRCX
4,NASDAQ:RDFN
4,NYSE:CWK
4,NYSE:RJF
4,NYSE:HP
4,NASDAQ:HAS
4,NYSE:MTZ
4,NYSE:FNV
4,NYSE:IT
4,NYSE:SON
4,NASDAQ:WIX
4,NASDAQ:CYTK
4,NYSE:SLCA
4,NASDAQ:RGEN
4,NASDAQ:PBYI
4,NASDAQ:TSCO
4,NASDAQ:LSEA
4,NYSE:PNR
4,NYSE:CE
4,NYSE:LII
4,NYSE:ALL
4,NYSE:WLK
4,NASDAQ:MGPI
4,NYSE:AWR
4,NYSE:QSR
4,NASDAQ:BECN
4,NYSE:URI
4,NYSE:ANET
4,NASDAQ:TRMK
4,NASDAQ:WINA
4,NASDAQ:CRUS
4,NYSE:MLR
4,NASDAQ:ZS
4,NYSE:OIS
4,NASDAQ:FTDR
4,NYSE:EVRI
4,NYSE:TYL
4,NYSE:LPX
4,NYSE:MTD
4,NYSE:TREX
4,NYSE:MET
4,NASDAQ:TILE
4,NYSE:MRK
4,NYSE:FIS
4,NYSE:NI
4,NYSE:LC
4,NYSE:BLK
4,NYSE:TPX
4,NASDAQ:TRS
