seed,date,strategy,NASDAQ:BBSI,NASDAQ:ICHR,NASDAQ:EBAY,NYSE:CHGG,NASDAQ:IDXX,NYSE:HL,NYSE:CE,NASDAQ:SFM,NASDAQ:EVBG,NASDAQ:TRS,NYSE:GIL,NASDAQ:BOKF,NYSE:SRE,NYSE:MTDR,NYSE:LXFR,NASDAQ:UFCS,NASDAQ:SIGI,NASDAQ:HWC,NYSE:ORA,NASDAQ:QCOM,NYSE:JOE,NASDAQ:SLM,NYSE:CWK,NYSE:GM,NYSE:USM,NASDAQ:MRNA,NYSE:HII,NYSE:HLIO,NYSE:JWN,NYSE:CB,NYSE:BCC,NASDAQ:ZM,NASDAQ:POWI,NASDAQ:INTU,NASDAQ:AEIS,NYSE:FSS,NASDAQ:VCYT,NYSE:EVRI,NASDAQ:SFIX,NASDAQ:TTMI,NYSE:UVV,NYSE:TRU,NYSE:CCS,NASDAQ:SPNS,NASDAQ:LITE,NASDAQ:ADBE,NASDAQ:CGBD,NASDAQ:EDIT,NASDAQ:JOUT,NASDAQ:RCMT
17,2020-03-18,Simple + Baseline,-2.3620265140552645e-08,-2.0639799853143112e-08,1.506260089507973e-07,-3.528953473668175e-09,9.151299430535646e-08,-2.368498687563288e-08,-8.628430431611214e-09,-1.4701432162622996e-07,-1.369694066220099e-07,2.2634822841233638e-11,-2.180973999246208e-08,7.359910256938946e-11,0.0999999886671428,-8.713984703040479e-09,0.09999998881501677,8.820360988990039e-11,-1.1865063729946588e-07,-6.0248637281260174e-09,9.138116970615961e-08,2.644688194992502e-10,2.1600213815868445e-07,0.09999998858054202,-1.673597098094592e-08,-1.2884001975742039e-08,0.09999999272945685,0.09999998885596006,0.09999998880299432,2.51498254497497e-07,0.09999998873589841,-1.2766965704913684e-09,-9.41628184840215e-09,0.09999998879645441,1.6043078264429417e-10,8.574107737839236e-08,-2.4482886790543187e-08,-1.0929422469154078e-09,9.716117284642792e-11,-1.2335223748454741e-08,0.0999999887171384,2.6754082121341236e-10,-1.1738280211210482e-06,-2.026881602157597e-09,-2.049310206533567e-08,-1.8113993049384025e-07,-2.0728914661955664e-09,-3.162152826498209e-07,-2.1764220024253584e-08,0.09999998888583175,-1.1982769427402665e-07,1.6555559466254897e-06
17,2020-03-19,Simple + Baseline,-1.5750527721902234e-08,-2.455622231756744e-08,7.669682379485611e-08,-9.454523201569631e-09,4.251101995401111e-08,-2.7036797700672285e-08,-1.406784427123577e-08,-9.425326040163399e-08,-9.175080462898533e-08,-9.967668949536464e-09,-2.8653220164050363e-08,-1.5461627848374995e-08,-9.653632561929573e-07,0.09999916413426994,0.09999999799115297,-6.191031051189289e-09,-7.083455231610955e-08,-1.6185878020510864e-08,5.100185199778307e-08,-6.418170040530377e-09,1.2494457655734343e-07,2.655945105960062e-06,-1.470358637239148e-08,-1.9488317137714803e-08,3.4963350910950657e-06,-1.724434257814857e-06,0.09999999491702195,1.4652570992702632e-07,0.10000000085136158,-1.1695660688458925e-08,-1.6068809635937214e-08,0.09999999936422888,-1.1280767787437971e-08,3.976775204427457e-08,-2.892858954135918e-08,-4.973727437928936e-09,0.09999916625065287,-2.1138605980229955e-08,0.10000000028124,-4.336632636563907e-09,-6.894977219157521e-07,-1.4766252438254743e-08,-2.4348946147761683e-08,0.0999991654447659,-1.1855036396674846e-08,-1.889107941443951e-07,0.0999991627156999,0.10000000497017018,-7.659640768348423e-08,9.683696057666034e-07
17,2020-03-20,Simple + Baseline,-7.622089625471931e-09,-8.725662919087571e-09,1.5869007934707965e-08,-1.7617845052946845e-08,8.584474501369899e-09,-1.1408407821703467e-08,-1.547476342072814e-08,-4.0614056358840817e-08,-2.6548063801722135e-09,-2.05707964513377e-08,-1.5805599225413765e-08,-2.1610364111503023e-08,0.1000000932874881,0.09999997746635297,0.09999999671177627,-2.2123743511760632e-08,-3.965825282543601e-08,-2.000689818599534e-08,-3.316096095637761e-08,-2.1020627896987616e-08,-1.6035145956107427e-09,5.770214859983491e-07,-6.084711326259803e-09,-1.4205798396177281e-08,3.5194917314449063e-07,0.10000000816749079,0.1000000012694845,-1.853355429631967e-08,-5.974861074783866e-09,-1.8089479900975107e-08,-1.5778251598339744e-08,0.09999997353912753,-3.4479418959687523e-08,-6.857061593925674e-09,-1.3157853016477668e-08,-2.1689572976818982e-08,-1.3508218830049789e-08,0.09999999649704054,0.09999997982446775,-1.6481488892175512e-08,-1.4877977652262845e-07,-2.1411660033717262e-08,-8.324757140720774e-09,-1.7931199033195867e-08,-2.1321429314492792e-08,-5.199464316752857e-08,-4.53255674158759e-09,0.09999998627212804,-3.902971619142555e-08,0.0999998315706706
17,2020-03-23,Simple + Baseline,-5.72976567842739e-08,-6.366261007100146e-08,7.833520164796241e-08,-7.421982483798172e-08,6.606829937466528e-08,-6.343969234610961e-08,-1.1587695803154857e-07,-1.0250538874049152e-07,0.059784735949228,-1.3053258324203428e-07,-8.502820494490126e-08,-5.117743442729737e-08,0.04021823763557867,0.0999999277515675,0.10000004150862961,-1.3128050712995225e-07,-1.3051935412978664e-07,-1.2491451774117019e-07,-1.126639076934871e-07,-1.3058506608411e-07,-8.152307324406343e-08,1.0178333070914007e-08,-5.001615600594252e-08,-1.107000131382211e-07,1.2451730301320818e-08,0.10000011271355053,0.10000008183279344,-1.0180619410443312e-07,1.198472396161816e-09,-8.385660687118294e-08,-9.384496547751131e-08,0.09999999131084325,-1.44224645280115e-07,4.2201776580871165e-08,-7.347716558516202e-08,-1.1142974790341897e-07,-8.468488754131331e-08,0.09999997205057759,0.099999983148578,-1.0792542120693154e-07,-4.778226684222038e-08,-1.0626954383977575e-07,-6.668452629764736e-08,-1.000038179356082e-07,-9.40574014037867e-08,-1.6185861215603518e-07,-3.271274179781307e-08,0.09999998008350203,-1.3892981514413576e-07,0.09999989118116323
17,2020-03-24,Simple + Baseline,-7.282047076563954e-09,-1.6045633703047212e-08,4.5670139978712404e-08,-1.0586763603593557e-07,4.3499849496865636e-08,-2.9520321502701513e-08,8.827323837669503e-09,1.1047669288889136e-07,0.04739096445554351,-5.3220532640951784e-08,-7.373202715375846e-08,4.709507344521225e-08,0.05260743424155256,0.10000002678262813,0.10000005134359577,-1.0368699687216043e-08,4.386137990534844e-08,-2.0157598627756191e-10,1.1524447605777833e-07,-5.056599324663982e-08,-3.935208715063611e-09,2.703963207648246e-07,-3.1368891811326356e-09,4.010661762212788e-08,-8.611215603535188e-08,0.1000001984169633,0.1000003714652047,3.349616613338149e-08,1.1293716844556702e-07,1.079662801768914e-07,-2.719372307452188e-09,0.0999998583839812,2.4767027017868545e-08,7.276958445705148e-08,-2.2620784970034862e-08,4.827368379629412e-08,7.110263514369395e-08,0.0999999890037605,0.10000022365507563,5.9270862812469395e-08,-6.581740093928731e-08,-4.913393026183481e-08,1.2118500414307418e-08,8.625542535653026e-08,-5.579659097839342e-08,-9.797685833721515e-08,9.586418088003595e-09,0.1000002016427517,-7.000575044175609e-08,0.10000011931832312
17,2020-03-25,Simple + Baseline,-2.4748009833004573e-09,-8.844777664125934e-09,-7.436875043524156e-08,-3.895549533773064e-08,-4.9160136649230473e-08,-5.704461465194761e-09,-7.167145736482917e-08,-1.5081797960550555e-07,-1.3159918380210887e-09,-2.7130471356192316e-08,-1.640166336778337e-08,-1.246444881461813e-08,0.09999980892742655,0.09999996889630158,0.05625418441036108,-2.382146262714746e-08,-7.76725394988285e-08,-4.306991681975889e-09,-3.434868944959047e-08,-4.257492250227815e-08,-7.816913060361248e-08,0.0999996816334695,-1.6805450691586998e-08,-3.168013466058555e-08,-3.210675782414919e-08,0.0999998930771485,0.09999991125632558,-4.744424135235839e-09,-7.754937002590846e-09,-1.0905189674084122e-07,6.500073220959883e-09,0.09999992518462132,-3.085102615384069e-08,-1.0377606927378147e-08,-5.505032132269626e-09,-7.041045017662212e-08,-3.974717358925812e-08,0.09999997322335838,-1.2210123386137238e-07,-1.2255412576531713e-08,-8.639282527407138e-08,-3.0695664804780996e-08,-1.596124281657063e-08,0.043748658321597855,-3.104851379897984e-08,-1.7518974501151472e-07,-3.7008093021829263e-09,0.0999999069271886,-1.4543247790452725e-07,0.09999978507256638
17,2020-03-26,Simple + Baseline,-2.5875836855763137e-08,-3.4274699207458783e-09,9.369924889286393e-09,-3.8233851431192484e-08,1.037739393484463e-08,-1.2913945941026524e-08,2.7159380700370023e-08,4.9606819739476195e-08,-2.6502452555478526e-08,-1.0507061753647795e-08,2.5063194064974345e-09,3.837771636016226e-08,0.09999998751626553,0.09999999061575346,4.617884510764744e-07,-2.942022469251298e-08,-5.1485799856912535e-08,4.387839894497285e-09,-1.4600373091279829e-08,-3.3937386790790104e-08,-9.812794384401695e-08,0.09999989164775788,9.91272903661107e-08,2.4893487910070975e-08,-1.3580510354663268e-07,0.09999998893373692,0.09999993615999092,-4.761513953353294e-08,-1.4340958829441528e-08,7.296272989967611e-08,-1.3165495434716578e-08,0.09999994872329007,1.4551142491998291e-08,1.7068965676378173e-08,-1.6310539760894052e-08,3.2557530645664746e-09,0.09999996645131082,0.10000000732527836,-3.46769888503823e-08,-2.165069879027725e-08,-5.630590239575881e-08,6.225473197230087e-09,7.918686033177844e-09,2.6981431796814875e-07,-3.174159508079375e-09,-1.3523677035005515e-07,-1.9943863943101977e-08,0.09999987481927786,1.388251173992423e-07,0.09999999290038519
17,2020-03-27,Simple + Baseline,-2.6712751606209958e-09,5.696659124941321e-10,-3.141015871734692e-08,0.024265021851623325,-2.9443679805809345e-08,4.959379916006312e-09,-1.375112873595932e-09,-2.396927941177869e-08,-9.266299077719192e-09,-6.086923933663882e-09,-1.124080225193328e-09,-5.340725184288948e-09,0.09999995600131094,0.09999999577771446,4.293977157199788e-08,-6.746782885937201e-09,-5.846562244418969e-08,-4.800404325238434e-09,-2.68468021678866e-08,-1.1022358568208992e-08,-5.925396064998389e-08,0.09726585894748901,4.963944061648641e-09,-6.57812142705012e-09,-5.846652154782674e-08,0.09999995572803554,0.09999995997294218,-3.450215880064529e-09,-1.234527295028307e-08,-1.6862423971486984e-08,-6.052285041234959e-09,0.09999998699302207,-3.392138752865474e-09,-1.1244713207679036e-08,2.8441973909812293e-09,-8.796056878929632e-09,-6.497342021947753e-09,0.0784698663710955,-2.3580056976245115e-08,-4.743969877157755e-09,-3.9914443919023364e-08,-8.216859023880041e-10,4.149445423456303e-10,0.09999997277406682,-9.352951479452224e-09,-4.3957177193170874e-08,-1.1305440434359086e-09,0.09999994580086308,1.5418385841316186e-08,0.09999994293357412
17,2020-03-30,Simple + Baseline,2.6576017820633963e-06,7.16262405530812e-07,-4.900892433834042e-06,0.018555601735339416,0.09999383383971729,6.283823130232654e-07,-2.4207959609190794e-06,-9.126428488294089e-06,4.804251694469448e-07,7.495647166432988e-07,4.3452282322614845e-07,-5.109774992479654e-06,0.09998707902169389,0.0502359740551963,0.05169543335556803,1.5500970401214478e-06,-1.965675776352621e-06,-2.208683996339895e-06,-1.4559472340063753e-06,3.496984708186418e-06,5.81232202229665e-06,-8.938223666869054e-06,8.100748782327088e-07,-4.288777098124504e-06,8.170534492083371e-06,0.09999265032409979,0.09999479599543695,4.388374524104835e-06,-9.673858325222116e-07,-9.252375079698641e-06,1.8006311246324844e-06,0.10000306196770248,-3.1605898123728446e-06,-4.209397959524787e-06,1.2023622796447718e-07,7.05084528324495e-08,0.09999900861077615,0.09999888692748185,-2.4112393701605684e-06,4.5532643040130124e-07,-1.0976419617235888e-07,-8.579473483710337e-07,-1.2591689041488207e-06,0.07958337107525923,1.9610563466849142e-06,5.79228344147553e-06,7.28286197354736e-07,0.10000007406217788,1.2220973536850478e-06,-1.9145594207363615e-05
17,2020-03-31,Simple + Baseline,2.3573395919485288e-07,6.210595193207645e-08,-1.4990687028356051e-06,2.9847918376643335e-08,0.09999886227451511,1.4254029365247626e-07,-3.210105164323237e-07,-2.595592846314188e-06,1.3426851010588528e-07,-2.1670424240890006e-07,2.343198197651852e-08,-5.166378438617867e-07,0.09999782610460298,0.10000023565361651,0.07421236814192225,1.969471537503969e-07,-1.686766953348907e-07,-4.863254518050651e-08,2.2934337338531332e-08,-4.7013700768304124e-08,5.381156198624314e-07,-2.420494554315199e-06,4.705177046988828e-08,-2.675157539619127e-07,1.0056215197151812e-06,0.09999837041860024,0.09999900027094671,5.93880258291828e-07,5.960682915590665e-08,-1.8192463398748704e-06,3.5580029933174646e-07,0.09999960423484365,-3.3316074317944837e-07,-2.83845190168524e-07,8.015871581082329e-08,-7.896967829122704e-08,0.04489852781586448,0.08090538755347142,-3.0417328959638073e-07,2.2228736225225883e-07,-8.174042700534211e-08,-9.775912999868209e-08,2.0022766104201697e-08,0.10000033014526698,3.588320897463145e-07,5.300633744986928e-07,3.409031401241548e-08,0.10000044422987023,1.5859736579610864e-07,-4.706781074482576e-06
