seed,date,strategy,NASDAQ:HRTX,NYSE:WAT,NASDAQ:TER,NYSE:SFL,NYSE:SBOW,NASDAQ:FATE,NYSE:FDP,NASDAQ:INTU,NYSE:CACI,NYSE:HESM,NASDAQ:OPCH,NASDAQ:SITM,NYSE:FCF,NYSE:VMI,NASDAQ:AAOI,NYSE:JWN,NASDAQ:PFBC,NYSE:TREX,NASDAQ:IDXX,NYSE:THO,NASDAQ:IPGP,NYSE:PAGS,NYSE:FHN,NYSE:ANET,NYSE:SRE,NYSE:CHGG,NASDAQ:OTTR,NYSE:LXU,NYSE:SON,NASDAQ:AXON,NYSE:MRK,NYSE:IDA,NYSE:UBER,NYSE:HII,NASDAQ:WDC,NASDAQ:ROKU,NASDAQ:LXRX,NASDAQ:EEFT,NASDAQ:MSEX,NYSE:USFD,NASDAQ:CAPR,NASDAQ:PBYI,NASDAQ:DGII,NASDAQ:SRCE,NASDAQ:PCRX,NASDAQ:BOKF,NYSE:OLN,NASDAQ:SFM,NASDAQ:IRDM,NASDAQ:NWLI
3,2020-03-18,Simple + Baseline,0.09999991923819636,8.870461516113994e-08,-6.962460868379745e-08,-7.677303866787841e-08,-6.186034170130097e-08,0.09999991530537439,0.09999992038853724,4.806969704171775e-07,-7.185284419800728e-08,-8.674036546715191e-08,-8.126685992978246e-08,-8.449460323866119e-08,-5.9220195748477484e-08,0.09999991987528364,-5.410518855683712e-08,0.09999991700111997,-4.3053605668640837e-07,-6.619620889697785e-08,-4.1451721950373653e-07,-9.757399814867956e-08,-8.813089026753826e-08,-8.640265675983123e-08,-8.972670898382917e-08,0.09999991673812487,0.0999999158072746,-9.755485806082543e-08,-4.794201209272588e-07,-5.3879565867115225e-08,-8.20373499048387e-08,-5.482238002335896e-08,8.826134946604184e-08,-4.375344662316419e-07,-8.581563651435286e-08,0.09999991816614846,-9.749512729327966e-08,2.4249251737577128e-08,8.825656439614467e-08,-9.614951674600098e-08,-5.568329066305706e-08,-8.641069554471091e-08,-2.6984361545771476e-07,0.09999991675673926,-7.85907578855086e-08,-8.389826101704799e-08,0.0999999142144684,-6.546708210553281e-08,-5.29522134651879e-08,2.1225555349772504e-06,-9.064821329036579e-08,2.1210089473364797e-06
3,2020-03-19,Simple + Baseline,0.09999992871693597,2.6395419745373545e-08,-6.644957813218454e-08,-7.068775978767558e-08,-6.184121344694657e-08,0.09999992623782461,0.09999992919903163,2.559036844679464e-07,-6.766224188643034e-08,-7.63060646718262e-08,-7.337681619440048e-08,-7.527706436992147e-08,-6.02789303972105e-08,7.67686698642411e-08,0.0999999589336506,0.09999992728458229,0.09999995664752885,-6.42941666780984e-08,-2.6851478337998464e-07,-8.278513726158698e-08,-7.733982644266006e-08,-7.635615517135808e-08,-7.808297040098977e-08,-4.93673353377684e-07,8.549499835297843e-08,-8.276035228420835e-08,-3.0626943260632917e-07,-5.707444774170894e-08,-7.37956370270541e-08,0.09999996210331892,2.6103396405498954e-08,-2.820060386540989e-07,0.09999994743653823,4.5870301671382683e-07,-8.274125746436438e-08,-1.1188782895975171e-08,2.619715242135896e-08,-8.187484208124577e-08,-5.823807105697157e-08,0.09999996372460226,-1.8356476755161058e-07,0.0999999273065187,-7.212918503614468e-08,-7.471307104896295e-08,4.41246337677196e-07,-6.414363193030179e-08,-5.6389134314190976e-08,1.2177336631614591e-06,-7.87199147979118e-08,1.2167928882473018e-06
3,2020-03-20,Simple + Baseline,0.09999959604295375,-5.663247810988754e-07,-3.261244976011555e-07,-1.0656649395193969e-07,-3.429437171328747e-07,0.04148857172967113,0.09999992391225486,-1.003615102106845e-07,-3.233289344730658e-07,0.04022317788434486,-9.973241904746981e-08,0.0999999495478328,-3.7353427523951506e-07,0.018299063770834054,0.09999968647614811,-1.5812153820592116e-07,-2.02464527888377e-07,-3.296338057824587e-07,-4.390694627361579e-08,-2.6511159790230105e-07,1.9000262535586115e-07,-1.7481086564941164e-07,-1.6272461531017839e-07,0.09999979761804265,0.09999985157528878,-2.643771213956931e-07,-2.1273788028727064e-07,-4.1902328723249484e-07,-1.7081902578100406e-07,-3.0820952630266436e-07,-3.58185003549003e-07,1.7587392282422657e-07,-1.1947591058313517e-07,0.09999991872098461,-2.669149350765241e-07,0.09999933923505916,-2.2826820384201135e-07,-2.3241660435244242e-07,-4.039349952726137e-07,-1.347677166257968e-07,-5.296919838425948e-07,0.09999939053020131,-4.2305225344965045e-09,-2.662831601185566e-07,-5.698393813022286e-07,-1.0007406482258417e-08,-2.777911264511334e-07,-1.0142863169402453e-07,-1.954595417267714e-07,2.064532713464978e-08
3,2020-03-23,Simple + Baseline,0.09999997535388273,-1.726788888136366e-07,-4.427476250816739e-08,3.782166273574962e-09,-2.1233951920076328e-08,5.3320584845602394e-09,0.09999998349741358,-2.076024423401175e-08,-3.1694079105627074e-08,1.9655463764433216e-09,-4.748506914898682e-09,-1.1427956957516198e-10,-3.7733523879781957e-08,0.05374568604534782,0.0999999823065952,3.912238264317637e-09,4.437362140736278e-10,-2.3768214459982645e-08,-2.4919359656325526e-08,-1.3647433270203335e-08,2.996275934031359e-08,1.6939954797401524e-09,5.080857922071984e-09,-2.1198261753642806e-09,0.09999995650943867,0.08999014240215282,-6.72209239165075e-09,0.09999999029864692,-1.046035292127646e-08,0.017926441355557016,-8.686200338443526e-08,3.544239474012721e-08,1.34492528088103e-10,0.09999998339835908,-1.9824505056692387e-08,0.09999991894861857,-1.216544016870818e-08,-5.786888177613857e-09,-7.66604784188901e-08,2.9390123944731134e-11,-9.840581353604247e-08,0.09999995799098595,0.038338647382161556,-8.654721183555533e-09,-7.720346987541281e-08,2.6031715878899822e-08,6.668705683703253e-10,-1.646261492291537e-08,-4.81329734749967e-09,4.193538031901911e-08
3,2020-03-24,Simple + Baseline,0.09999919131146552,1.2180021895824277e-06,-1.6530569683118643e-06,1.428848503604453e-08,-6.172442648370814e-07,-4.334206563517033e-06,0.09999738255125393,-1.8227944117043843e-07,6.495079482070356e-07,1.214594318695506e-06,1.6807668045722228e-07,1.8445310574643811e-06,7.62029131386305e-07,-1.1378067814012398e-06,0.09999930373793618,-5.241484680806867e-07,-2.264253118018393e-06,-1.351050535012099e-07,-9.915040976726883e-07,-3.6222374135514407e-07,-8.143766508233403e-08,1.0584068522088247e-07,1.226162875497954e-09,-1.7364545031925635e-06,0.10000175854764878,0.040770184288611705,-3.3261940618930353e-06,0.09999738455831289,2.656137814930222e-06,0.09999802521814498,4.776394037558204e-06,-2.3154164359188587e-06,-3.4495951506887053e-07,0.07065792687717938,-1.450799485459161e-06,0.09999481729994646,-5.562664915133647e-06,5.872423132873607e-07,9.120372720495671e-07,-2.933480413346241e-07,0.05569202859189919,0.10000010339286074,0.03290222474573992,-1.3109703152275916e-06,1.4064553265341628e-06,1.5977390849202865e-07,4.7341612475367407e-07,2.7319542139406145e-06,-8.205609009445155e-07,-5.609967238186358e-07
3,2020-03-25,Simple + Baseline,0.0999993160840736,-7.605417237702268e-07,5.6900569481855033e-08,3.456802168727482e-07,2.580529553191425e-07,-1.352382170784353e-06,0.007347935903050253,-5.12536021231066e-07,6.921873656233502e-07,4.202442153577717e-07,5.173743073318596e-07,0.019206361121954327,2.8078949800734884e-08,-1.9403242261642463e-06,0.1000005604746835,-5.24207406130281e-07,-1.0156378533622611e-07,7.57702281355283e-08,-6.495646087037426e-07,7.400680289869531e-07,-8.02018405594202e-07,3.3415426756367483e-07,2.57289385973511e-07,-3.975306700352243e-06,0.0999985875055398,0.07345243474653596,-3.727556284869964e-07,0.1000010938841742,1.0491680903611098e-08,0.10000073028182349,5.898079260146068e-07,-1.2766253869431764e-06,4.0982378502709697e-07,0.09999809735062722,4.7217835092386083e-07,0.10000050337248136,-3.535689981033484e-07,6.194472423558307e-07,9.793971422788552e-07,5.170931721971916e-07,0.09999989879959717,0.09999986374665344,4.4445468038226424e-07,2.453961289475871e-07,-1.068565621588863e-06,-3.179939445339475e-07,2.1419366933249808e-07,2.5323826653927016e-07,5.503158114147437e-07,-4.234917371463196e-07
3,2020-03-26,Simple + Baseline,0.09999993454972055,-1.1551901362708635e-07,-4.16028990968024e-09,1.568633848251003e-08,4.8813838244248387e-08,-2.7877711112061496e-07,0.006432479869290551,-4.7739759907578414e-08,1.0412856364713329e-07,2.8437509806593052e-08,1.5639155253675444e-08,9.073291240129388e-09,1.7117040542115748e-09,-5.759532195797314e-07,-1.0748118568024537e-09,-2.1222495548732824e-08,-2.506995102197164e-09,7.0174854575066294e-09,-9.242780955760156e-08,5.7404941736390454e-08,-1.9600434044373513e-07,2.894782050444664e-08,2.2655126259250088e-08,0.09999999531406366,0.09999982539632425,-2.12451572630005e-08,-3.7594413794956344e-08,0.1000001834219378,6.213455985922343e-09,0.10000007734710277,1.5455109529423375e-08,-1.7332932044467154e-07,1.2188243109520686e-08,0.09999972487973555,0.032687349367879995,0.10000002083318248,-7.826184686860056e-08,6.561072089913944e-08,2.3256600662023335e-07,0.10000001108965584,9.921137767403935e-11,0.10000001453882774,0.06088141883195802,2.2012561621940343e-08,-1.5684457089587496e-07,-2.6504916868818818e-08,4.2188257287781746e-08,5.0584090389635335e-08,2.593690982248901e-08,-1.8596067630493188e-08
3,2020-03-27,Simple + Baseline,-2.313202206156552e-06,-1.985643723948055e-06,3.268641651530009e-07,-2.1451010160930683e-07,3.8133710130829497e-07,6.29705718082912e-07,-7.73781428625574e-07,-4.5593592707671677e-07,-1.0848152111179277e-06,-6.146386465884865e-07,-1.6287442210976258e-07,-5.362862348496237e-07,-1.1458660425083758e-06,0.07955757417980429,0.09999989938455332,-2.451244290721174e-07,-5.721528649114167e-07,-1.1308681969181794e-06,1.2199853366957254e-07,-1.365423570906708e-07,1.2180673835837264e-06,2.2173183212444398e-07,-3.552324935322465e-07,0.09999892860196923,0.09999816452843104,0.08296255368142494,-2.978872969195437e-07,0.10000098488467758,-1.0984882531012916e-06,0.09999911805885534,-2.209154427027405e-06,1.0391542487871384e-06,-5.551130571029416e-07,0.09999883096718731,2.740343790292129e-08,0.1000012872523437,2.66852890589333e-06,-6.388075299642943e-07,1.818721706298583e-07,0.03749849173463653,3.286226157599324e-07,0.09999866833558568,-3.0419001169126694e-07,-1.385455577765619e-07,-2.1569546528690025e-06,3.9716992685111586e-07,1.0035649949041865e-08,-1.5978332075534334e-06,-5.718395264747644e-07,-7.684855096067505e-07
3,2020-03-30,Simple + Baseline,0.06433132724120363,-5.589736594621923e-07,-2.018918802043882e-06,-2.5494357676732874e-06,8.852309401164008e-07,5.146923740767064e-06,8.412513269065594e-06,-1.6174867639663898e-06,-2.758574859036941e-06,-7.00808213471325e-07,-1.7828381978906527e-06,-5.757688417362341e-07,-9.491029865717121e-07,0.10001151785232709,0.09999789657060221,2.1636637186147149e-07,5.672539761537728e-07,-3.264462390766752e-06,-1.646256544428157e-06,-1.192925492196447e-06,6.083796892832934e-06,-1.5610719477514596e-06,-2.131733248164571e-06,0.09999910865966863,0.10000006159822823,0.06488200370223736,-1.1594182666713994e-06,0.05385549584056842,-1.59019265152101e-06,-1.4872283930468141e-06,2.900429441220078e-06,1.024383732694817e-06,-2.0947361204967194e-06,0.10000291655619446,-2.7968834660454355e-06,0.10000255845433219,7.401144318502717e-06,-2.4269250881560107e-06,2.0234713105072894e-06,0.08074507162012616,-1.038501653519487e-06,0.0999987864041347,0.03618000391596536,-1.8458522859246762e-06,3.3502158951997964e-07,-9.464010649244736e-07,-4.978965529940297e-07,1.7609772476918016e-06,-2.065055785395892e-06,-2.3161453643168737e-06
3,2020-03-31,Simple + Baseline,0.052345757517398075,-3.396903295352554e-07,-3.1680905791256133e-07,-1.1127968370244474e-07,-1.9497746435396305e-07,9.979633054251527e-07,1.1392787488570015e-06,-2.3465828269350222e-07,-5.875209508040558e-07,0.06225702415461057,-8.933329932637027e-08,2.1743342171332294e-08,-4.0142642600202575e-07,0.10000258007112633,0.09999973164358865,-3.7099326419954394e-08,-2.1194574002721413e-07,-3.306876558568403e-07,0.012450364591179975,-2.1302506356210764e-07,1.3602882625668926e-06,-7.542761888103597e-08,-1.1162734500607946e-07,0.09999945891249236,0.09999977197156265,0.05118522207798346,-3.145530065101913e-07,0.0999997010779311,-2.7076736845687826e-07,-3.852324110400221e-07,2.3077035437499936e-07,9.983908307076058e-08,0.0098698821063927,0.10000010084747299,-2.523226872804457e-07,0.10000037648200061,1.04617880631961e-06,-2.203868796956142e-07,4.3010914211464913e-07,-6.440101734495364e-08,9.878531044929344e-09,0.09999964210803247,0.011891285519659893,-3.590540319413021e-07,-4.098079780227541e-07,-1.6816732126286093e-07,-1.1360095057714014e-07,1.049096342865989e-07,-2.0435260919241525e-07,-3.214483467865742e-07
