date,seed,strategy,eq_gross,eq_net,rp_gross,rp_net,turnover,tc_paid
2020-03-26,3,AR1 alpha + Basic + Two-Step,1.0557324996597741,1.0557324996597741,0.05573249965977416,0.05573249965977416,0.0,0.0
2020-03-27,3,AR1 alpha + Basic + Two-Step,1.0085882173401992,1.0085882173401992,-0.04465551864204971,-0.04465551864204971,1.5480843073692117,0.0
2020-03-30,3,AR1 alpha + Basic + Two-Step,1.031551356616624,1.0179988221639646,0.02276760612669265,0.009330472696362344,0.6828321608351402,0.013437133430330305
2020-03-31,3,AR1 alpha + Basic + Two-Step,1.0211848628622757,1.0025371193061794,-0.010049420891994381,-0.015188330792876683,0.6309279135691722,0.005138909900882302
2020-04-01,3,AR1 alpha + Basic + Two-Step,0.9803071870980676,0.9581783989374576,-0.040029653053838064,-0.044246461816217754,0.39879812830853084,0.004216808762379688
2020-04-02,3,AR1 alpha + Basic + Two-Step,0.989567735790112,0.9644818686208094,0.009446578392899255,0.0065785971488627575,0.3980435287716376,0.0028679812440364975
2020-04-03,3,AR1 alpha + Basic + Two-Step,0.9598857266199818,0.9329596451758916,-0.029994924143753352,-0.03268306483562415,0.35057080724445355,0.0026881406918707967
2020-04-06,3,AR1 alpha + Basic + Two-Step,1.0186381836011311,0.987922391326936,0.06120776187393944,0.05891224388454897,0.2641031734441926,0.002295517989390472
2020-04-07,3,AR1 alpha + Basic + Two-Step,1.0157934454888904,0.9832285772441081,-0.0027926874900604387,-0.004751197183134463,0.11360556073321794,0.0019585096930740246
2020-04-08,3,AR1 alpha + Basic + Two-Step,1.0433516179825968,1.0091277429934036,0.02712970103921381,0.026340940803295434,0.16227214585856825,0.000788760235918373
2020-04-09,3,AR1 alpha + Basic + Two-Step,1.0495057494213038,1.0139255265216598,0.005898425164285992,0.004754386708291758,0.1988561407797208,0.0011440384559942337
2020-04-13,3,AR1 alpha + Basic + Two-Step,1.040097445239701,1.0034210460642263,-0.008964509424355912,-0.010360209090967302,0.1413515795406966,0.0013956996666113905
