seed,date,strategy,eq_gross,eq_net,rp_gross,rp_net,turnover
19,2020-03-19,Simple + Baseline,1.0268481993894063,1.0261481974872368,0.026848199389406354,0.026148197487236742,1.4000038043392244
19,2020-03-20,Simple + Baseline,0.9897519327843051,0.9885641380566715,-0.03612633944059081,-0.03662634648932639,1.0000140974711684
19,2020-03-23,Simple + Baseline,0.9726826928506865,0.9711199473728337,-0.0172459778740725,-0.01764598776375785,0.8000197793706981
19,2020-03-24,Simple + Baseline,1.0745035201361535,1.07267999799531,0.1046804143158503,0.10458033623676068,0.20015615817926563
19,2020-03-25,Simple + Baseline,1.0874531290805707,1.085431618584825,0.012051713839687055,0.011887627823158808,0.32817203305649284
19,2020-03-26,Simple + Baseline,1.1092184016337747,1.1069192541646324,0.020014906363464414,0.01979639731503569,0.4370180968574495
19,2020-03-27,Simple + Baseline,1.0422549085471373,1.0397850773911765,-0.06036998032849657,-0.060649569985229385,0.5591793134656374
19,2020-03-30,Simple + Baseline,1.0588439342527545,1.056160407657989,0.0159164764488772,0.01574876445418716,0.3354239893800847
19,2020-03-31,Simple + Baseline,1.0746354521739876,1.0718790070482327,0.014913923960264804,0.014882776589873848,0.062294740781913764
19,2020-04-01,Simple + Baseline,1.0142839288121768,1.011389699219094,-0.05615999661998831,-0.05643296251851736,0.5459317970581021
19,2020-04-02,Simple + Baseline,1.0333322141552024,1.030257369863858,0.01878003269294933,0.018655193600776995,0.2496781843446696
19,2020-04-03,Simple + Baseline,1.0245591546242632,1.0214158003035128,-0.00849006680597066,-0.008581903725195917,0.18367383845051669
19,2020-04-06,Simple + Baseline,1.0624451355846758,1.0591221180424577,0.03697783655479275,0.03691573767288549,0.12419776381452845
19,2020-04-07,Simple + Baseline,1.040526534629952,1.0371012192723548,-0.020630336777495758,-0.020791652251398056,0.32263094780459617
19,2020-04-08,Simple + Baseline,1.0825229997934978,1.078857874073756,0.040360782513327524,0.04026285383281906,0.19585736101693244
19,2020-04-09,Simple + Baseline,1.0892432370486793,1.0853829055857733,0.00620793946776512,0.006048091846777651,0.3196952419749387
19,2020-04-13,Simple + Baseline,1.102703986822283,1.0986519074619583,0.012357891530339794,0.012225180448206701,0.26542216426618576
19,2020-04-14,Simple + Baseline,1.1213925543634924,1.117171360347103,0.016947945926145694,0.016856524581955346,0.18284268838069648
19,2020-04-15,Simple + Baseline,1.1033112824123295,1.0991265469097493,-0.016123945072406918,-0.016152234185225767,0.05657822563769766
19,2020-04-16,Simple + Baseline,1.1085748573730554,1.1043025679919733,0.004770707092940492,0.004709213053562192,0.12298807875659926
19,2020-04-17,Simple + Baseline,1.1408551358065224,1.136388611264664,0.02911871780130409,0.029055481896627912,0.12647180935236182
19,2020-04-20,Simple + Baseline,1.1357653859791763,1.1311830181166849,-0.004461346289814464,-0.0045808212933302625,0.23895000703159805
19,2020-04-21,Simple + Baseline,1.1060433871644215,1.1014918463269991,-0.026169135969160165,-0.026247893854629008,0.15751577093768315
