date,seed,strategy,eq_gross,eq_net,rp_gross,rp_net,turnover,tc_paid
2020-03-26,6,AR1 alpha + Enhanced + Two-Step,1.0495970616968713,1.0495970616968713,0.04959706169687132,0.04959706169687132,0.0,0.0
2020-03-27,6,AR1 alpha + Enhanced + Two-Step,1.0073113155284794,1.0073113155284794,-0.04028759960515604,-0.04028759960515604,0.050000004477745816,0.0
2020-03-30,6,AR1 alpha + Enhanced + Two-Step,1.030804038841299,1.030368807260839,0.023322207296454508,0.022890134734823753,0.050000005710345984,0.00043207256163075474
2020-03-31,6,AR1 alpha + Enhanced + Two-Step,1.0228442020280772,1.0220114960743023,-0.007721968980805669,-0.00811099009174589,0.050000007604661306,0.00038902111094022145
2020-04-01,6,AR1 alpha + Enhanced + Two-Step,0.9644217008335206,0.9632806282664724,-0.057117693074583135,-0.05746595613985146,0.0500000058360178,0.00034826306526832684
2020-04-02,6,AR1 alpha + Enhanced + Two-Step,0.9760515818349698,0.9745256796550054,0.012058916749174985,0.011673702406711586,0.050000006638120015,0.00038521434246339953
2020-04-03,6,AR1 alpha + Enhanced + Two-Step,0.9539438173246675,0.9520917573151475,-0.02265020099525869,-0.023020350113092655,0.05000000832294482,0.00037014911783396503
2020-04-06,6,AR1 alpha + Enhanced + Two-Step,1.024162989156312,1.021843883294784,0.07360933689844962,0.07326197863148623,0.05000000534978551,0.00034735826696339424
2020-04-07,6,AR1 alpha + Enhanced + Two-Step,1.0331164873607674,1.0303809703193914,0.008742259092794594,0.00835459032849577,0.05000000733689197,0.00038766876429882256
2020-04-08,6,AR1 alpha + Enhanced + Two-Step,1.0725096293501013,1.0692893563532906,0.03813039717328372,0.03776116519488778,0.05002390795381998,0.0003692319783959354
2020-04-09,6,AR1 alpha + Enhanced + Two-Step,1.1222594722215364,1.1184941887318802,0.04638638340392489,0.04601638657135608,0.05002212185542886,0.00036999683256880983
2020-04-13,6,AR1 alpha + Enhanced + Two-Step,1.1011319618402178,1.0970156881772537,-0.018825869510814934,-0.01920305064702954,0.05000000723591771,0.00037718113621460603
2020-04-14,6,AR1 alpha + Enhanced + Two-Step,1.119250039549239,1.1146608850317359,0.016454047595478197,0.016084726084273714,0.05000000964128822,0.0003693215112044828
2020-04-15,6,AR1 alpha + Enhanced + Two-Step,1.077825170140447,1.0730069668747708,-0.03701127357160984,-0.03736913954397812,0.050000013678629524,0.000357865972368281
2020-04-16,6,AR1 alpha + Enhanced + Two-Step,1.0696424542399283,1.0644775856475406,-0.007591876797099301,-0.007949045523975382,0.05002272856807576,0.00035716872687608124
2020-04-17,6,AR1 alpha + Enhanced + Two-Step,1.1165476153802516,1.1107848342791826,0.043851252308093364,0.04350232382156962,0.05002068669434381,0.00034892848652374423
2020-04-20,6,AR1 alpha + Enhanced + Two-Step,1.1095372019439051,1.1034213122269683,-0.006278651568262178,-0.0066291164814044744,0.050022279458082554,0.00035046491314229603
2020-04-21,6,AR1 alpha + Enhanced + Two-Step,1.0908108493855933,1.0844198183577767,-0.01687762476598649,-0.017220524616152335,0.05002401517079498,0.0003428998501658459
2020-04-22,6,AR1 alpha + Enhanced + Two-Step,1.105604667273101,1.098765052184065,0.013562221072370675,0.013228487328839522,0.05000000906752522,0.0003337337435311524
2020-04-23,6,AR1 alpha + Enhanced + Two-Step,1.126655774971507,1.1193288396567684,0.019040357119988516,0.01871536360919724,0.050000009294713994,0.0003249935107912769
2020-04-24,6,AR1 alpha + Enhanced + Two-Step,1.1507431959445777,1.1429027113709282,0.021379574407879805,0.021060720387932164,0.05002244951875214,0.0003188540199476409
2020-04-27,6,AR1 alpha + Enhanced + Two-Step,1.1932861827742682,1.1848054677660205,0.03697000945095253,0.036663449984145446,0.05000128848399071,0.00030655946680708255
2020-04-28,6,AR1 alpha + Enhanced + Two-Step,1.2014580064545861,1.192563841246986,0.006848167521155101,0.006548225588116268,0.050000011996783694,0.00029994193303883344
