date,strategy,eq_gross,eq_net,rp_gross,rp_net,turnover,trading_cost_paid,cost_coeff
2020-03-23,AR1 alpha + EWMA + Basic + One-Step,0.9860308992248694,0.9860308992248694,-0.013969100775130574,-0.013969100775130574,0.1472299494074914,0.0,0.008841092155902371
2020-03-23,AR1 alpha + EWMA + Basic + Two-Step,0.986214453983961,0.986214453983961,-0.013785546016038888,-0.013785546016038888,0.16068847922922447,0.0,0.008841092155902371
2020-03-23,AR1 alpha + EWMA + Enhanced + One-Step,0.9813010008597742,0.9813010008597742,-0.01869899914022578,-0.01869899914022578,0.05008708165473759,0.0,0.008841092155902371
2020-03-23,AR1 alpha + EWMA + Enhanced + Two-Step,0.980618115819608,0.980618115819608,-0.01938188418039207,-0.01938188418039207,0.05000427028671573,0.0,0.008841092155902371
2020-03-23,AR1 alpha + SampleCov + Basic + One-Step,0.9807220021628231,0.9807220021628231,-0.019277997837176847,-0.019277997837176847,0.0,0.0,0.008841092155902371
2020-03-23,AR1 alpha + SampleCov + Basic + Two-Step,0.9807220021628231,0.9807220021628231,-0.019277997837176847,-0.019277997837176847,3.497202527569243e-17,0.0,0.008841092155902371
2020-03-23,AR1 alpha + SampleCov + Enhanced + One-Step,0.9807220021628252,0.9807220021628252,-0.019277997837174744,-0.019277997837174744,2.1653331905291396e-13,0.0,0.008841092155902371
2020-03-23,AR1 alpha + SampleCov + Enhanced + Two-Step,0.9807220021628231,0.9807220021628231,-0.019277997837176847,-0.019277997837176847,3.677613769070831e-17,0.0,0.008841092155902371
2020-03-23,Simple alpha + EWMA + Basic + One-Step,0.9967705337092064,0.9967705337092064,-0.0032294662907935757,-0.0032294662907935757,0.7514464551505138,0.0,0.008841092155902371
2020-03-23,Simple alpha + EWMA + Basic + Two-Step,0.9966858744972273,0.9966858744972273,-0.0033141255027726068,-0.0033141255027726068,0.7476119946733303,0.0,0.008841092155902371
2020-03-23,Simple alpha + EWMA + Enhanced + One-Step,0.9819144483426412,0.9819144483426412,-0.01808555165735885,-0.01808555165735885,0.05001325133810657,0.0,0.008841092155902371
2020-03-23,Simple alpha + EWMA + Enhanced + Two-Step,0.9812458004700053,0.9812458004700053,-0.01875419952999467,-0.01875419952999467,0.05000095718872432,0.0,0.008841092155902371
2020-03-23,Simple alpha + SampleCov + Basic + One-Step,0.9964591779282741,0.9964591779282741,-0.003540822071725931,-0.003540822071725931,0.7999983473197824,0.0,0.008841092155902371
2020-03-23,Simple alpha + SampleCov + Basic + Two-Step,0.9963370866392205,0.9963370866392205,-0.0036629133607794717,-0.0036629133607794717,0.8031421696031691,0.0,0.008841092155902371
2020-03-23,Simple alpha + SampleCov + Enhanced + One-Step,0.9818772646716049,0.9818772646716049,-0.018122735328395142,-0.018122735328395142,0.05000064594706184,0.0,0.008841092155902371
2020-03-23,Simple alpha + SampleCov + Enhanced + Two-Step,0.9812139181252785,0.9812139181252785,-0.018786081874721465,-0.018786081874721465,0.05000000353813739,0.0,0.008841092155902371
2020-03-24,AR1 alpha + EWMA + Basic + One-Step,1.0480397343965249,1.046764784761731,0.06289213104683046,0.06159134371352039,0.7416569032210267,0.0013007873333100715,0.012162613149603565
2020-03-24,AR1 alpha + EWMA + Basic + Two-Step,1.0483745563156632,1.046988126413244,0.06303315555481687,0.06161945002513451,0.7566460307489075,0.0014137055296823485,0.012162613149603565
2020-03-24,AR1 alpha + EWMA + Enhanced + One-Step,1.078118320781189,1.0776838114056364,0.09869619435603236,0.09825334884234857,0.05007398913642318,0.00044284551368378104,0.012162613149603565
2020-03-24,AR1 alpha + EWMA + Enhanced + Two-Step,1.0821984461477994,1.0817649846956463,0.10360327328487323,0.10316117837372006,0.050014319567302096,0.0004420949111531492,0.012162613149603565
2020-03-24,AR1 alpha + SampleCov + Basic + One-Step,1.0860217434484039,1.0860217434484039,0.10738585911758662,0.10738585911758662,1.5341277072291573,0.0,0.012162613149603565
2020-03-24,AR1 alpha + SampleCov + Basic + Two-Step,1.0860217434484039,1.0860217434484039,0.10738585911758662,0.10738585911758662,1.5337872977589524,2.934830042429664e-19,0.012162613149603565
2020-03-24,AR1 alpha + SampleCov + Enhanced + One-Step,1.0860217434484063,1.0860217434484043,0.10738585911758673,0.10738585911758483,0.05002975071667734,1.911470972800928e-15,0.012162613149603565
2020-03-24,AR1 alpha + SampleCov + Enhanced + Two-Step,1.0860217434484039,1.0860217434484039,0.10738585911758662,0.10738585911758662,0.05000253960392868,3.3453572914374748e-19,0.012162613149603565
2020-03-24,Simple alpha + EWMA + Basic + One-Step,1.106329026016552,1.0997638465603494,0.10989450655091167,0.10329627571058694,0.4173920914314818,0.006598230840324737,0.012162613149603565
2020-03-24,Simple alpha + EWMA + Basic + Two-Step,1.1062000957862608,1.0996692234308252,0.10986009285980972,0.10329585402820379,0.41492057496498425,0.006564238831605922,0.012162613149603565
2020-03-24,Simple alpha + EWMA + Enhanced + One-Step,1.086813023237223,1.0863788807929189,0.10686726904845434,0.10642509756761459,0.05000832918928569,0.00044217148083974545,0.012162613149603565
2020-03-24,Simple alpha + EWMA + Enhanced + Two-Step,1.0867709610466232,1.0863372434053056,0.10755904695845916,0.10711698289156502,0.050002666759522044,0.00044206406689415714,0.012162613149603565
2020-03-24,Simple alpha + SampleCov + Basic + One-Step,1.1053244160806797,1.098254564761561,0.10923971753475917,0.10214048682059379,0.18738579189094717,0.007099230714165357,0.012162613149603565
2020-03-24,Simple alpha + SampleCov + Basic + Two-Step,1.1055680293119292,1.098464679151387,0.10961931780560513,0.10248587030429249,0.18934160454177612,0.0071334475013126375,0.012162613149603565
2020-03-24,Simple alpha + SampleCov + Enhanced + One-Step,1.0867203648339416,1.0862863505028937,0.10681468840398547,0.10637262819900313,0.05002211554682346,0.00044206020498235187,0.012162613149603565
2020-03-24,Simple alpha + SampleCov + Enhanced + Two-Step,1.086688266482211,1.086254573332216,0.10751159138428741,0.10706953674737817,0.05000548558602895,0.0004420546369092606,0.012162613149603565
2020-03-25,AR1 alpha + EWMA + Basic + One-Step,1.046171806133215,1.0354758849316612,-0.0017103963184006512,-0.010698717043328827,1.5920698892952427,0.008988320724928178,0.011168602316845529
2020-03-25,AR1 alpha + EWMA + Basic + Two-Step,1.0465647503877706,1.0355567869155344,-0.0016570649654285411,-0.010835055792993063,1.5706541358000508,0.00917799082756452,0.011168602316845529
2020-03-25,AR1 alpha + EWMA + Enhanced + One-Step,1.101178372106595,1.1000781004121962,0.02137823513281216,0.020769221077271798,0.05005955632949068,0.0006090140555403584,0.011168602316845529
2020-03-25,AR1 alpha + EWMA + Enhanced + Two-Step,1.1095331468074654,1.1084305071398342,0.025237998020156072,0.024629688923910154,0.05002366877613537,0.0006083090962459187,0.011168602316845529
2020-03-25,AR1 alpha + SampleCov + Basic + One-Step,1.0941865001735507,1.0739273199682193,0.007501473225080035,-0.011149944840872507,1.2191628361867677,0.01865141806595254,0.011168602316845529
2020-03-25,AR1 alpha + SampleCov + Basic + Two-Step,1.0945954848515447,1.0743384388199229,0.007882930916097939,-0.010765673994054446,1.2074794583253534,0.018648604910152383,0.011168602316845529
2020-03-25,AR1 alpha + SampleCov + Enhanced + One-Step,1.113852495413106,1.1131914710424646,0.02560283617685206,0.024994349451686465,0.05001387493076934,0.0006084867251655993,0.011168602316845529
2020-03-25,AR1 alpha + SampleCov + Enhanced + Two-Step,1.1153144362328171,1.1146537650011985,0.026951475002249606,0.0263433116256687,0.0500149122969126,0.0006081633765809038,0.011168602316845529
2020-03-25,Simple alpha + EWMA + Basic + One-Step,1.1361161474523256,1.123831265235888,0.026954037378186465,0.021920426954140395,0.4868844154239122,0.0050336104240460726,0.011168602316845529
