seed,asset
9,NYSE:AEE
9,NYSE:WLK
9,NYSE:NPO
9,NASDAQ:ECPG
9,NYSE:UVV
9,NYSE:KOS
9,NYSE:AMCR
9,NYSE:OLN
9,NASDAQ:DGII
9,NASDAQ:SPT
9,NASDAQ:TCMD
9,NYSE:MPC
9,NYSE:RNG
9,NASDAQ:TRMK
9,NYSE:KMT
9,NASDAQ:KELYA
9,NYSE:DOOR
9,NASDAQ:VRA
9,NYSE:DBI
9,NYSE:SKX
9,NASDAQ:CYRX
9,NYSE:OMF
9,NYSE:FF
9,NYSE:FIS
9,NYSE:HTH
9,NASDAQ:MERC
9,NYSE:ECL
9,NYSE:GRC
9,NYSE:UBER
9,NYSE:ONTO
9,NASDAQ:HAS
9,NYSE:LXU
9,NYSE:HRTG
9,NYSE:TDG
9,NYSE:CVS
9,NASDAQ:RGEN
9,NYSE:LII
9,NYSE:JPM
9,NYSE:ORA
9,NASDAQ:COST
9,NYSE:OC
9,NASDAQ:SCHL
9,NASDAQ:SHYF
9,NYSE:HII
9,NYSE:DDS
9,NASDAQ:ACIW
9,NASDAQ:NEOG
9,NYSE:BBDC
9,NASDAQ:MSFT
9,NYSE:RDN
9,NASDAQ:OTTR
9,NYSE:OIS
9,NASDAQ:HOPE
9,NYSE:AWR
9,NASDAQ:NTNX
9,NASDAQ:AOSL
9,NYSE:NOV
9,NYSE:NI
9,NYSE:ETRN
9,NYSE:BYD
9,NYSE:VZ
9,NASDAQ:XP
9,NASDAQ:CMCSA
9,NYSE:ARW
9,NASDAQ:ITCI
9,NYSE:CLH
9,NYSE:SMG
9,NASDAQ:TILE
9,NYSE:OGE
9,NASDAQ:GBDC
9,NYSE:QTWO
9,NASDAQ:AAOI
9,NYSE:HLF
9,NYSE:VST
9,NASDAQ:MBWM
9,NASDAQ:EXPO
9,NASDAQ:MSEX
9,NYSE:ES
9,NASDAQ:PRDO
9,NASDAQ:KLIC
9,NYSE:CRK
9,NYSE:MO
9,NASDAQ:PODD
9,NYSE:GBX
9,NYSE:AON
9,NASDAQ:ENPH
9,NYSE:MXL
9,NYSE:MOV
9,NASDAQ:RDWR
9,NASDAQ:FAST
9,NYSE:WGO
9,NASDAQ:MGNI
9,NASDAQ:PINC
9,NYSE:HL
9,NASDAQ:SLM
9,NYSE:GMS
9,NASDAQ:ADMA
9,NYSE:CB
9,NASDAQ:GO
9,NYSE:VVI
