seed,asset
18,NASDAQ:ADBE
18,NYSE:ALK
18,NASDAQ:OTEX
18,NYSE:KEY
18,NYSE:RJF
18,NASDAQ:ICHR
18,NYSE:PKG
18,NYSE:PAR
18,NASDAQ:CTMX
18,NASDAQ:RDNT
18,NASDAQ:DGII
18,NYSE:MOV
18,NASDAQ:NBIX
18,NASDAQ:ATEX
18,NYSE:ES
18,NYSE:HII
18,NYSE:MTDR
18,NYSE:FSS
18,NYSE:OMF
18,NYSE:RRC
18,NASDAQ:MCRB
18,NYSE:GNRC
18,NYSE:MO
18,NYSE:FIX
18,NYSE:EVRG
18,NYSE:STC
18,NYSE:PAG
18,NYSE:BTU
18,NASDAQ:PPBI
18,NASDAQ:TXN
18,NYSE:FF
18,NYSE:SKX
18,NYSE:INSW
18,NYSE:HP
18,NYSE:DBI
18,NYSE:LXFR
18,NYSE:USFD
18,NYSE:USM
18,NYSE:ARCH
18,NASDAQ:LANC
18,NYSE:EW
18,NASDAQ:FIVN
18,NYSE:GIL
18,NYSE:KW
18,NYSE:FVRR
18,NYSE:EGO
18,NASDAQ:TILE
18,NYSE:ALL
18,NASDAQ:PODD
18,NASDAQ:GO
