seed,asset
21,NYSE:RRC
21,NASDAQ:SATS
21,NYSE:VZ
21,NASDAQ:JOUT
21,NYSE:JOE
21,NYSE:MDU
21,NASDAQ:SCHL
21,NYSE:USPH
21,NASDAQ:ZS
21,NASDAQ:NWLI
21,NASDAQ:ENPH
21,NASDAQ:AEHR
21,NYSE:JPM
21,NASDAQ:TRUP
21,NASDAQ:ROKU
21,NYSE:DDS
21,NASDAQ:ATEX
21,NYSE:CE
21,NYSE:GMS
21,NASDAQ:MMYT
21,NASDAQ:LSTR
21,NYSE:MTRN
21,NYSE:UVV
21,NYSE:GNRC
21,NYSE:FCF
21,NYSE:IQV
21,NASDAQ:CHTR
21,NASDAQ:SFIX
21,NYSE:LPX
21,NYSE:OMF
21,NASDAQ:IPGP
21,NYSE:EGY
21,NASDAQ:RDWR
21,NYSE:LXFR
21,NYSE:HP
21,NASDAQ:INTU
21,NASDAQ:ORLY
21,NASDAQ:OTTR
21,NYSE:GNW
21,NASDAQ:KIDS
21,NASDAQ:NBIX
21,NASDAQ:OFIX
21,NASDAQ:LANC
21,NYSE:YETI
21,NASDAQ:TSCO
21,NASDAQ:SHEN
21,NYSE:NVR
21,NYSE:NEM
21,NYSE:NBR
21,NASDAQ:NMIH
21,NASDAQ:HEAR
21,NYSE:FDX
21,NASDAQ:QCOM
21,NASDAQ:JRVR
21,NYSE:BCC
21,NYSE:CACI
21,NASDAQ:XP
21,NASDAQ:PPBI
21,NASDAQ:LASR
21,NYSE:MPC
21,NASDAQ:INTC
21,NYSE:KOS
21,NASDAQ:AAOI
21,NASDAQ:NFLX
21,NYSE:AG
21,NYSE:CNS
21,NYSE:OIS
21,NYSE:CC
21,NASDAQ:LITE
21,NYSE:MXL
21,NASDAQ:VRA
21,NASDAQ:AEIS
21,NYSE:RRX
21,NYSE:CIVI
21,NASDAQ:CMCSA
21,NYSE:SCL
21,NYSE:CNP
21,NYSE:CMP
21,NYSE:INSP
21,NASDAQ:SRCE
21,NASDAQ:FTDR
21,NYSE:TREX
21,NASDAQ:MORN
21,NASDAQ:MGNI
21,NYSE:ELAN
21,NYSE:BYD
21,NYSE:UBER
21,NYSE:MS
21,NYSE:OC
21,NASDAQ:EXPO
21,NYSE:HL
21,NASDAQ:PINC
21,NASDAQ:CYRX
21,NYSE:CLH
21,NASDAQ:UAL
21,NASDAQ:SDGR
21,NYSE:ROG
21,NASDAQ:FATE
21,NASDAQ:ITRI
21,NASDAQ:PBYI
