date,seed,strategy,asset,weight
2020-06-26,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,5.399966087836833e-08
2020-06-29,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-06-30,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,2.3800209616888228e-09
2020-07-01,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,3.8586308618048256e-07
2020-07-02,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.4982739655724854e-07
2020-07-06,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,3.6406540555865605e-08
2020-07-07,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-07-08,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-07-09,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.8703434465927966e-07
2020-07-10,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,2.1723067496402525e-07
2020-07-13,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,7.157680496092024e-08
2020-07-14,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.4384180611004562e-08
2020-07-15,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,2.8907861292399822e-08
2020-07-16,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.3673884011703972e-07
2020-07-17,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,6.005339072753157e-08
2020-07-20,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,4.464456041323071e-08
2020-07-21,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,2.1458219610486834e-08
2020-07-22,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,3.756232263462637e-09
2020-07-23,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.2073960928146296e-08
2020-07-24,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-07-27,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,3.7769405021628324e-10
2020-07-28,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-07-29,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,2.583799567940208e-08
2020-07-30,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,3.869706662350053e-07
2020-07-31,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,2.001710787301697e-07
2020-08-03,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.1070468803372814e-07
2020-08-04,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,5.575678979104512e-08
2020-08-05,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,2.4395726304172764e-07
2020-08-06,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.1946231118783282e-07
2020-08-07,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-08-10,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-08-11,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,4.7690483718855795e-09
2020-08-12,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-08-13,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-08-14,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-08-17,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.019824469308454e-09
2020-08-18,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.4279673036719175e-07
2020-08-19,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,7.005661215878654e-08
2020-08-20,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,5.371807840075089e-07
2020-08-21,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,2.1089344493273053e-07
2020-08-24,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,9.75340481645053e-08
2020-08-25,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,6.033005773797762e-08
2020-08-26,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,2.0654405041997807e-08
2020-08-27,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.33114062409166e-08
2020-08-28,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.1267616439228654e-10
2020-08-31,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-09-01,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,7.149101894525275e-10
2020-09-02,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,3.3412322929902464e-07
2020-09-03,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.6602536827830998e-07
2020-09-04,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.848283036859903e-07
2020-09-08,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,2.1475253027260673e-07
2020-09-09,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.0622607778210124e-07
2020-09-10,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,5.086499664483315e-08
2020-09-11,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,9.380334507562614e-08
2020-09-14,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-09-15,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-09-16,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-09-17,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-09-18,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.6296586408648515e-07
2020-09-21,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,4.583173968213188e-09
2020-09-22,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,4.99222795240968e-07
2020-09-23,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,3.911288764696584e-07
2020-09-24,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-09-25,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-09-28,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.1652261687204153e-09
2020-09-29,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,3.9749975353051633e-07
2020-09-30,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-10-01,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,3.925552101685929e-08
2020-10-02,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-10-05,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,2.4709364366878013e-09
2020-10-06,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-10-07,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,7.3323477380796e-07
2020-10-08,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-10-09,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-10-12,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,4.247068907229485e-08
2020-10-13,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,1.6911121593236548e-07
2020-10-14,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-10-15,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-10-16,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
2020-10-19,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0
