date,seed,strategy,asset,target_weight
2020-06-30,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.5732804597587888e-06
2020-07-01,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,7.32512961491397e-08
2020-07-02,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-06,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,3.9702220702100473e-10
2020-07-07,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-08,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-09,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-10,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-13,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,6.280343481010692e-07
2020-07-14,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-15,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-16,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-17,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,4.2728567461510166e-08
2020-07-20,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,6.72349499655843e-08
2020-07-21,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,6.081997686869691e-09
2020-07-22,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-23,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-24,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.0148323143384999e-08
2020-07-27,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,2.0970186708548204e-09
2020-07-28,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-29,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-30,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-31,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-03,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-04,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-05,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,5.303120980962344e-10
2020-08-06,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-07,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-10,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-11,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-12,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-13,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-14,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-17,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-18,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-19,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-20,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-21,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-24,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-25,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-26,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-27,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-08-28,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,6.072541181991705e-10
2020-08-31,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-09-01,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-09-02,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,2.933695040180466e-08
2020-09-03,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-09-04,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-09-08,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-09-09,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-09-10,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.9614179131260954e-08
2020-09-11,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,3.3876467235701853e-10
2020-09-14,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,9.119829168593702e-10
2020-09-15,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-09-16,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-09-17,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-09-18,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
