seed,date,strategy,NYSE:SEM,NASDAQ:SLM,NYSE:CPB,NYSE:GHC,NASDAQ:SPSC,NYSE:FF,NYSE:OIS,NYSE:MTD,NYSE:AN,NYSE:FCF,NYSE:LC,NASDAQ:ORLY,NYSE:FHN,NASDAQ:CGBD,NASDAQ:CMCSA,NYSE:NBR,NASDAQ:PAAS,NYSE:JOE,NASDAQ:PLAB,NASDAQ:SHYF,NASDAQ:OLLI,NYSE:DDS,NYSE:ROG,NYSE:LXFR,NASDAQ:RDWR,NYSE:JEF,NYSE:SO,NYSE:HII,NYSE:PGR,NASDAQ:EFSC,NYSE:MPC,NYSE:MLR,NASDAQ:MRNA,NASDAQ:KHC,NASDAQ:MSFT,NASDAQ:SFM,NASDAQ:PTCT,NASDAQ:AVGO,NASDAQ:IRMD,NASDAQ:SUPN,NASDAQ:TW,NYSE:AVNS,NASDAQ:WSBC,NYSE:CVS,NYSE:KGC,NASDAQ:RVNC,NYSE:QTWO,NYSE:CLH,NYSE:TRN,NASDAQ:SCHL
19,2020-03-20,simple,2.446879066377678e-08,2.47412026946799e-08,2.4741203192361372e-08,2.4741202960373484e-08,0.10000002474120245,2.4741202182607874e-08,2.4741202232526774e-08,2.4740890418429936e-08,0.1000000247412044,2.4741202348908625e-08,2.4741202944815726e-08,2.4741202286198868e-08,2.4741201386737156e-08,4.2255058538741246e-08,2.4741204427335274e-08,0.10000002477541264,2.4785484404449708e-08,2.4741202177657026e-08,0.10000002481076256,2.4741202386177234e-08,0.10000002474122982,2.4741202878951125e-08,2.4680263328772355e-08,2.4811769552804714e-08,2.474120236946542e-08,2.4741198570605618e-08,2.474120191898212e-08,2.474120179606814e-08,0.1000000247411966,2.4741203087873727e-08,0.09999877053397019,2.4741202584692723e-08,2.4741202233248685e-08,2.474120230460433e-08,2.4741202164544717e-08,2.474120234566832e-08,0.1000000247412022,2.4741202281624126e-08,2.4741200744358105e-08,2.4741201893532347e-08,2.4741202095481572e-08,2.470124484622432e-08,2.4741202289817595e-08,2.4741202303763436e-08,2.4741200824138663e-08,0.10000002468097874,2.4741202619996262e-08,0.10000002420517104,2.4741202819330938e-08,2.5125696424190323e-08
19,2020-03-23,simple,1.2183497511777e-07,2.2222872321616807e-07,2.5542281146222405e-07,1.0818093238628211e-07,0.1000002709955122,1.7134296990937144e-07,1.2433742749117016e-07,2.0466740833654645e-07,0.10000027165097292,1.6038978837931493e-07,2.023984076490093e-07,1.4439931455708856e-07,1.7836728580542232e-07,1.996683525306008e-07,1.3894914957806088e-07,0.10000015901051962,0.10000010858922369,1.1594301247174407e-07,0.1000001788376775,2.695628267442173e-07,0.10000019366386068,9.390363850726396e-08,1.2636503667615705e-07,1.0871594564129721e-07,2.456444886825833e-07,1.1918341918335099e-07,1.7591246903070585e-07,1.671490142250193e-07,1.8581953812913808e-07,1.4121182836228464e-07,0.08018317196033864,2.463154624779043e-07,1.1800392001174806e-07,1.0802507940044348e-07,1.650525925617625e-07,1.1668260112360798e-07,0.10000016728978359,1.8461352347009352e-07,9.899024890149212e-08,1.1517171096306157e-07,1.243498386256563e-07,1.1517253245629623e-07,1.2647581376659903e-07,1.785904541540133e-07,0.019809125331637752,0.10000010365069871,1.3162455489601441e-07,0.10000008188233624,2.6013508345629745e-07,9.633525805932018e-08
19,2020-03-24,simple,3.3473643089462694e-09,3.177821882743909e-08,3.023307649858122e-08,4.2258344659801414e-08,0.10000000467622078,7.53111808134185e-09,5.4681500306924287e-08,5.060828526246873e-08,0.10000001278299303,3.2695316156682895e-08,5.570687463219615e-08,0.0,6.051620348894737e-08,6.402475915437355e-08,0.0,0.10000000896131325,0.09999995704408839,0.0,0.09999992195444404,6.195496147204119e-09,0.09999992637526786,5.437759654674385e-08,0.0,0.0,1.0955259698213306e-08,0.0,3.8379964922645804e-08,1.2484702797723156e-08,1.6635353128063875e-09,0.0,0.07888969261667268,2.6183464404486194e-08,0.0,2.083372877585538e-08,9.750017516120324e-09,5.370823429961029e-09,0.09999992936045153,1.2181209748620529e-08,0.0,0.0,2.2129722295085365e-08,1.2107426815093418e-08,0.0,0.0,0.021109862465259196,0.09999996831080435,1.971302235217514e-08,0.09999999232126078,3.7424191942246944e-08,0.0
19,2020-03-25,simple,1.2986334484655804e-05,0.0,0.0,0.0,0.09999850109952976,0.0,0.0,0.0,0.09999865456842227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999901885225265,0.0,0.09999848528948975,0.09999862487499293,0.09999841326859372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999887226595665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999896043169805,0.09999869128397133,0.0,0.09999879173060826,0.0,0.0
19,2020-03-26,simple,0.08719607916248487,3.035807319333367e-07,4.2907417547345465e-07,2.326085659625063e-07,0.09999967289472976,3.5008560138267753e-07,2.4488569455266477e-07,3.1080993908390667e-07,0.09999968150542395,4.311059401646605e-07,2.750094760665454e-07,2.0419120857505196e-07,2.892796977837171e-07,2.508022955193241e-07,2.716199113131642e-07,1.293895462349799e-07,0.09999987410402765,2.2538143189902637e-07,0.09999964852783522,0.09999972302309809,0.012795586359992294,1.8625464075199753e-07,5.279765861484743e-08,1.8205435222331005e-07,2.6733902999617473e-07,2.537152302832476e-07,2.7618328898631904e-07,2.2756055526029403e-07,3.1655536965727783e-07,3.2063836632691093e-07,0.09999993788284231,2.7573053431383966e-07,1.7534407812100822e-07,3.3645783421252085e-07,2.776204412267192e-07,3.4976223218634886e-07,2.3564385185484469e-07,0.10000043361525301,7.52577846989187e-08,8.343483248342102e-08,2.424718985235643e-07,2.7320121886915947e-07,2.802710763464882e-07,3.232438872823255e-07,8.538005655854949e-08,0.09999979491019084,3.03521216549877e-07,0.10000001534652261,1.6198371922420815e-07,4.242022886040505e-08
19,2020-03-27,simple,5.635689370258201e-07,3.1929321224381753e-07,3.476100295635277e-07,6.316250591455606e-07,0.10000000761487539,3.188692284544679e-07,3.1665764761522456e-07,5.81708579421635e-07,4.030529931199259e-07,2.126766420762859e-07,4.441015171183551e-07,4.781617723864575e-07,3.673920390622514e-07,3.2382719033081764e-07,1.3838705041718787e-07,0.0,0.058324843799957865,3.459166367842293e-07,0.09999961304294802,0.0,0.10000068923089271,2.426844469416016e-07,7.139790611500218e-07,3.8557702793918707e-07,0.09119605341706906,3.0608177023629494e-07,3.640184407481922e-07,3.4843580004113353e-07,7.811260414522613e-08,1.3699978247467117e-07,0.10000007286310286,2.3637807769761794e-07,0.09089391603296473,1.532300392105795e-07,2.4231401801550575e-07,8.903859528208065e-08,4.429029886502079e-08,0.05957170465036476,3.614947434354011e-07,4.29444674092897e-07,3.7653689564188127e-07,3.2354707742319057e-07,2.960202314213093e-07,1.3886139756974088e-07,3.6770401952188565e-07,0.10000014743127436,1.780314955133245e-07,0.09999990414753478,4.894950899100956e-07,0.10000095264489348
19,2020-03-30,simple,1.5746330941698497e-07,1.446295697909079e-07,2.1984347650610803e-07,2.387783660843061e-07,0.1000000544555719,1.689915565465495e-07,9.204676085924637e-08,2.428630086578731e-07,1.7943471665113452e-07,1.2257592513602345e-07,1.6081014388800103e-07,1.8685361844708326e-07,1.1516039753661498e-07,5.813460036653274e-08,1.1128003870101137e-07,1.7735775028113905e-08,4.2455150271939934e-08,1.9262159943389333e-07,0.09999989480220006,2.9309678241834814e-08,0.10000048551842364,4.281850844664685e-08,2.494473811915692e-07,1.73752790028964e-07,0.10000011941774375,1.1935750844014978e-07,1.238028880704658e-07,1.3410298171527277e-07,7.520623128252758e-08,9.127373771140734e-08,0.10000001880918602,1.324795759519997e-07,0.0866744730327949,7.161173903855767e-08,1.2295173279020387e-07,6.716624764315745e-08,7.58560632884319e-08,0.1000000537648342,0.013319281696878916,2.554108954662703e-07,1.4662496101017524e-07,1.2726497101343224e-07,1.5282676578881798e-07,1.0147181427581858e-07,1.3850324096661688e-07,0.10000009086208043,8.116286795698823e-08,0.09999998277814114,1.967987455054911e-07,0.10000038398280577
19,2020-03-31,simple,2.4359177008899345e-07,0.0,0.0,0.0,0.09999895073951533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34941478791525e-08,6.583163226499706e-08,8.936348606398652e-08,3.386627156046259e-07,0.0,0.09999901665837636,0.0,0.0999990490355295,0.0,0.0,4.823362560932836e-10,2.6339616495138057e-06,1.0186776663672043e-07,0.0,0.0,0.0,6.018470566583673e-08,0.09999865645633543,0.0,0.06621074970926658,0.0,5.032168737588844e-08,0.0,0.03379532296717964,0.0999989437916374,0.09999778719622189,0.10000035566498457,0.0,0.0,0.0,0.0,3.009596450074688e-07,0.09999843690131652,0.0,0.0999987521580944,0.0,0.0
19,2020-04-01,simple,0.0,0.0,5.6845926040550645e-08,0.0,0.09999848411878197,0.09999892922136804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61675158987612e-08,0.0,0.09999919806022028,0.0,0.0,0.0,1.0899372568966682e-06,0.0,0.0,0.0,0.03299332063244936,0.0,0.09999869337808248,0.0,0.09999918440173496,0.0,0.0,0.0,0.09999910213103559,0.0,0.09999821433590976,0.06701640736523094,0.0,0.0,0.0,9.637192056294722e-09,0.09999877902644225,0.0,0.0,0.09999849474085343,0.0,0.0
19,2020-04-02,simple,1.0841017750751851e-07,1.7487768037214894e-07,2.2897294565668607e-07,3.1717486326072164e-08,0.09999954083592544,0.0999998027754561,9.675033947614415e-08,4.4726296453212464e-08,1.5577507790676994e-07,1.7848534363199775e-07,1.4145126202274012e-07,1.8903897403013366e-07,1.1815685643786293e-07,4.6006795307333676e-08,2.892886901974624e-07,1.141239542689391e-07,1.3010553275366573e-07,1.9357698387147533e-07,2.96933888786673e-07,1.7378698082135512e-07,0.10000036139278605,3.455182453266013e-08,2.961348660082028e-08,1.1576129436454078e-07,6.664184648929876e-07,1.847623835456079e-07,1.4436463931161392e-07,1.9999138918993596e-07,0.03299402949043922,1.905129427853376e-07,0.09999979962871583,1.1288789658587681e-07,0.09999976458752219,1.8995065097924858e-07,1.9186746224149996e-07,2.140196669828487e-07,0.10000037842066847,0.09719527903482593,0.05588486401695826,9.531306845346652e-08,0.0139200746755855,1.242958959320261e-07,1.723771109020676e-07,1.8456939014093702e-07,0.10000021449362143,1.487759307189305e-07,2.096288839575595e-07,0.09999974250464404,1.2728707724813145e-07,9.900812641395163e-08
