seed,date,strategy,eq_gross,eq_net,rp_gross,rp_net,turnover
24,2020-03-19,Simple + Baseline,1.0110625669263535,1.0105625566827365,0.011062566926353441,0.010562556682736469,1.0000204872339458
24,2020-03-20,Simple + Baseline,0.9566899899149333,0.9557230372755868,-0.05377765806987971,-0.054266328239159604,0.977340338559788
24,2020-03-23,Simple + Baseline,0.9413074962589559,0.9400693561986481,-0.016078869663249156,-0.016378888513100646,0.6000376997029783
24,2020-03-24,Simple + Baseline,0.9989072877264397,0.9975408879316418,0.06119125970674069,0.06113541660946268,0.11168619455603063
24,2020-03-25,Simple + Baseline,1.0040574798357935,1.002584280883298,0.005155825943642806,0.005055825793881548,0.20000029952251652
24,2020-03-26,Simple + Baseline,1.041152187957015,1.0395094204979576,0.0369448053186039,0.036829960651415375,0.22968933437704114
24,2020-03-27,Simple + Baseline,0.9917259066496886,0.9899537506671892,-0.04747267678927155,-0.047672170019421055,0.39898646029900875
24,2020-03-30,Simple + Baseline,1.0048186703040953,1.0028251208921755,0.013201998220090385,0.013001991473148776,0.4000134938832161
24,2020-03-31,Simple + Baseline,0.9976167408400469,0.9955007662851469,-0.0071673921642686714,-0.0073037207130514144,0.27265709756548545
24,2020-04-01,Simple + Baseline,0.9500469257203745,0.9479322680739682,-0.047683457155717,-0.04778348728819906,0.2000602649641161
24,2020-04-02,Simple + Baseline,0.9571817091512823,0.9549563751417499,0.007509927391741967,0.007409925059364663,0.20000466475460907
24,2020-04-03,Simple + Baseline,0.930029799659374,0.9276330907112551,-0.028366515189663818,-0.028612076050530632,0.4911217217336305
24,2020-04-06,Simple + Baseline,0.9906173427091532,0.988003092654217,0.06514580830847529,0.06507961234616348,0.1323919246236143
24,2020-04-07,Simple + Baseline,0.9802684969625659,0.9776014744558726,-0.010446865101599334,-0.01052792068737461,0.16211117155055146
24,2020-04-08,Simple + Baseline,1.0048319073522936,1.0020280240687245,0.02505783922041693,0.024986203735471592,0.14327096989067317
24,2020-04-09,Simple + Baseline,1.0058576572941276,1.002914449959765,0.0010208174465090268,0.0008846318363844029,0.27237122024924787
24,2020-04-13,Simple + Baseline,1.0020948651090196,0.9990341528136234,-0.0037408793956298153,-0.0038690210778170166,0.25628336437440236
24,2020-04-14,Simple + Baseline,1.0538738567359571,1.0506285926230154,0.051670748379001444,0.0516443203308758,0.052856096251290466
24,2020-04-15,Simple + Baseline,1.0496034790605235,1.0463072220512222,-0.004052076677050962,-0.00411312865663058,0.1221039591592369
24,2020-04-16,Simple + Baseline,1.07316892486964,1.0696294960881536,0.022451760383082442,0.022290082248700903,0.3233562687630766
24,2020-04-17,Simple + Baseline,1.1002283613397483,1.096492728369625,0.025214517344876855,0.025114520850178193,0.19999298939732094
24,2020-04-20,Simple + Baseline,1.1185670631411968,1.1147477395394234,0.0166680867771101,0.016648547407096502,0.03907874002719883
24,2020-04-21,Simple + Baseline,1.080546257989552,1.0767732685906566,-0.03399063534453944,-0.03406552855129068,0.1497864135024824
24,2020-04-22,Simple + Baseline,1.0969225665267932,1.0930365729215754,0.015155583036038409,0.015103740783057425,0.10368450596196718
