seed,date,cost_coeff
11,2020-03-20,0.008300365745195304
11,2020-03-23,0.008651492158656184
11,2020-03-24,0.012437357373999189
11,2020-03-25,0.010980052822472348
11,2020-03-26,0.011139488772282633
11,2020-03-27,0.010369924838524688
11,2020-03-30,0.009617926517598555
11,2020-03-31,0.008810920779690578
11,2020-04-01,0.00892665943561436
11,2020-04-02,0.008589422670702635
11,2020-04-03,0.008344839446678957
11,2020-04-06,0.008796352150298479
11,2020-04-07,0.008416954074089463
11,2020-04-08,0.008402780171288962
11,2020-04-09,0.008353244884221579
11,2020-04-13,0.008121942665609694
11,2020-04-14,0.007936219885947114
11,2020-04-15,0.007865362159249671
11,2020-04-16,0.007722152872325122
11,2020-04-17,0.007643541358908499
11,2020-04-20,0.007429732149015632
11,2020-04-21,0.007256352440832085
11,2020-04-22,0.006956740305658181
11,2020-04-23,0.006084810888938531
11,2020-04-24,0.005953221814693459
11,2020-04-27,0.005698513897611131
11,2020-04-28,0.005603287341972003
11,2020-04-29,0.005693589713541663
11,2020-04-30,0.0057613489170970054
11,2020-05-01,0.0055786495330883866
11,2020-05-04,0.005451570366212926
11,2020-05-05,0.005275403907268796
11,2020-05-06,0.004742732866918099
11,2020-05-07,0.004712490656010947
11,2020-05-08,0.00459188275320088
11,2020-05-11,0.004447808271530695
11,2020-05-12,0.00446525371345827
11,2020-05-13,0.004503855189777724
11,2020-05-14,0.004273734230305792
11,2020-05-15,0.004139130793413766
11,2020-05-18,0.00434344519051101
11,2020-05-19,0.004359794049419667
11,2020-05-20,0.004321687692010087
11,2020-05-21,0.004301676056304089
11,2020-05-22,0.004323656719943714
11,2020-05-26,0.004417761661712664
11,2020-05-27,0.004368482039839525
11,2020-05-28,0.004302996827877231
11,2020-05-29,0.004138409048129404
11,2020-06-01,0.003978594313682567
11,2020-06-02,0.003766704581874852
11,2020-06-03,0.003906605012341109
11,2020-06-04,0.003883108235421568
11,2020-06-05,0.004012902021781018
11,2020-06-08,0.004090493691681587
11,2020-06-09,0.003928076737397585
11,2020-06-10,0.003913668625487705
11,2020-06-11,0.004242200038445336
11,2020-06-12,0.004069485126686789
11,2020-06-15,0.004080222027470133
11,2020-06-16,0.004096466073565633
11,2020-06-17,0.0037029600059495967
11,2020-06-18,0.003576796837060467
11,2020-06-19,0.0034866379935640053
11,2020-06-22,0.0034460305344610233
11,2020-06-23,0.0033792226867347982
11,2020-06-24,0.003340026631605214
11,2020-06-25,0.0031889736225764434
11,2020-06-26,0.0031720449973530658
11,2020-06-29,0.0032263210865279878
11,2020-06-30,0.003248910662345554
11,2020-07-01,0.0033312280588276544
11,2020-07-02,0.003116000900187692
11,2020-07-06,0.003102008114618757
11,2020-07-07,0.0029637946895606417
11,2020-07-08,0.0027777243195282056
11,2020-07-09,0.0028170785758106576
11,2020-07-10,0.0026989005723636775
11,2020-07-13,0.0022126628476175814
11,2020-07-14,0.002219090074909959
11,2020-07-15,0.002325986736226331
11,2020-07-16,0.0022246798343543155
11,2020-07-17,0.0021893521427228365
11,2020-07-20,0.0022455744034636195
11,2020-07-21,0.0022407775739295144
11,2020-07-22,0.002210464285818765
11,2020-07-23,0.002237262482518785
11,2020-07-24,0.002049827328385213
11,2020-07-27,0.002042883896930892
11,2020-07-28,0.0019960199345437552
11,2020-07-29,0.001871848223416235
11,2020-07-30,0.0018817017833142914
11,2020-07-31,0.0018080630461207265
11,2020-08-03,0.0018635367986899122
11,2020-08-04,0.0019014097035855789
11,2020-08-05,0.0018718757032985334
11,2020-08-06,0.0019111826985864938
11,2020-08-07,0.0019080387623722022
11,2020-08-10,0.001957234344043122
11,2020-08-11,0.0019347573308715123
11,2020-08-12,0.0018606158673355306
11,2020-08-13,0.001723096140123328
11,2020-08-14,0.001719582060070226
11,2020-08-17,0.0017679175725705068
11,2020-08-18,0.001759682763246973
11,2020-08-19,0.0016707708020650758
11,2020-08-20,0.0016726606204252507
11,2020-08-21,0.0016460319686167405
11,2020-08-24,0.0016837345899914152
11,2020-08-25,0.0015982119405230266
11,2020-08-26,0.0015866452462958308
11,2020-08-27,0.001526164844610937
11,2020-08-28,0.0014485915784605821
11,2020-08-31,0.0014029815569280854
11,2020-09-01,0.001355528208071367
11,2020-09-02,0.0013123295734608536
11,2020-09-03,0.001456568738487317
11,2020-09-04,0.0014531545895483072
11,2020-09-08,0.0014969285034030922
11,2020-09-09,0.0014484012436006472
11,2020-09-10,0.001446524198210415
11,2020-09-11,0.0014273675441420167
11,2020-09-14,0.0014781740491841364
11,2020-09-15,0.0015944103986822436
11,2020-09-16,0.0015083469659735323
11,2020-09-17,0.0014731121857623176
11,2020-09-18,0.0015437927797230806
11,2020-09-21,0.0017133354744032965
11,2020-09-22,0.0017345337619411047
11,2020-09-23,0.0018501610811762221
11,2020-09-24,0.0018833729258930002
11,2020-09-25,0.0018650079391856346
11,2020-09-28,0.001935509694312744
11,2020-09-29,0.0019407169579252414
11,2020-09-30,0.0019090132547565318
11,2020-10-01,0.001939639057872439
11,2020-10-02,0.0019246257907127153
11,2020-10-05,0.0018271979806497158
11,2020-10-06,0.001856288083889785
11,2020-10-07,0.0017874314862857728
11,2020-10-08,0.0018268871231103176
11,2020-10-09,0.0017975024888471328
11,2020-10-12,0.0017983055993303677
11,2020-10-13,0.0017529623626948156
11,2020-10-14,0.001676379024093623
11,2020-10-15,0.0016813652776670432
11,2020-10-16,0.0016313124613629903
11,2020-10-19,0.0015820021866430891
11,2020-10-20,0.0014111813099832746
11,2020-10-21,0.0013801199498594393
11,2020-10-22,0.0012881639981957053
11,2020-10-23,0.0012696110366778358
11,2020-10-26,0.0012832753406863571
11,2020-10-27,0.001272150210953567
11,2020-10-28,0.0014520095330783666
11,2020-10-29,0.0015123037244295662
11,2020-10-30,0.0015368529036099638
11,2020-11-02,0.001620529849884357
11,2020-11-03,0.0016501249286165454
11,2020-11-04,0.0017473445475549875
11,2020-11-05,0.001826540805894672
