seed,date,strategy,NYSE:WTRG,NYSE:SHAK,NYSE:PNR,NASDAQ:TCMD,NYSE:HRTG,NASDAQ:FAST,NASDAQ:NBIX,NYSE:INSW,NYSE:LUV,NASDAQ:MERC,NASDAQ:AAOI,NASDAQ:SAGE,NYSE:CLH,NASDAQ:CRDF,NASDAQ:SDGR,NASDAQ:MAT,NYSE:FDP,NASDAQ:VRA,NASDAQ:NTNX,NYSE:BBDC,NYSE:LXU,NASDAQ:TRS,NYSE:NOV,NYSE:FL,NYSE:TDG,NYSE:OMF,NYSE:FHN,NYSE:MXL,NYSE:SEM,NYSE:RDN,NYSE:SBOW,NASDAQ:KIDS,NYSE:FNV,NYSE:CE,NYSE:TPR,NASDAQ:NTAP,NASDAQ:PEP,NASDAQ:NFLX,NASDAQ:RDNT,NASDAQ:SPT,NASDAQ:EBAY,NASDAQ:QRVO,NYSE:PBI,NYSE:TMHC,NASDAQ:LIVN,NASDAQ:TCBI,NASDAQ:KALU,NYSE:GNW,NYSE:FDX,NASDAQ:POOL
21,2020-03-18,Simple + Baseline,0.10000000294746754,-9.138673393105221e-09,-9.932557909131847e-09,5.081557818264321e-08,-9.118850928477798e-09,3.955160228095612e-07,4.566015239925821e-08,-1.022047587816776e-08,-7.384802558646072e-08,-9.201946831469803e-09,-4.55443174610958e-08,-2.561689167217418e-07,-1.520414723555648e-08,-9.265073661376369e-09,5.0939774635519945e-08,0.10000000029722271,0.10000000870013795,2.5092285928914834e-08,0.10000000002761074,-1.29504248390798e-08,-5.718587708380771e-08,-9.495095633007195e-09,-9.161696865145971e-09,8.360164445740161e-09,-1.2479090001014664e-08,-1.5149754290845876e-08,-1.0706038289226671e-08,-1.55713259988283e-08,-1.571065774857472e-08,-1.3453054783925522e-08,-9.109512980932276e-09,7.297508350008378e-08,0.10000000048241062,-9.975357337208139e-09,0.10000000287990778,0.1000000022124074,6.427559945151034e-08,0.10000000078595102,-1.5132402831949043e-08,-9.125281162644481e-09,5.9414078741247416e-08,-7.753191436755421e-08,-1.013175973042352e-08,-1.024497929078825e-08,-9.828523159929649e-09,-1.192737529421217e-08,-9.114274193991305e-09,-9.806658734626963e-09,0.10000000554184785,0.10000000451265158
21,2020-03-19,Simple + Baseline,2.237990971154089e-06,1.5599493568438054e-07,1.1200469054741993e-07,1.643550507049073e-07,1.3315136123266625e-07,3.7613365801362204e-07,1.829851140174713e-07,1.4488070591022293e-07,7.422658491346199e-08,1.4125617238801943e-07,0.09999908891183198,3.001666975729124e-09,1.2962386186619712e-07,1.5429787672768338e-07,0.09999910182687169,-9.150044592581689e-07,0.1000001785356932,0.09999902928393509,0.10000017065246816,1.28309752822114e-07,1.2365700640218885e-07,1.3333000693132933e-07,0.09999908820467798,1.4546128353652695e-07,1.5459841736376036e-07,1.1857711343839323e-07,1.4976389721390693e-07,1.1755970837138798e-07,1.328959104425455e-07,0.09999902063892055,1.4128090812593492e-07,1.9973156770748985e-07,-8.667835267898271e-07,1.3551143443567022e-07,-8.835701778354417e-07,-7.701952018679775e-07,1.786293292414695e-07,0.10000016397976075,1.4940222528760514e-07,1.4047426164956676e-07,1.6973295455091345e-07,9.71889169200823e-08,1.394441284164611e-07,1.5133038553020248e-07,1.2260979857904323e-07,1.3221500611180138e-07,1.2939662395233461e-07,1.2590152076765544e-07,0.10000019235501037,0.1000001719298777
21,2020-03-20,Simple + Baseline,6.910278616289313e-07,-1.3992759302764757e-07,3.1338314174389205e-07,1.129061544534223e-06,3.153436341226004e-07,6.215371547243071e-07,0.10000015553416408,-1.3241853790574054e-07,8.466830415831689e-07,-3.048556755285355e-08,0.09999977510828677,6.911953370248097e-07,-7.098944108778873e-08,0.061484697814438306,0.09999991664830082,5.655402606974503e-08,0.1000004605883524,-1.0160465132731114e-07,0.10000012083713274,-6.996410329245939e-08,-5.986812693068175e-07,-3.902122114479067e-08,-2.0085595392842143e-07,2.0442097690394178e-07,-1.0873583706578604e-07,-6.298343974988362e-08,-1.2757273438499618e-07,-7.952870318316954e-08,-1.1194350137274127e-07,-9.085170481292978e-08,-7.789540787262922e-08,0.10000033378190121,6.709709958908665e-07,-6.022275307385428e-08,0.10000210408041943,0.03850648685536625,3.9908107831819766e-07,0.10000053577612185,-8.01856386112316e-08,1.5905739578274547e-07,1.9725224738492397e-06,2.700133239363023e-07,-1.1429473345369532e-07,-1.2058568157312721e-07,9.384201174536492e-09,-1.2563636188384618e-07,1.5099698414482046e-07,-1.0178448151447935e-07,0.10000005103665856,-5.100362101785254e-07
21,2020-03-23,Simple + Baseline,2.3841389299671096e-07,2.1648022081741397e-07,2.9185228161488633e-07,7.943170279855956e-07,3.9081603434431007e-07,3.892309659926406e-07,0.10000053682140198,1.2332190027113133e-07,0.04759960992019386,2.4876993608909453e-07,0.10000025370983961,7.41689689155063e-07,7.913919023743696e-08,2.5911594783380306e-07,0.10000037184894625,1.8363360359300994e-07,0.10000019726113231,1.31585544522377e-07,0.10000056833313768,1.1857880003765368e-07,0.1000004327136919,2.3607636201405296e-07,1.6985954006155202e-07,2.8903048669558293e-07,1.1084825948628584e-07,8.41146484865116e-08,1.0586531223154288e-07,1.0946154528462462e-07,7.980578098722839e-08,4.7883831584400095e-08,2.129042770549539e-07,5.260870782607909e-07,0.10000024261809262,2.141375801470281e-07,1.468660153110513e-07,5.2103339502221523e-08,2.6018307263389216e-07,0.10000076816207559,7.24760744824331e-08,3.707625738911239e-07,1.4080230393605567e-06,4.359591609609871e-07,5.7405259364932595e-08,1.473627241747201e-07,2.1457932173643904e-07,1.0851036164304015e-07,1.758542254282376e-07,1.1605643890106946e-07,0.10000049596593011,0.05238655819381443
21,2020-03-24,Simple + Baseline,1.8438797973993003e-09,-2.9786171774957515e-08,1.6178192118478663e-08,9.899021365277878e-09,-1.1989975656048567e-06,-1.1284681976923019e-07,0.09999901249327302,-3.106909946191148e-07,0.046524575247962,-1.1197535450752313e-06,0.09999939903796151,-3.918593114079973e-07,-1.2024867812323255e-07,-5.795064850418858e-07,0.0999987423268939,-6.38883758805262e-08,0.09999896444576038,-2.749421651588599e-07,0.09999925431740263,-1.3649878246228937e-07,0.09999874086818153,-7.189022971358569e-07,0.03626273590951825,-8.815296533891245e-08,-2.80406406377941e-07,-1.316720997756802e-07,-1.2285252369986157e-07,-1.3895905564759992e-07,-1.0032420718978463e-07,-5.606633098803776e-08,-6.242563104185959e-07,-1.7937755730902659e-06,0.09999957730837508,-5.305104989092474e-07,0.017235981162920945,-3.506578630764667e-07,-3.976079378180942e-07,0.09999659962444736,-1.987965572836739e-07,-6.489064064028203e-07,-6.504299817342742e-07,-2.2871848182420935e-07,-5.4285593121185937e-08,-2.305743759071634e-08,-3.519120486655924e-08,-3.8805790629023134e-08,-2.928144832393716e-07,1.3802283616611913e-07,0.09999863280136054,-5.239895570554483e-07
21,2020-03-25,Simple + Baseline,1.882231311195411e-06,2.454004094005177e-06,8.013326761117211e-07,2.2087461787688596e-06,-2.1279825941582147e-06,3.1003707756708547e-06,0.09999769483701054,-8.951848225417833e-08,0.05383113181244925,-5.6937216711850155e-06,0.1000004177373372,1.606951678842054e-06,-1.2676071214341043e-07,0.011311482281612696,0.09999574763455234,1.5258443180566967e-06,0.09303617730906323,-8.853014769784181e-08,0.10000243608037847,-1.657684180820445e-08,0.09999347044190819,-2.2899779910105527e-06,1.1465543796390937e-06,8.889554503126192e-07,-1.2862116111750776e-06,-4.570438510566686e-07,5.5436864193406505e-08,2.3453042582896373e-07,-5.798898493712822e-07,-1.556036003809658e-07,-3.00184544512474e-06,-6.658533954533274e-06,3.3217903351158634e-06,-2.6363042814017916e-06,0.041845579840235916,1.859836387225644e-06,2.9356535392408365e-07,0.09998871684905984,-1.015725393879326e-06,-2.888993207834955e-06,-3.3563692229940907e-06,2.3692591169313096e-06,8.979460905313922e-07,0.10000027156496179,1.0219508698112925e-06,8.08674947412965e-07,-2.9724346738846795e-07,1.7780891086568108e-06,0.10000018619087796,1.246504231640556e-06
21,2020-03-26,Simple + Baseline,-2.628598847401722e-08,-1.0148167043035857e-07,1.1664802093713772e-07,-4.178547988140649e-08,-7.01937656943293e-07,-2.820906375117056e-07,0.09999915954919623,-1.308179080223393e-07,0.09352964790748332,-1.1245878370268842e-06,-2.1579856454252314e-07,-3.477302404549526e-07,-4.967588057759137e-09,0.09999987938489267,0.09999932480008436,-2.1881460312463384e-07,0.09999916820440567,-2.388145437710244e-07,0.09999966915916443,-9.057616135064197e-09,0.09999887862770282,-4.746843954077666e-07,-1.815453239378835e-07,-9.86430575697416e-08,-1.229109255189138e-07,1.6642199958215043e-08,-6.346639957597013e-08,9.209863071320171e-09,-2.0632853100794813e-08,-4.688017460188652e-08,-4.0221193777354065e-07,-2.290229002229355e-06,-3.3479537953006753e-07,-2.8389023994478055e-07,0.026578551673475767,-3.1339036583634703e-08,-3.04707105803548e-07,0.09999610809072769,-6.173946040870025e-08,-3.1041839043841783e-07,-8.93458754838183e-07,-1.9219662881565851e-07,-5.8893132166915855e-08,0.0799112146135671,-1.0589085445355925e-09,-2.2133114470412767e-08,-1.6931023389976395e-07,7.620551069414699e-08,0.09999858504191582,-5.926356924560054e-07
21,2020-03-27,Simple + Baseline,7.809022519489586e-05,-7.384126407414651e-07,-5.792167815068474e-07,-9.265671485743794e-07,-3.429103876280649e-06,-2.454156892075653e-07,0.09999539596383276,-1.528190865255412e-06,-8.817412408801587e-07,-3.050609382781692e-06,0.09999699995734705,0.09999747207622185,-8.664147339087693e-07,0.0999973184087927,0.09999632878691198,-1.0770192151326906e-07,-5.676408803710444e-07,-1.2392504658009208e-06,0.09999681140621107,-8.739738005284158e-07,0.09999724903851008,-1.6964585245012837e-06,-1.213905233726012e-06,-1.7053676455674926e-07,-9.761122368999223e-07,-1.0026106967591596e-06,-5.18160806035331e-07,-1.1373514986216196e-06,-4.797857058692022e-07,-1.1246279088002176e-07,-3.861100615890187e-07,-6.541976115547398e-06,-1.3101569954064624e-06,-1.9753988167230516e-06,3.2285458442077305e-07,-2.85099339347575e-08,-1.0344449165862365e-06,0.09999093122876138,-6.507741011593924e-07,-1.2918498360840172e-06,-1.4607115987851354e-06,-1.5152781380861022e-06,8.416397618346203e-08,-6.389103444038918e-07,-6.178329654093947e-07,-3.5817483163949673e-07,-1.1122614580129307e-06,2.2680185713361405e-07,0.09999519475299957,0.09999886401293887
21,2020-03-30,Simple + Baseline,0.10000008750100454,-4.8341838374005636e-08,2.6710680805505642e-08,1.3409244510670154e-05,-6.567184688727321e-07,4.018157443976259e-08,0.09999885543715649,-1.6364734035005585e-07,2.0136988652547247e-08,-7.74496439216444e-07,0.0999995775174573,4.095383983072905e-08,-7.17935782569691e-08,0.09999961426045949,0.099999437580293,5.565866340406552e-08,-1.1508086752505361e-07,-2.0248861954224077e-07,0.09999955779179277,-7.796800545970815e-08,0.09999957697633821,-3.018163410264412e-07,-1.641083893725439e-07,1.569547859530045e-08,-1.119758463921311e-07,-7.18458079355755e-08,-7.72610534392473e-08,-8.478246317540436e-08,-3.6230685231755915e-08,-4.436030199135516e-08,-7.577064304821376e-08,-1.6106519685430516e-06,-1.4598291487991336e-07,-2.746740458240524e-07,9.670182080718646e-08,9.947519394548395e-08,-1.1473688294483396e-07,0.09999708510187676,-6.09721347618622e-08,-1.5648182244069976e-07,-2.5805865643912985e-07,-1.9694953505182257e-07,-2.8425273194950134e-08,-3.005884367727189e-08,-1.8021589295981494e-08,-4.756854288320707e-08,-1.0823239999860786e-07,5.749650279786332e-08,0.09999868518455847,0.09999979093639401
21,2020-03-31,Simple + Baseline,1.9971844391919002e-07,-7.101361870484201e-07,7.165257406892093e-08,0.07834744433028229,-3.000627805515843e-07,8.549335715512985e-09,-8.328095378514501e-07,-6.127085334706037e-07,-4.877874832778792e-09,-4.2113852714549075e-07,0.09999892563501112,-1.3040157066775257e-06,-3.3587472123843716e-07,0.09999903201518143,0.09999860685847967,-1.118624435114239e-07,-2.2008085156258585e-07,-1.111623035653651e-06,0.09999854211604707,-2.104863573725594e-07,0.09999859940077699,-9.319309414989169e-07,-8.966733927090265e-07,3.12752341885124e-08,-6.140157506672296e-07,-3.4477643965189153e-07,-2.921730867460274e-07,-1.0110723406964242e-07,-2.937578333380555e-07,-2.342104705075167e-07,-4.2838981638921313e-07,0.010339490530948032,-7.066949472640135e-07,-3.337876589956103e-07,5.770343395218291e-08,0.07208201325055391,-5.5094159974696e-08,0.09999648182180397,-2.2651871125321047e-07,0.0392562723335303,3.974772708600236e-07,-4.5876456073049237e-07,-1.761076315023862e-07,-2.8461412417700875e-07,1.7770903529890383e-07,-2.5940832401317435e-07,-3.749620146317846e-07,2.2005028939836323e-07,0.09999737018236148,0.09999925233315658
