seed,date,strategy,NASDAQ:TILE,NASDAQ:PLMR,NYSE:PAGS,NYSE:ALLY,NYSE:MAN,NYSE:CACI,NASDAQ:VRRM,NYSE:OIS,NASDAQ:WINA,NYSE:HI,NASDAQ:GEVO,NASDAQ:CHTR,NYSE:MTZ,NASDAQ:ACIW,NASDAQ:BOKF,NYSE:ENR,NYSE:BYD,NYSE:KW,NASDAQ:TTMI,NYSE:UVV,NYSE:USFD,NASDAQ:NMFC,NASDAQ:POOL,NYSE:EGO,NYSE:MOH,NYSE:ONTO,NASDAQ:INGN,NYSE:MC,NYSE:HTH,NYSE:TPR,NYSE:VVV,NYSE:AON,NYSE:LXFR,NYSE:MYE,NYSE:ORCL,NYSE:MCK,NASDAQ:NWLI,NASDAQ:TXN,NASDAQ:TCMD,NASDAQ:NFLX,NASDAQ:CAPR,NASDAQ:FCFS,NASDAQ:SRCE,NYSE:VMI,NASDAQ:LXRX,NYSE:ECL,NASDAQ:ONEW,NASDAQ:FHB,NASDAQ:MRSN,NASDAQ:LSCC
7,2020-03-18,Simple + Baseline,-1.1407048277232368e-08,1.696520282569346e-08,1.013442375086286e-08,6.3103362515946996e-09,-7.031775720680689e-08,2.9733739490154997e-08,1.8605174932442075e-08,2.3195460887390723e-08,3.014379161137622e-08,1.2696978214909146e-08,1.647204315767421e-08,0.10000004395792665,2.8152766001203394e-08,1.8684431862929733e-08,7.29841083477808e-08,2.7045199490563316e-08,-4.92150910071205e-09,8.729102181931162e-09,2.9442308433852094e-08,0.10000004888816716,1.0146113108245613e-08,1.5730301864310523e-08,0.10000005492583887,1.3468063062553223e-08,4.462045724650924e-07,1.1838740163428407e-10,2.4925894846599925e-08,1.873129675419316e-08,9.447251480862277e-11,0.10000005142107098,9.023922134711098e-09,1.5762837019895558e-07,0.10000006121272446,-1.5247656168602188e-08,0.10000005074078012,0.1000000446720699,1.2936385019631841e-08,-1.561270128166437e-07,7.310788107667141e-08,0.10000004705237746,-4.030912918405564e-07,2.1465076600611225e-08,2.6750332707264025e-08,0.10000004810963799,-1.2933373343486215e-06,1.2163644057698233e-07,-1.1274131402347116e-08,0.10000004520668136,3.0697572741713404e-08,1.3757501952320487e-07
7,2020-03-19,Simple + Baseline,-1.5290889392768707e-08,3.1514827536053718e-09,-1.4391096436615092e-09,-4.194251562495113e-09,-4.911149595074995e-08,1.1018226060037636e-08,4.2553814689913976e-09,0.09999965949799268,1.1181130113929926e-08,6.629066099921591e-10,1.3181747842894824e-09,-1.930502630666714e-06,0.09999966516432175,4.493650264889671e-09,3.508446775529165e-08,9.158426753143958e-09,0.09999956463889664,-1.615678124892081e-09,1.0972695841147553e-08,0.10000002253098464,0.09999961480293854,1.0335872762939273e-09,0.10000002661852302,2.1586535904985295e-10,2.54915418860367e-07,-8.231155158002921e-09,8.545352732775433e-09,4.056899776926812e-09,-7.506258476551697e-09,-1.1018471580585488e-07,-2.2560594050229298e-09,8.546944472867757e-08,0.10000003053904889,-1.5604324774048965e-08,1.365634622520781e-07,-1.59578319201578e-07,6.437690510353182e-10,-9.792776133686214e-08,3.564235318979366e-08,0.10000002171945162,0.099999710547282,5.540704237536036e-09,9.300378231357814e-09,-2.136434366801026e-07,0.10000404923909646,6.463848627124452e-08,-1.3591555441322991e-08,-5.177635070478149e-07,1.1181256755697568e-08,7.4217135517874e-08
7,2020-03-20,Simple + Baseline,-2.3077614727985684e-09,0.10000000565072344,-3.88705902404213e-09,-4.450822280975628e-09,1.2017423077039043e-08,0.07370269872714352,-3.4178275256241876e-09,-1.1824647806011861e-08,-3.4633164200833134e-09,-2.648719845553063e-09,-1.55322252795357e-08,0.024946912947122295,-1.4735516591753987e-08,-4.108027686641451e-09,2.4861264075793717e-08,-3.802150840560735e-09,-3.4575125449850752e-09,-6.396322472610878e-09,-4.4336695668919925e-09,3.376416046916355e-08,0.0013505283881700525,5.199133984148226e-09,0.10000000034996051,-4.122767009967491e-09,6.400758412037304e-08,-2.397511396862618e-09,0.09999998915439313,-3.160363717288957e-09,-2.6226790802337785e-09,0.09999993573269786,-3.1426222423710397e-09,4.945679832311497e-08,0.10000000513211021,-2.2380835334443495e-09,0.09999992562371376,-1.5890184160570373e-08,-2.2537386817615585e-09,-1.8433732707583275e-08,2.6638360202473603e-08,0.10000000717288927,2.7951272716691002e-08,-3.503337523150133e-09,-4.3991830632976635e-09,0.09999998474638203,-9.599440410893962e-09,2.7595564862893495e-09,-2.208554557821698e-09,-1.2603037684715615e-07,-3.229062830719817e-09,0.10000004738139745
7,2020-03-23,Simple + Baseline,1.1127986682532757e-08,0.09999978435211819,-1.674540802111498e-08,-1.586320910782501e-08,-9.909550466823358e-07,0.07370100710189069,-3.910214324419903e-08,-2.290927895789394e-08,-2.1194255366805205e-07,-2.181548087326102e-08,-1.4704319645956995e-07,0.09999917628693768,-5.5490833093881605e-08,-2.8134498449613707e-08,-1.048897051782509e-06,-9.354526103677637e-08,1.0980252815673323e-08,-2.3518064958901884e-07,-9.776533187245792e-08,-9.903045125908848e-07,0.02631824186855134,-8.413106207625736e-08,0.09999967865311744,-4.8000416922103174e-08,-1.0714421831428666e-06,-1.606108981450436e-08,0.09999993375988084,-6.932218672623357e-08,-5.0083049801508356e-09,-7.188495657604807e-07,-1.1116144766556242e-08,-1.927212414112812e-06,0.09999962754489232,1.9910025821356075e-08,0.09999905485204295,-9.371298276147163e-07,-6.730050931372237e-07,-6.78270987475136e-07,-9.735352964410304e-07,0.09999918871191109,0.09999950554834691,-9.52085595747827e-08,-7.986483532467455e-08,0.09999807968203507,-2.1211734176776222e-07,-2.9495616475364264e-07,1.533657532815774e-08,-7.907756831532996e-07,-9.010052467575635e-08,-5.360472789934892e-07
7,2020-03-24,Simple + Baseline,1.1392316264349642e-08,0.10000009171704426,3.521832511756481e-09,-1.9719372818354574e-08,7.988360434742692e-08,9.140540501786642e-08,2.4972117891273992e-08,2.009052384303527e-08,-2.2312265602031334e-08,3.699681592682667e-08,3.6289875457370904e-08,0.09999982809974269,2.833369986101998e-08,6.893019647524055e-09,-9.882555430321707e-08,-6.520018227389912e-09,1.3392361146967214e-08,-8.818172840978323e-08,-2.9875187926408985e-08,-2.0671745424298267e-07,0.09217166858242415,1.3277408027451002e-08,0.09999988227458456,-2.27172039238127e-08,-1.621176939996724e-07,-8.846210099198796e-10,0.10000003801865666,1.6100017975005452e-08,1.8423388903111945e-08,-3.7594303881654836e-08,4.1891011954687504e-09,-2.061849153414492e-07,0.09999988186942153,5.852281923890262e-09,0.09999983376604998,-1.2226671761671955e-07,-7.731406118174535e-08,-1.4505817061581543e-07,-9.786852854383055e-08,0.09999977561320132,0.0955713086596092,-8.068513427661318e-09,-2.0029241133528293e-08,0.09999968961008017,-1.4125918864679928e-07,-3.6518775346383995e-08,1.1418903171704563e-08,-6.403054311565069e-08,0.012259221918728356,-2.884612641521604e-08
7,2020-03-25,Simple + Baseline,4.835956921548325e-08,0.09999990772824756,1.4162666145447411e-09,7.796032292299974e-08,1.0921513449994886e-07,-2.683287715001529e-08,-4.6856104088339593e-08,-3.139302377974277e-08,-4.333241700111559e-08,-3.8440888380283876e-08,-7.719207561178001e-09,0.10000012026770341,-3.119029432876645e-08,-2.6395487132650704e-09,5.968244632493549e-08,-3.482704145002332e-08,1.4432651364184596e-08,-3.077682637115309e-08,5.466197756190049e-08,-2.873547640553792e-08,0.09999992477860091,-2.9181204858444738e-08,-1.3847202305250847e-07,1.2240798564017878e-07,0.10000002345848846,1.0730385461542033e-07,0.10000010624397628,5.6858789419118515e-08,5.522165627191951e-08,7.480372219129377e-09,-5.0837310804053566e-09,3.8210770814876986e-08,0.10000007329698357,1.707435145538747e-08,0.09999993166542245,-7.302775260671542e-08,6.335579502760216e-08,1.0248784332251589e-07,1.2831861772108191e-07,0.10000010843148857,0.10000006816378451,5.258068143538027e-08,4.2330458205594626e-08,0.09999994896747258,9.598719983702788e-08,1.0025332001676695e-08,1.7875270883701724e-08,-1.3672954228640517e-07,-7.915445521004475e-07,4.671325392998222e-10
7,2020-03-26,Simple + Baseline,3.1690177786894614e-07,0.0999997792339591,1.1594193811544287e-07,1.7815309952982963e-07,-2.0796278088359936e-06,-4.876152358423751e-08,2.7838939561408096e-07,5.736937690813314e-07,-9.090970989443927e-07,4.958846012330375e-07,-1.3311844231831147e-06,0.09999906729074493,6.225018362272905e-07,2.5760868528721287e-07,-4.790114324527886e-07,8.640709737539621e-08,0.00861600209621719,-4.4497176070806636e-07,4.928796779858488e-07,-1.2465464162397007e-06,0.10000068536271595,-1.5856094810619653e-07,-8.954271291346926e-07,-1.9938048798739213e-07,0.09999888714776331,1.8705836034785077e-07,0.0999999795683373,3.388204301393032e-07,4.6981860505545946e-07,0.011602037022449068,2.550781795884344e-07,-1.239128599261841e-06,0.09999831176679232,5.161244131404946e-07,0.09999764462447686,-1.8879082924920022e-06,2.803215528237852e-07,-7.909292667678918e-07,-4.164806260346145e-07,0.09999604978574003,0.047595319882052324,4.953387078923503e-07,5.062919144154841e-07,0.09999471737290415,-1.48337332497883e-06,3.6017421777519754e-07,6.143925867706732e-07,-1.6222545826759767e-06,0.032209054125275687,2.8262313867304224e-07
7,2020-03-27,Simple + Baseline,1.715255726683344e-07,0.10000044481998913,-2.2765155132183953e-07,-1.6511722699896295e-07,-4.985505942283702e-07,0.05213993985423985,-1.804836689112577e-08,2.7548286707967222e-08,-2.0390101699572823e-07,1.250365498346489e-07,-2.2554949103762823e-07,0.10000005835334523,1.3503736444647513e-07,-4.772768256975467e-08,-1.1223867614334182e-07,-7.149023498781295e-08,7.383563241613288e-08,-4.532612263342992e-07,5.568619339384885e-08,7.659331790029236e-08,0.1000000182898821,-2.7718989622799814e-07,0.10000016502915121,-1.5795100722683154e-07,0.0828382177289976,8.09533121592632e-08,0.10000024430642071,1.854211656073035e-07,2.974253259048523e-07,-1.1708555186957392e-07,-1.14770292862227e-07,2.7369730378712223e-07,1.641606316518238e-07,7.330834595108744e-08,0.10000020843689084,1.22884517849971e-07,-1.0532860769665211e-07,5.414362269570139e-07,3.5255920885640804e-08,0.10000007012012684,0.01982606620606896,4.4883078992415824e-07,1.2615115491376133e-07,0.0999994738139476,2.9972810444447894e-08,2.82133020008778e-08,1.0328551566490951e-07,-2.2956100663647972e-07,0.045194490043371574,4.489248755572243e-07
7,2020-03-30,Simple + Baseline,-2.639177627515898e-08,0.09999973186948007,1.7561279770267372e-09,2.576376159657072e-08,4.586884274600327e-08,1.6115762548724258e-07,-4.213693233858997e-08,-1.4232757815166151e-08,-6.770965575960085e-08,-9.062794300129636e-08,-3.3966345368674295e-08,0.09999994509099835,-6.037892824754348e-08,-3.665510921924919e-08,3.3527612703449206e-08,2.3299554603763824e-08,-3.063463499283747e-08,-1.325675289521299e-08,-4.5791193271083324e-09,-3.728162298560715e-08,0.09999995476826253,1.74496581588268e-08,0.10000003902796295,3.631345501065234e-08,0.09731411816130371,-5.989353244448543e-09,0.09999994232232598,-1.1693291479183317e-07,-5.5872188484981756e-08,5.050509201613416e-08,2.390959328303905e-08,-1.1529119129594107e-07,0.01051793726960084,-3.7488632949182e-08,0.09999963298419136,-2.0982291444939226e-08,8.392204165466651e-09,-8.320997413259703e-08,2.8832904280918745e-08,0.09999916583712605,5.3164050708193674e-08,-4.9097071097921296e-08,-2.377959795128806e-08,0.09999954540686315,-2.471029834445899e-08,2.477675190559362e-08,-2.1062014969369275e-08,-8.296565972054802e-08,0.09217056511146765,-1.6150696522270717e-08
7,2020-03-31,Simple + Baseline,1.0170051445510264e-07,0.09999836531222431,-6.841812008584696e-07,-2.2181315767160193e-07,2.219031153839813e-06,-2.6260007747110308e-06,-1.2949844226058974e-06,-1.1074075970141852e-06,-1.5269824554851228e-06,-1.1596362636896572e-06,1.5828580078868117e-06,0.024131320707860816,0.06751425738460488,-1.573991834177041e-06,5.054357920335127e-07,5.56216269666107e-08,-8.900492226609816e-07,-1.3434251193008253e-06,-1.424221728252986e-06,-2.3820062076000208e-06,0.09999825171656139,-1.0306093693849771e-07,0.0999967755495795,-1.8241714477204362e-07,0.09999653557317782,-5.96364505484299e-08,0.09999833552212292,-1.183089779557358e-06,-2.8286632944898423e-07,-3.89576098879932e-08,-1.8955478269563032e-07,1.5223953490621003e-07,0.09999761590771519,-7.23097994021137e-07,0.09999878991854746,-2.008059393179813e-08,-8.18259075043955e-07,-1.064304377418185e-06,-4.3123471534043893e-07,0.0999937871621852,0.00840258828205585,-3.0114573386665844e-07,-1.6853692836292329e-06,0.09999702411789038,-1.317189639988237e-06,-3.236092784031725e-07,-4.753360154723453e-07,-9.337969191092787e-07,-5.489476170423355e-07,-1.334230531518741e-06
