date,seed,strategy,asset,target_weight
2020-03-25,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-03-26,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-03-27,11,Simple alpha + Basic + Two-Step,NYSE:HTH,8.274988015268041e-23
2020-03-30,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-03-31,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-01,11,Simple alpha + Basic + Two-Step,NYSE:HTH,7.950910199612665e-09
2020-04-02,11,Simple alpha + Basic + Two-Step,NYSE:HTH,1.3234011099601297e-22
2020-04-03,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-06,11,Simple alpha + Basic + Two-Step,NYSE:HTH,3.764789245202915e-23
2020-04-07,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-08,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-09,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-13,11,Simple alpha + Basic + Two-Step,NYSE:HTH,6.873027540949462e-23
2020-04-14,11,Simple alpha + Basic + Two-Step,NYSE:HTH,7.375689343730881e-23
2020-04-15,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-16,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-17,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-20,11,Simple alpha + Basic + Two-Step,NYSE:HTH,3.1207369389722753e-24
2020-04-21,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-22,11,Simple alpha + Basic + Two-Step,NYSE:HTH,2.869997814758308e-23
2020-04-23,11,Simple alpha + Basic + Two-Step,NYSE:HTH,7.732963906287628e-23
2020-04-24,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-27,11,Simple alpha + Basic + Two-Step,NYSE:HTH,2.564408093559793e-23
2020-04-28,11,Simple alpha + Basic + Two-Step,NYSE:HTH,1.1556657190400754e-22
2020-04-29,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-30,11,Simple alpha + Basic + Two-Step,NYSE:HTH,6.738631990381378e-23
2020-05-01,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-05-04,11,Simple alpha + Basic + Two-Step,NYSE:HTH,2.5125291545760475e-23
2020-05-05,11,Simple alpha + Basic + Two-Step,NYSE:HTH,1.1557576174757201e-22
2020-05-06,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-05-07,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-05-08,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-05-11,11,Simple alpha + Basic + Two-Step,NYSE:HTH,5.015525600160762e-23
2020-05-12,11,Simple alpha + Basic + Two-Step,NYSE:HTH,7.066532670656972e-23
2020-05-13,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-05-14,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-05-15,11,Simple alpha + Basic + Two-Step,NYSE:HTH,1.527066637393977e-22
2020-05-18,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-05-19,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-05-20,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-05-21,11,Simple alpha + Basic + Two-Step,NYSE:HTH,5.038677650765013e-23
2020-05-22,11,Simple alpha + Basic + Two-Step,NYSE:HTH,9.729395266698442e-23
2020-05-26,11,Simple alpha + Basic + Two-Step,NYSE:HTH,1.0105696014302104e-23
2020-05-27,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-05-28,11,Simple alpha + Basic + Two-Step,NYSE:HTH,2.0300315745748583e-24
2020-05-29,11,Simple alpha + Basic + Two-Step,NYSE:HTH,3.283062329212136e-23
2020-06-01,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-06-02,11,Simple alpha + Basic + Two-Step,NYSE:HTH,3.350767844265854e-24
2020-06-03,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-06-04,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-06-05,11,Simple alpha + Basic + Two-Step,NYSE:HTH,1.1387473391939402e-22
2020-06-08,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-06-09,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-06-10,11,Simple alpha + Basic + Two-Step,NYSE:HTH,9.524227278288046e-23
2020-06-11,11,Simple alpha + Basic + Two-Step,NYSE:HTH,9.682161276932383e-23
2020-06-12,11,Simple alpha + Basic + Two-Step,NYSE:HTH,1.1363246341112634e-22
2020-06-15,11,Simple alpha + Basic + Two-Step,NYSE:HTH,6.659820055416216e-23
2020-06-16,11,Simple alpha + Basic + Two-Step,NYSE:HTH,5.903711979557024e-23
2020-06-17,11,Simple alpha + Basic + Two-Step,NYSE:HTH,2.2467939634843613e-22
2020-06-18,11,Simple alpha + Basic + Two-Step,NYSE:HTH,4.913575736510976e-23
2020-06-19,11,Simple alpha + Basic + Two-Step,NYSE:HTH,6.175289562222342e-23
2020-06-22,11,Simple alpha + Basic + Two-Step,NYSE:HTH,1.3201987463077492e-22
2020-06-23,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-06-24,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-06-25,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-06-26,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-06-29,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-06-30,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-07-01,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-07-02,11,Simple alpha + Basic + Two-Step,NYSE:HTH,2.207934430341517e-23
2020-07-06,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-07-07,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-07-08,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-07-09,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-07-10,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-07-13,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-07-14,11,Simple alpha + Basic + Two-Step,NYSE:HTH,3.164963565669138e-23
2020-07-15,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-07-16,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-07-17,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-07-20,11,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
