seed,date,strategy,cost_coeff
23,2020-03-20,simple,0.00893012403265507
23,2020-03-23,simple,0.007854114092334837
23,2020-03-24,simple,0.010956406435875723
23,2020-03-25,simple,0.010637886804285302
23,2020-03-26,simple,0.010724209475126312
23,2020-03-27,simple,0.01031761748276342
23,2020-03-30,simple,0.009445381360401014
23,2020-03-31,simple,0.008700558145090529
23,2020-04-01,simple,0.008772646846942843
23,2020-04-02,simple,0.008269579960853878
23,2020-04-03,simple,0.008030047278655873
23,2020-04-06,simple,0.008443148609398387
23,2020-04-07,simple,0.007997491276163407
23,2020-04-08,simple,0.007996893397155818
23,2020-04-09,simple,0.007995771162539822
23,2020-04-13,simple,0.007827432629414422
23,2020-04-14,simple,0.0076578316206821475
23,2020-04-15,simple,0.0075971907929150845
23,2020-04-16,simple,0.007409561775295643
23,2020-04-17,simple,0.007429715483073532
23,2020-04-20,simple,0.0072915925240497345
23,2020-04-21,simple,0.007056358544815412
23,2020-04-22,simple,0.006847051278770414
23,2020-04-23,simple,0.0061474331394958635
23,2020-04-24,simple,0.005826046873824415
23,2020-04-27,simple,0.005578779192782721
23,2020-04-28,simple,0.005414357988214409
23,2020-04-29,simple,0.0060144074769577895
23,2020-04-30,simple,0.006088973726330376
23,2020-05-01,simple,0.0059434266627889955
23,2020-05-04,simple,0.005894635340720163
23,2020-05-05,simple,0.005781502005593235
23,2020-05-06,simple,0.005339991201625229
23,2020-05-07,simple,0.005400024914534433
23,2020-05-08,simple,0.0052706922510044685
23,2020-05-11,simple,0.005097744263037332
23,2020-05-12,simple,0.005075609594532912
23,2020-05-13,simple,0.00511456915350448
23,2020-05-14,simple,0.004951188240392873
23,2020-05-15,simple,0.005010208710148482
23,2020-05-18,simple,0.0051535649651298695
23,2020-05-19,simple,0.0051302404702197645
23,2020-05-20,simple,0.005123687512580632
23,2020-05-21,simple,0.0050884306154275905
23,2020-05-22,simple,0.005016073613264818
23,2020-05-26,simple,0.005157703872801213
23,2020-05-27,simple,0.005146665410382363
23,2020-05-28,simple,0.005136137547107766
23,2020-05-29,simple,0.0044499984224646095
23,2020-06-01,simple,0.00433256703099783
23,2020-06-02,simple,0.004121418051917006
23,2020-06-03,simple,0.00424269444587466
23,2020-06-04,simple,0.00419928164433326
23,2020-06-05,simple,0.004299487517679106
23,2020-06-08,simple,0.004253376299661986
