date,seed,strategy,asset,target_weight
2020-03-25,14,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-03-26,14,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-03-27,14,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-03-30,14,Simple alpha + Basic + Two-Step,NYSE:HTH,9.861950466529862e-23
2020-03-31,14,Simple alpha + Basic + Two-Step,NYSE:HTH,8.673393764426113e-23
2020-04-01,14,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-02,14,Simple alpha + Basic + Two-Step,NYSE:HTH,7.451580420503139e-23
2020-04-03,14,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-06,14,Simple alpha + Basic + Two-Step,NYSE:HTH,2.5840500233811093e-24
2020-04-07,14,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-08,14,Simple alpha + Basic + Two-Step,NYSE:HTH,8.830284949628247e-23
2020-04-09,14,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-13,14,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-14,14,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-15,14,Simple alpha + Basic + Two-Step,NYSE:HTH,1.4858475729672814e-22
2020-04-16,14,Simple alpha + Basic + Two-Step,NYSE:HTH,5.647083236294204e-23
2020-04-17,14,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-20,14,Simple alpha + Basic + Two-Step,NYSE:HTH,1.0931249192684006e-22
2020-04-21,14,Simple alpha + Basic + Two-Step,NYSE:HTH,8.928137552116659e-23
2020-04-22,14,Simple alpha + Basic + Two-Step,NYSE:HTH,2.4218087575259462e-23
2020-04-23,14,Simple alpha + Basic + Two-Step,NYSE:HTH,3.701519063299584e-23
2020-04-24,14,Simple alpha + Basic + Two-Step,NYSE:HTH,3.713151707474436e-23
2020-04-27,14,Simple alpha + Basic + Two-Step,NYSE:HTH,3.232392328676282e-23
2020-04-28,14,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
2020-04-29,14,Simple alpha + Basic + Two-Step,NYSE:HTH,0.0
