seed,date,strategy,NYSE:MCD,NASDAQ:EBAY,NASDAQ:SFIX,NASDAQ:CGBD,NASDAQ:TCPC,NYSE:VMI,NASDAQ:PFBC,NASDAQ:CHTR,NASDAQ:SIGI,NASDAQ:HOPE,NASDAQ:SANM,NASDAQ:PTCT,NASDAQ:SPSC,NASDAQ:TRUP,NYSE:GMS,NASDAQ:MRSN,NASDAQ:PEP,NASDAQ:MU,NYSE:ALL,NASDAQ:KIDS,NASDAQ:TRS,NYSE:HLIO,NYSE:PBH,NASDAQ:PNFP,NYSE:DBI,NYSE:SKX,NYSE:SHAK,NASDAQ:MSEX,NYSE:CHGG,NASDAQ:PBPB,NYSE:PNR,NASDAQ:PNTG,NYSE:CNP,NASDAQ:AEIS,NASDAQ:KALU,NASDAQ:WDC,NYSE:MFC,NASDAQ:RDWR,NASDAQ:MDB,NASDAQ:EXPO,NYSE:WGO,NYSE:MOV,NYSE:ES,NASDAQ:LSEA,NYSE:TPX,NASDAQ:OTTR,NYSE:SD,NYSE:ACM,NASDAQ:INDB,NASDAQ:CSTL
22,2020-03-18,Simple + Baseline,4.5541130905930555e-08,4.87039095423294e-08,0.1000000777196784,-1.294914114525894e-08,-4.2675868766002786e-08,0.10000006061401667,0.10000005801455837,5.8058610437840197e-08,-5.229537831655804e-07,4.856843608209775e-08,0.10000007171322145,0.10000007022139099,1.645884004977778e-08,5.414931974801417e-08,8.611304051936332e-09,3.489202285008939e-08,5.04103483219267e-08,4.497192042782082e-08,2.491397238629884e-08,5.056341695734074e-08,2.922039936858589e-08,4.7572951867408596e-08,0.100000067455437,-5.693897854043013e-10,1.0184241549716921e-09,0.10000006329014823,3.706863843894552e-08,4.200875433401717e-08,2.4483675520456663e-08,8.46953690630841e-10,2.0048592873673393e-08,-6.716333720689981e-09,2.2611923568710874e-08,4.528155535893319e-10,3.839714578827085e-08,2.4378812731088982e-08,4.2235561144681854e-08,5.367675988578529e-08,4.3601000986601446e-08,4.7727475636824937e-08,-1.4375208573378456e-08,5.5538787512330565e-08,0.10000005952355806,0.0999988619438242,-1.5696860203628242e-08,5.79115751313494e-08,4.078904017949303e-08,2.3092424807479862e-08,0.10000006605358162,2.0860358146841418e-08
22,2020-03-19,Simple + Baseline,2.18696833218209e-08,2.330463003650522e-08,0.1000000412389395,0.0999997387608821,0.09999973918392464,-3.1186846505447903e-07,0.10000002969798986,2.9247529492449454e-08,-3.1093750609251247e-07,2.335960675683378e-08,0.10000003754577745,0.10000003670331925,4.723614838831657e-09,2.6679611180010267e-08,-1.720042732180982e-10,1.536543050349279e-08,2.442912239526072e-08,2.147331085195073e-08,9.213647404702973e-09,2.4849264616429486e-08,1.197327962363951e-08,2.3082045379568916e-08,-6.990743672947509e-07,-5.749603220174572e-09,0.09999964159243861,3.3118338626979217e-06,1.6918383286755913e-08,1.9587754115366662e-08,9.334881303643683e-09,-4.295423045441489e-09,6.165551082808701e-09,-8.692272590618071e-09,7.801500344100074e-09,-5.120450080590274e-09,1.72630754293527e-08,9.235752584915718e-09,1.993833866103377e-08,0.09999962234146445,0.09999977309979535,2.299602307748358e-08,-1.4063047769721516e-08,2.7090217424600427e-08,-2.8262525326664785e-07,-3.018321813457446e-07,0.09999974441172492,2.9036000985390634e-08,1.8611585230964244e-08,8.468689135156e-09,-2.5096939489824334e-07,7.058300878002677e-09
22,2020-03-20,Simple + Baseline,2.559633572727843e-09,1.3230131288605412e-07,0.10000001504816255,2.9556036567647293e-09,3.1416035745436448e-09,0.09999993141191375,-2.704744700041145e-09,1.3497906865782309e-08,-5.275708873820985e-08,-2.7752233665320045e-08,0.10000003045060234,0.10000000197939993,1.664926442518776e-08,3.508947665076622e-08,1.5653697380278607e-08,1.5246587206761772e-09,1.7607135777207538e-08,6.898043002035668e-09,1.0739092190159657e-08,4.0430941077281975e-09,3.003198919102074e-09,7.81389604439773e-09,0.09999998928528077,8.107583929111796e-09,0.010645629132769473,0.10000004742038,9.378897714620819e-09,-4.754727148108208e-09,-1.0348260345882325e-08,4.854892198940717e-09,5.377853420509008e-10,4.041825080269994e-09,1.3012077487936313e-08,8.170421503721467e-09,1.3055072105863091e-08,-1.4302824161926846e-08,2.5070072414311716e-08,0.0999999767610454,-6.353226028948537e-10,-1.0970036202911688e-09,6.1316822676089336e-09,2.4745293346160295e-08,-3.377712420100861e-08,0.10000011472018032,2.732058865364434e-09,6.7161730724068605e-09,-5.393801234581754e-08,-1.2548120520158229e-08,0.08935407424389534,0.10000000384798914
22,2020-03-23,Simple + Baseline,-1.4707441087905421e-09,2.3365193900714216e-08,0.061489623539538345,9.222251281529414e-10,6.824892263535318e-10,0.09999995198922304,2.417664068942241e-10,-9.495960947547846e-09,-1.878326940878758e-08,-2.1766444793611503e-08,0.09999999253377807,0.09999999190895062,-7.7472851784633e-10,-8.347866588680687e-09,-3.4003394284074237e-10,-3.969300921593354e-09,-9.801393397476819e-09,0.10000001168366243,-9.066740205897982e-09,-4.3932099517093646e-09,-6.040854638917103e-09,-1.4083050293818714e-09,0.09999998991389729,-1.1694408662367267e-09,3.2476189500008705e-10,0.09999998740837193,-1.3132512326066747e-09,-9.297520412753538e-09,0.038510645340762095,5.559815282723272e-10,-1.1602959653840488e-08,-1.8047740077496608e-10,-8.229761813411794e-09,-1.6449212750778771e-09,-9.155184138570692e-09,-5.179606726815232e-09,3.202041858533474e-11,0.0999999963897013,0.09999999624200746,-1.2735348085764656e-08,-1.4336729292489596e-09,-9.667387795584427e-09,-1.8813784879713864e-08,0.10000002237453892,3.569359582535576e-10,-1.5697664362279308e-09,-3.577960873941833e-08,-4.050819578096527e-09,-9.84914790684053e-09,1.814550865786908e-09
22,2020-03-24,Simple + Baseline,7.421093785501949e-07,-6.596188104235317e-07,0.0717006205713798,1.2093669884437325e-07,1.2935360106288565e-07,0.04796794501732033,5.145306923611737e-07,1.8649890174970694e-06,1.5827894215355473e-06,2.8049095249938567e-08,0.10000362888496121,0.10000297286135083,5.813576065446544e-07,1.3548411914637537e-06,2.407202350513715e-07,0.06607198219191833,6.981470414984074e-07,0.10000187263342955,1.0546867172154459e-07,-2.7465186080919557e-07,4.0132694757004925e-07,5.264747528813075e-07,0.10000172270542833,8.284367902917607e-08,0.014229187443350753,0.10000187046220886,1.0284473595926956e-06,-2.121736482560543e-07,7.374748369768002e-07,4.0030446844243015e-07,3.200598327798902e-07,4.38134134042951e-07,2.750313272178366e-07,5.45170145095546e-07,6.674802679990846e-07,1.1061324478823599e-06,7.756097882453068e-07,0.10000089656390843,0.10000127703722549,4.877630573652214e-07,5.0168385640386114e-08,-6.202369900249961e-07,6.499301777518906e-08,0.09999995190936999,4.3836331188425153e-07,9.231565947641437e-07,4.723595251739499e-07,1.6126883438071579e-07,8.371410915764815e-08,-1.1191510092115427e-07
22,2020-03-25,Simple + Baseline,-9.319017847411941e-07,-3.60803791878213e-06,-2.688762737111972e-06,2.1604208374893023e-08,4.684829165320147e-08,-1.2116238484791997e-05,-6.457641306847157e-07,-1.7498609142573295e-06,-1.6423945882512507e-06,-2.609956612175927e-06,0.09999475085771502,0.0999919329010119,-5.065622141384314e-07,-3.0184512395816776e-07,-2.8701406750546104e-07,0.06943054726457216,-9.480040844502166e-07,0.09999865788663972,-1.2653667640448704e-06,-3.039209621671798e-06,-8.047109692767647e-07,-7.003000977519913e-07,0.09999734677832396,-1.3334023516003547e-07,0.030661522875760697,0.0999954150819407,-8.602143454959297e-08,-3.3007172498113252e-06,-4.048229964018431e-07,-8.509011068491397e-08,-3.150481302362703e-07,-2.35509958179904e-08,-7.718192870832542e-07,8.694875763920101e-08,-4.865562056358051e-07,-1.0760608047338219e-07,-5.723727891865777e-07,0.09999778243735366,0.09999900244466194,-2.355233482007827e-06,-2.021956470352898e-07,-1.99513246268056e-06,-7.756602196682148e-07,0.09998377351954446,4.1065627130911234e-08,-3.386901456354334e-07,0.09999950482646128,-1.1547377977886916e-06,-2.403965244551661e-06,-1.0265251785545066e-06
22,2020-03-26,Simple + Baseline,-1.2932434900151933e-07,-6.692851569670823e-07,-4.890538111416459e-07,-2.3169396161908678e-08,-1.8068039868464753e-08,0.03898901331837873,-6.762001208453219e-08,0.10000004589609475,-3.766098757748255e-07,-4.813216732161514e-07,0.09999894246550625,0.09999741405213658,-6.202538124025128e-08,-1.0071448698478848e-08,1.1823041036727636e-08,4.931456392998922e-08,-1.1503460930566721e-07,0.0999998155207851,-1.2130790359567304e-07,-8.043963257389693e-07,-1.0953219719488602e-07,-1.2708092152138555e-07,0.09999967346813862,-4.809273084445146e-08,0.0318976620412761,0.09999914434299637,-2.0689089770235887e-08,-9.299096804958593e-07,-1.05751767852745e-08,9.760470732121052e-09,-9.816381562393642e-09,-2.369276190591917e-08,-3.788935332543497e-08,2.7987824317078964e-08,-3.649252819080276e-08,0.10000002384292894,-4.206645307554908e-08,0.09999963015411795,-6.96653873497845e-08,-2.7250769613833213e-07,4.374381509191443e-09,-1.2200061628841762e-07,-4.0303410967639155e-08,0.029124315483724916,-1.0089489896007695e-08,-2.1594810207874582e-08,0.10000002776777075,-1.3153110985958543e-07,-2.5659556177998833e-07,-1.237143757721219e-07
22,2020-03-27,Simple + Baseline,6.028493947432039e-07,6.163693968065934e-07,3.187890104619126e-07,3.139105354995714e-07,3.398618597068788e-07,3.0651926994214177e-06,3.0964014798164074e-07,7.44405430142255e-07,6.259015736368577e-07,7.657734261277456e-07,0.1000002256183624,0.10000089940613673,1.0244526209847656e-06,-8.06689659361395e-07,3.5342483207895904e-07,0.060052350347525416,-3.1053494280089633e-07,0.07816266272410749,8.342433811951459e-07,2.559288952842051e-06,2.436467868650597e-07,8.405704595407018e-09,0.1000021429956109,3.912165237748762e-07,0.018066657889253573,0.10000093419324674,-4.1613436768017224e-07,2.1720507367171624e-06,0.02934953683093805,2.857840973233458e-07,-1.2764562600035498e-07,3.394312718553511e-07,7.337811960025405e-07,3.627819747563698e-08,-3.3945441466627697e-07,-1.8171020958545882e-07,-2.70391024015511e-08,0.10000255875613041,0.10000081523857657,1.7044621172462681e-06,4.3536050442424765e-07,0.08132989497312351,3.993478373042087e-08,0.10000859551245939,1.4761828645339884e-07,6.125136758685328e-08,0.0330015462466952,1.2982853123235327e-06,1.5043236944280866e-06,1.4921198066007328e-06
22,2020-03-30,Simple + Baseline,1.5042329428230395e-06,1.0358313520472833e-05,-6.993044178703526e-06,2.8531420112555093e-07,5.303613081606797e-07,0.09687341921227402,-4.41026276348988e-06,-3.728107136392965e-06,-5.503760140458925e-06,6.696231149005005e-06,0.09999095916757351,0.09998310037548845,3.730541711020982e-07,-7.809905794135413e-06,3.5743291041333526e-06,0.09999583034148474,6.506336647211707e-07,0.06900757739071375,6.537008957032759e-06,2.3798637940043138e-07,-1.064492947925752e-06,-8.560342546070137e-06,0.10000032819245568,2.4563670873658217e-06,-9.383747137577204e-07,0.10000192433831609,-3.456451069715697e-06,2.8814217500687884e-06,-5.347506349323034e-06,2.396875608730773e-06,5.663297623750617e-06,-3.30769526170762e-06,0.020167221228516097,-6.493338867075461e-07,2.372131144844611e-06,-2.6688124499300074e-06,1.759477718887696e-06,0.09999936768630183,0.09999438240702305,2.2932673126358866e-07,5.035458952085096e-06,1.3564049949655e-05,5.819596094388739e-06,0.10001322967675493,0.013943160076703189,-3.8140643084994082e-06,3.873629145029614e-06,4.004329337529517e-06,3.740702395098381e-06,3.1907668941323057e-06
22,2020-03-31,Simple + Baseline,-3.091658023858743e-07,-4.413453663354587e-07,-2.750205018835851e-06,-6.7698839549646435e-09,4.469804838985282e-08,0.09999860426336254,-1.0453910825176625e-06,-2.2767290936658637e-06,-2.7607827528943804e-06,-3.3476166632649083e-07,0.09999692296061756,0.09999243681039019,0.04293816825760877,-1.9006693602475978e-06,5.490649915205671e-07,-6.227095295684408e-07,-1.0484305899593416e-06,-1.1590200146133124e-06,1.4679734249520645e-06,-6.722507931929277e-07,-4.001410895077394e-07,-1.5739427213521871e-06,0.09999885762348605,6.138354794085673e-07,-1.3006762428848625e-07,0.0999989033758553,-7.420846788401536e-07,-5.281066109128332e-07,-1.114719926229608e-06,2.7226917479860845e-07,8.852700229730809e-07,-1.642333110291494e-07,5.013375284830966e-07,1.1770462090174118e-07,-5.166247360700287e-07,-4.799245829133395e-07,0.017867142573822808,0.09999869423439041,0.09999823530804411,-4.5473150184586636e-07,6.800342831424279e-07,0.10000050303756948,-2.0646771875449569e-07,0.09999292630932313,0.038679205789199575,-1.1514523537395516e-06,0.0005557134348680798,9.292716481932363e-07,-4.545795385975359e-07,8.926355218576475e-07
