seed,date,strategy,cost_coeff
6,2020-03-20,simple,0.009227483390885041
6,2020-03-23,simple,0.009123385531981899
6,2020-03-24,simple,0.012557555273129439
6,2020-03-25,simple,0.011593557767274198
6,2020-03-26,simple,0.011183212444796968
6,2020-03-27,simple,0.010531213225389732
6,2020-03-30,simple,0.009756034006058845
6,2020-03-31,simple,0.008990454651105002
6,2020-04-01,simple,0.009239008321995756
6,2020-04-02,simple,0.008864874768039646
6,2020-04-03,simple,0.00839375541729813
6,2020-04-06,simple,0.00886053380757673
6,2020-04-07,simple,0.00848573578897955
6,2020-04-08,simple,0.008407605094351199
6,2020-04-09,simple,0.00844578336814468
6,2020-04-13,simple,0.008258132189653362
6,2020-04-14,simple,0.008013510898903802
6,2020-04-15,simple,0.007947943050403649
6,2020-04-16,simple,0.007759784785898592
6,2020-04-17,simple,0.007740817967880942
6,2020-04-20,simple,0.0075721871274211485
6,2020-04-21,simple,0.0072899291605535215
6,2020-04-22,simple,0.007011496132887008
6,2020-04-23,simple,0.006269562342461113
6,2020-04-24,simple,0.006024112081760896
6,2020-04-27,simple,0.005896023774330224
6,2020-04-28,simple,0.005741479937311417
6,2020-04-29,simple,0.005935801568602824
6,2020-04-30,simple,0.006043161409010832
6,2020-05-01,simple,0.005809368023173069
6,2020-05-04,simple,0.005681558889777273
6,2020-05-05,simple,0.005726959477891185
6,2020-05-06,simple,0.005299900995095614
6,2020-05-07,simple,0.005303743458019768
6,2020-05-08,simple,0.0053056031515709414
6,2020-05-11,simple,0.005091923617732862
6,2020-05-12,simple,0.00508929908610957
6,2020-05-13,simple,0.005168521307873028
6,2020-05-14,simple,0.004985615213357983
6,2020-05-15,simple,0.004905704234166331
6,2020-05-18,simple,0.00502664229651561
6,2020-05-19,simple,0.005005438683264135
6,2020-05-20,simple,0.0050316885616887045
6,2020-05-21,simple,0.004952403562116169
6,2020-05-22,simple,0.004818919528101907
6,2020-05-26,simple,0.004958069679937156
6,2020-05-27,simple,0.004916986851515585
6,2020-05-28,simple,0.004847658478343896
6,2020-05-29,simple,0.004541290263324854
6,2020-06-01,simple,0.004352112171149344
6,2020-06-02,simple,0.004116357640561335
6,2020-06-03,simple,0.004158706530499794
6,2020-06-04,simple,0.004074499835322293
6,2020-06-05,simple,0.004086828116681577
6,2020-06-08,simple,0.004087193953812827
6,2020-06-09,simple,0.0038668838509388153
6,2020-06-10,simple,0.0039059647147987437
6,2020-06-11,simple,0.004234901798876319
6,2020-06-12,simple,0.004113691419872068
6,2020-06-15,simple,0.004098615198384192
6,2020-06-16,simple,0.004140185628253153
6,2020-06-17,simple,0.0037885544281175366
6,2020-06-18,simple,0.0036886215307654997
6,2020-06-19,simple,0.0036057420285662695
6,2020-06-22,simple,0.003605215363616993
6,2020-06-23,simple,0.0035756007726667092
6,2020-06-24,simple,0.003452588847095038
6,2020-06-25,simple,0.0032694089685258057
6,2020-06-26,simple,0.0032853749447176073
6,2020-06-29,simple,0.0033999137737048112
6,2020-06-30,simple,0.003379767193541799
6,2020-07-01,simple,0.003462728433916136
6,2020-07-02,simple,0.003300173069158311
6,2020-07-06,simple,0.003223793300553316
6,2020-07-07,simple,0.003108728003861395
6,2020-07-08,simple,0.003054833269833921
6,2020-07-09,simple,0.003095608563512468
6,2020-07-10,simple,0.003007759934468176
6,2020-07-13,simple,0.0025171301420246505
6,2020-07-14,simple,0.002465136615345154
6,2020-07-15,simple,0.0025800973501911894
6,2020-07-16,simple,0.0024661573693745024
6,2020-07-17,simple,0.0024092067411941695
6,2020-07-20,simple,0.0024456048804172487
6,2020-07-21,simple,0.002497139874876644
6,2020-07-22,simple,0.0024896101854048115
6,2020-07-23,simple,0.0025140210226247727
6,2020-07-24,simple,0.0023836976841903833
6,2020-07-27,simple,0.0023795975467964985
6,2020-07-28,simple,0.002316926854352155
6,2020-07-29,simple,0.0021661869859233426
6,2020-07-30,simple,0.0021851232870424616
6,2020-07-31,simple,0.0021405339293680205
6,2020-08-03,simple,0.0022697924661414497
6,2020-08-04,simple,0.002318642956640106
6,2020-08-05,simple,0.002351442153029467
6,2020-08-06,simple,0.0022783509304870764
6,2020-08-07,simple,0.0022485146519994306
6,2020-08-10,simple,0.002247533102865825
6,2020-08-11,simple,0.002254121712418607
6,2020-08-12,simple,0.0022389007328364715
6,2020-08-13,simple,0.0020934600039073745
6,2020-08-14,simple,0.0020788491721147207
6,2020-08-17,simple,0.002164500728535678
6,2020-08-18,simple,0.002148530193827557
6,2020-08-19,simple,0.0020189803906191022
6,2020-08-20,simple,0.001996841651001218
6,2020-08-21,simple,0.0020019697519106225
6,2020-08-24,simple,0.002071760771125315
6,2020-08-25,simple,0.0019766975834325977
6,2020-08-26,simple,0.001977873330183822
6,2020-08-27,simple,0.0019222270815209442
6,2020-08-28,simple,0.001885954273221807
6,2020-08-31,simple,0.0018466485335357163
6,2020-09-01,simple,0.0017893048397254004
6,2020-09-02,simple,0.0017117539384611318
6,2020-09-03,simple,0.0017437970949343668
6,2020-09-04,simple,0.0017712535759547082
6,2020-09-08,simple,0.0017616793149630326
6,2020-09-09,simple,0.0018213021223360082
6,2020-09-10,simple,0.001812990485524915
6,2020-09-11,simple,0.001768158536532667
6,2020-09-14,simple,0.0017947426232398157
6,2020-09-15,simple,0.0017901180064841889
6,2020-09-16,simple,0.0016997440488078777
6,2020-09-17,simple,0.0016601303724473224
6,2020-09-18,simple,0.0017038189150732008
6,2020-09-21,simple,0.001897846056318715
6,2020-09-22,simple,0.0019489760478740034
6,2020-09-23,simple,0.002026009411402474
6,2020-09-24,simple,0.0020846199081332407
6,2020-09-25,simple,0.0020775377444290834
6,2020-09-28,simple,0.0021560912749621856
6,2020-09-29,simple,0.0021588714047921886
6,2020-09-30,simple,0.0021325289240272313
6,2020-10-01,simple,0.002102975026045851
6,2020-10-02,simple,0.002195690880023883
6,2020-10-05,simple,0.002147361976384499
6,2020-10-06,simple,0.002118865983064384
6,2020-10-07,simple,0.0021150596906319343
6,2020-10-08,simple,0.002033656045058516
6,2020-10-09,simple,0.0020056986166348025
6,2020-10-12,simple,0.0020821772283821094
6,2020-10-13,simple,0.00205222999963509
6,2020-10-14,simple,0.0020731506513325497
6,2020-10-15,simple,0.0020441297894335914
6,2020-10-16,simple,0.002006243375514128
6,2020-10-19,simple,0.002002504384292673
6,2020-10-20,simple,0.0018018011330653864
6,2020-10-21,simple,0.0017652232178057652
6,2020-10-22,simple,0.0017127983839977504
6,2020-10-23,simple,0.0016938848411891191
6,2020-10-26,simple,0.0017481442369876885
6,2020-10-27,simple,0.001763284216497128
6,2020-10-28,simple,0.001905530693873971
6,2020-10-29,simple,0.0019718231863205455
6,2020-10-30,simple,0.0020391514869546124
6,2020-11-02,simple,0.0020504416147227042
6,2020-11-03,simple,0.002095057384890425
6,2020-11-04,simple,0.0023302133401720726
6,2020-11-05,simple,0.0024419929022051487
6,2020-11-06,simple,0.002419061357572879
6,2020-11-09,simple,0.0030390412134154374
6,2020-11-10,simple,0.0031248922218538454
6,2020-11-11,simple,0.0031453999241047264
6,2020-11-12,simple,0.003219674012126796
6,2020-11-13,simple,0.003334012997668455
6,2020-11-16,simple,0.003465444197219008
6,2020-11-17,simple,0.0034300391999244387
6,2020-11-18,simple,0.003475673066328371
6,2020-11-19,simple,0.003466078471235832
6,2020-11-20,simple,0.003366506965362742
6,2020-11-23,simple,0.003444860997692186
6,2020-11-24,simple,0.0035144927576368605
6,2020-11-25,simple,0.003433281748504892
6,2020-11-27,simple,0.003289656147988083
6,2020-11-30,simple,0.003360412365444433
6,2020-12-01,simple,0.0033270668725020425
6,2020-12-02,simple,0.0032617257970612317
6,2020-12-03,simple,0.0031184307623528928
6,2020-12-04,simple,0.002951992198961019
6,2020-12-07,simple,0.002771628639149828
6,2020-12-08,simple,0.0027127532176966593
6,2020-12-09,simple,0.0021020774418504945
6,2020-12-10,simple,0.001991527310953459
6,2020-12-11,simple,0.00191559536751316
6,2020-12-14,simple,0.0018655307290116174
6,2020-12-15,simple,0.001836782436429961
6,2020-12-16,simple,0.0017033189895706412
6,2020-12-17,simple,0.0017380985972056018
6,2020-12-18,simple,0.0017064217740505212
6,2020-12-21,simple,0.0017234986405308618
6,2020-12-22,simple,0.0017280942846170952
6,2020-12-23,simple,0.0016802940702465624
6,2020-12-24,simple,0.0014774601099743162
6,2020-12-28,simple,0.0014957547350868303
6,2020-12-29,simple,0.0014967109208608403
6,2020-12-30,simple,0.0013657365802799495
6,2020-12-31,simple,0.001363703396602692
6,2021-01-04,simple,0.0014143359726274732
6,2021-01-05,simple,0.0014482673659500396
6,2021-01-06,simple,0.001611781627029159
6,2021-01-07,simple,0.0016605597079887761
6,2021-01-08,simple,0.001699776093380259
6,2021-01-11,simple,0.0016571365876956335
6,2021-01-12,simple,0.00161439740751067
6,2021-01-13,simple,0.0016539364333283339
6,2021-01-14,simple,0.0016458296104915257
6,2021-01-15,simple,0.0016045959684815325
6,2021-01-19,simple,0.0016696106053382574
6,2021-01-20,simple,0.0016850883943444455
6,2021-01-21,simple,0.0017051384795537645
6,2021-01-22,simple,0.0016825614526261305
6,2021-01-25,simple,0.0017157760205314713
6,2021-01-26,simple,0.001800176259093401
6,2021-01-27,simple,0.002023925456203882
6,2021-01-28,simple,0.0021629711118908677
6,2021-01-29,simple,0.0022101526517923783
6,2021-02-01,simple,0.00231656075592539
6,2021-02-02,simple,0.0023535808951815813
6,2021-02-03,simple,0.00225490418551275
6,2021-02-04,simple,0.0022610657697306183
6,2021-02-05,simple,0.0020313717907171737
6,2021-02-08,simple,0.0020226748703928025
6,2021-02-09,simple,0.0019878796507799036
6,2021-02-10,simple,0.001991562816480459
6,2021-02-11,simple,0.0020183264349751475
6,2021-02-12,simple,0.001991153417946311
6,2021-02-16,simple,0.001975116278377586
6,2021-02-17,simple,0.001952509888654791
6,2021-02-18,simple,0.0019458570931209253
6,2021-02-19,simple,0.0019562110663525856
6,2021-02-22,simple,0.0020571575517128082
6,2021-02-23,simple,0.0021003326899855504
6,2021-02-24,simple,0.002173097838785916
6,2021-02-25,simple,0.0022634691048692883
6,2021-02-26,simple,0.002160996823397659
6,2021-03-01,simple,0.002155051999316571
6,2021-03-02,simple,0.002168949150149546
6,2021-03-03,simple,0.0021833729493191518
6,2021-03-04,simple,0.0021876248938694073
6,2021-03-05,simple,0.002360104068643271
6,2021-03-08,simple,0.0024246819816078286
6,2021-03-09,simple,0.0025121125655261337
6,2021-03-10,simple,0.0025047404995946244
6,2021-03-11,simple,0.0025530171469127093
6,2021-03-12,simple,0.0025639502315835923
6,2021-03-15,simple,0.0025663006975943656
6,2021-03-16,simple,0.002586330534851231
6,2021-03-17,simple,0.0025716471034425707
6,2021-03-18,simple,0.0026176921083635864
6,2021-03-19,simple,0.0025822694477670477
6,2021-03-22,simple,0.002590574013836541
6,2021-03-23,simple,0.0026224445719394006
6,2021-03-24,simple,0.0026249173303437966
6,2021-03-25,simple,0.0025845917967110585
6,2021-03-26,simple,0.00248945936349547
6,2021-03-29,simple,0.0024929000849964887
6,2021-03-30,simple,0.0023535152405646034
6,2021-03-31,simple,0.002344170183651724
6,2021-04-01,simple,0.002258900029322492
6,2021-04-05,simple,0.002168260858609975
6,2021-04-06,simple,0.0020062397372973095
6,2021-04-07,simple,0.0018895365226748728
6,2021-04-08,simple,0.0017666527453730808
6,2021-04-09,simple,0.00168785383634717
6,2021-04-12,simple,0.0015799285646925965
6,2021-04-13,simple,0.0015837651552195026
6,2021-04-14,simple,0.0015634690786713423
6,2021-04-15,simple,0.001565445902142828
6,2021-04-16,simple,0.0015620666108709584
6,2021-04-19,simple,0.0014976588476863758
6,2021-04-20,simple,0.001530659224351938
6,2021-04-21,simple,0.001511392912929205
6,2021-04-22,simple,0.0013748548212931873
6,2021-04-23,simple,0.0013661927721852769
6,2021-04-26,simple,0.0013230011556573916
6,2021-04-27,simple,0.0011643386106065905
6,2021-04-28,simple,0.001067771538221857
6,2021-04-29,simple,0.0010841019753966075
6,2021-04-30,simple,0.0010495664474612569
6,2021-05-03,simple,0.0011087651222426568
6,2021-05-04,simple,0.0011757585261747065
6,2021-05-05,simple,0.0011894210513685533
6,2021-05-06,simple,0.001193732701066796
6,2021-05-07,simple,0.0012235162260383953
6,2021-05-10,simple,0.001305971534917919
6,2021-05-11,simple,0.001371614035667557
6,2021-05-12,simple,0.0015123948198861852
6,2021-05-13,simple,0.0016139013774512571
6,2021-05-14,simple,0.0016671307042880096
6,2021-05-17,simple,0.0016778416467993372
6,2021-05-18,simple,0.001688270005989772
6,2021-05-19,simple,0.0016904457643395511
6,2021-05-20,simple,0.0016703408005367573
6,2021-05-21,simple,0.0016230194535141976
6,2021-05-24,simple,0.0015613137374937823
6,2021-05-25,simple,0.0015489187790034356
6,2021-05-26,simple,0.0015962617282856467
6,2021-05-27,simple,0.001610165096501316
6,2021-05-28,simple,0.0015106207319717884
6,2021-06-01,simple,0.0015004139158415635
6,2021-06-02,simple,0.0014032085801531716
6,2021-06-03,simple,0.0013264592529931357
6,2021-06-04,simple,0.001280390108243851
6,2021-06-07,simple,0.0012694031502297266
6,2021-06-08,simple,0.0012326253634251509
6,2021-06-09,simple,0.001146382099058488
6,2021-06-10,simple,0.0011555813662963224
6,2021-06-11,simple,0.0009527714656761762
6,2021-06-14,simple,0.0008316593175737409
6,2021-06-15,simple,0.0007191802220551988
6,2021-06-16,simple,0.0007152363802110195
6,2021-06-17,simple,0.000827700589401414
6,2021-06-18,simple,0.0008677139130429854
6,2021-06-21,simple,0.0009382712030641906
6,2021-06-22,simple,0.0009474087462693986
6,2021-06-23,simple,0.0009320190624713671
6,2021-06-24,simple,0.0009118388174373941
6,2021-06-25,simple,0.0008822596267959093
6,2021-06-28,simple,0.0009273431117275694
6,2021-06-29,simple,0.0009576474473772851
6,2021-06-30,simple,0.0009049642282780326
6,2021-07-01,simple,0.0008635809103129924
6,2021-07-02,simple,0.0008521983509454412
6,2021-07-06,simple,0.0009546347113545628
6,2021-07-07,simple,0.0009291130505322749
6,2021-07-08,simple,0.0009670698269664499
6,2021-07-09,simple,0.0010504163397809174
6,2021-07-12,simple,0.0009708760379930625
6,2021-07-13,simple,0.00103941700881604
6,2021-07-14,simple,0.0010402545018933368
6,2021-07-15,simple,0.0010432520973817697
6,2021-07-16,simple,0.0010571783939569413
6,2021-07-19,simple,0.00102518296795078
6,2021-07-20,simple,0.001095236795352244
6,2021-07-21,simple,0.001028416247146223
6,2021-07-22,simple,0.0010641917544043631
6,2021-07-23,simple,0.0010980115654671409
6,2021-07-26,simple,0.001079884409291318
6,2021-07-27,simple,0.001071687000416687
6,2021-07-28,simple,0.0010395588876045032
6,2021-07-29,simple,0.0010859449995870775
6,2021-07-30,simple,0.0011103967705247731
6,2021-08-02,simple,0.0011102961390002774
6,2021-08-03,simple,0.001172022943568198
6,2021-08-04,simple,0.0011697691088489543
6,2021-08-05,simple,0.001239227289504107
6,2021-08-06,simple,0.0012587833230251803
6,2021-08-09,simple,0.0012010896028527486
6,2021-08-10,simple,0.0013131084266900812
6,2021-08-11,simple,0.0013302235042740227
6,2021-08-12,simple,0.0012871989929966615
6,2021-08-13,simple,0.001280575852630787
6,2021-08-16,simple,0.001260565856887908
6,2021-08-17,simple,0.0011934014266787299
6,2021-08-18,simple,0.0010393340825928475
6,2021-08-19,simple,0.0010440244292599275
6,2021-08-20,simple,0.0010534053604252156
6,2021-08-23,simple,0.0010740989019288741
6,2021-08-24,simple,0.0010828703234632671
6,2021-08-25,simple,0.0010803490804899747
6,2021-08-26,simple,0.0010484571832969425
6,2021-08-27,simple,0.0011103586149804287
6,2021-08-30,simple,0.0011053223596627206
6,2021-08-31,simple,0.0011333349119865205
6,2021-09-01,simple,0.001049118333545296
6,2021-09-02,simple,0.0009712520198034791
6,2021-09-03,simple,0.0008987981307227808
6,2021-09-07,simple,0.0008706873561834234
6,2021-09-08,simple,0.0008521557456684059
6,2021-09-09,simple,0.0007250848151168517
6,2021-09-10,simple,0.000673935559176488
6,2021-09-13,simple,0.000724517313884665
6,2021-09-14,simple,0.000779312893389836
6,2021-09-15,simple,0.0007785556944937171
6,2021-09-16,simple,0.0007714484940548547
6,2021-09-17,simple,0.000798909110566687
6,2021-09-20,simple,0.0008437918685348617
6,2021-09-21,simple,0.0008006701269426016
6,2021-09-22,simple,0.0007973760230438902
6,2021-09-23,simple,0.0008727085695109618
6,2021-09-24,simple,0.0008771968175926048
6,2021-09-27,simple,0.0009976419532611205
6,2021-09-28,simple,0.000967113526091564
6,2021-09-29,simple,0.000971023522096532
6,2021-09-30,simple,0.0010188309460636927
6,2021-10-01,simple,0.0011534306418898414
6,2021-10-04,simple,0.0012507210827114976
6,2021-10-05,simple,0.0012640944243079062
6,2021-10-06,simple,0.0012283073357352032
6,2021-10-07,simple,0.0012718821687994258
6,2021-10-08,simple,0.0012998785587301884
6,2021-10-11,simple,0.0013160265709961485
6,2021-10-12,simple,0.0012903375245409499
6,2021-10-13,simple,0.0012439351980539377
6,2021-10-14,simple,0.0012657045198794616
6,2021-10-15,simple,0.001205320008989791
6,2021-10-18,simple,0.0011964332600286874
6,2021-10-19,simple,0.0011011771445351465
6,2021-10-20,simple,0.0011142966559382131
6,2021-10-21,simple,0.001057425631982015
6,2021-10-22,simple,0.0009775113982729514
6,2021-10-25,simple,0.0009962808222405974
6,2021-10-26,simple,0.0008842636932011833
6,2021-10-27,simple,0.0009518283622354674
6,2021-10-28,simple,0.000977063276250028
6,2021-10-29,simple,0.0009264295006645309
6,2021-11-01,simple,0.0009204605498132455
6,2021-11-02,simple,0.001009126987050228
6,2021-11-03,simple,0.0011337667348004787
6,2021-11-04,simple,0.0011895877634164373
6,2021-11-05,simple,0.0012988943089309961
6,2021-11-08,simple,0.0013175121381285213
6,2021-11-09,simple,0.0013341396217956198
6,2021-11-10,simple,0.0013669875826016957
6,2021-11-11,simple,0.0014120628263069115
6,2021-11-12,simple,0.0013909904015351252
6,2021-11-15,simple,0.0014347147813611714
6,2021-11-16,simple,0.0014388926416154023
6,2021-11-17,simple,0.001458646771561483
6,2021-11-18,simple,0.001448803842854487
6,2021-11-19,simple,0.0015002954411688484
6,2021-11-22,simple,0.0015927490378143268
6,2021-11-23,simple,0.0016106689801721915
6,2021-11-24,simple,0.001619582704988991
6,2021-11-26,simple,0.0016699982274151668
6,2021-11-29,simple,0.0016423629623333956
6,2021-11-30,simple,0.0018259204340458851
6,2021-12-01,simple,0.001776461511202747
6,2021-12-02,simple,0.0017331194742891522
6,2021-12-03,simple,0.0016934792518768864
6,2021-12-06,simple,0.001730059115777281
6,2021-12-07,simple,0.001688364775910614
6,2021-12-08,simple,0.0017042253985039752
6,2021-12-09,simple,0.0017581474632057744
6,2021-12-10,simple,0.00174690318554691
6,2021-12-13,simple,0.0017566629553362838
6,2021-12-14,simple,0.0017458606600154476
6,2021-12-15,simple,0.001787603828271488
6,2021-12-16,simple,0.0018374355206020915
6,2021-12-17,simple,0.0019153155279514902
6,2021-12-20,simple,0.001984913012523057
6,2021-12-21,simple,0.0021140729695350692
6,2021-12-22,simple,0.0020008754203289236
6,2021-12-23,simple,0.0019807820180952128
6,2021-12-27,simple,0.002014034578502548
6,2021-12-28,simple,0.0018292512981422852
6,2021-12-29,simple,0.0017926520659566792
6,2021-12-30,simple,0.0016014256201403389
6,2021-12-31,simple,0.0015137556292506783
6,2022-01-03,simple,0.0013994241968499387
6,2022-01-04,simple,0.0014269886098830615
6,2022-01-05,simple,0.0014478769230190753
6,2022-01-06,simple,0.0013615796113722975
6,2022-01-07,simple,0.0013818813420068815
6,2022-01-10,simple,0.001310964993992053
6,2022-01-11,simple,0.0013444986272250908
6,2022-01-12,simple,0.0012907186221831758
6,2022-01-13,simple,0.0013254447509217892
6,2022-01-14,simple,0.0012798705766629093
6,2022-01-18,simple,0.0013022621667654337
6,2022-01-19,simple,0.0012893477968309681
6,2022-01-20,simple,0.0013015640164822538
6,2022-01-21,simple,0.0012025665736649573
6,2022-01-24,simple,0.0013138373039297288
6,2022-01-25,simple,0.001442454540721997
6,2022-01-26,simple,0.001428454526117419
6,2022-01-27,simple,0.0015020930675902955
6,2022-01-28,simple,0.001573382172947388
6,2022-01-31,simple,0.0017238908549196182
6,2022-02-01,simple,0.0017837136342348857
6,2022-02-02,simple,0.001806414481708337
6,2022-02-03,simple,0.001777728936077168
6,2022-02-04,simple,0.0017341390453901218
6,2022-02-07,simple,0.001717684274277382
6,2022-02-08,simple,0.001759960685607812
6,2022-02-09,simple,0.0018184700442506704
6,2022-02-10,simple,0.0018308621606208813
6,2022-02-11,simple,0.0019397494584578881
6,2022-02-14,simple,0.0018965488056287413
6,2022-02-15,simple,0.001984883785874166
6,2022-02-16,simple,0.001940618233387384
6,2022-02-17,simple,0.0019889072945886528
6,2022-02-18,simple,0.0019179644461895086
6,2022-02-22,simple,0.0019360209020413911
6,2022-02-23,simple,0.0019472084092328058
6,2022-02-24,simple,0.0020135614976327745
6,2022-02-25,simple,0.002206007159254017
6,2022-02-28,simple,0.0022173789713926277
6,2022-03-01,simple,0.0023100400375005298
6,2022-03-02,simple,0.0023242706189008054
6,2022-03-03,simple,0.0023871156710214727
6,2022-03-04,simple,0.0024612857605852234
6,2022-03-07,simple,0.0025511912005779084
6,2022-03-08,simple,0.002609337028297259
6,2022-03-09,simple,0.002745734387753406
6,2022-03-10,simple,0.002728380204284737
6,2022-03-11,simple,0.00271968418854219
6,2022-03-14,simple,0.0028054200118464703
6,2022-03-15,simple,0.002766825971753687
6,2022-03-16,simple,0.002956393346721666
6,2022-03-17,simple,0.00292980658850761
6,2022-03-18,simple,0.0029210224798268732
6,2022-03-21,simple,0.002835319882457357
6,2022-03-22,simple,0.0028380962235103635
6,2022-03-23,simple,0.002854653336691632
6,2022-03-24,simple,0.002764920164691975
6,2022-03-25,simple,0.002601078778889484
6,2022-03-28,simple,0.00238219985175751
6,2022-03-29,simple,0.0024141332672953934
6,2022-03-30,simple,0.0023229026091409317
6,2022-03-31,simple,0.0021989790159322
6,2022-04-01,simple,0.0021557258758229257
6,2022-04-04,simple,0.0020408580286389484
6,2022-04-05,simple,0.001919299640106051
6,2022-04-06,simple,0.001863673107258537
6,2022-04-07,simple,0.0017705958788098183
6,2022-04-08,simple,0.0017091990926114864
6,2022-04-11,simple,0.0016871697361077645
6,2022-04-12,simple,0.0015822085503630645
6,2022-04-13,simple,0.0015821156469338984
6,2022-04-14,simple,0.0014126186171637331
6,2022-04-18,simple,0.0013702631708804726
6,2022-04-19,simple,0.001428173715531945
6,2022-04-20,simple,0.0014526778665464252
6,2022-04-21,simple,0.001560098642113807
6,2022-04-22,simple,0.0016193779031746338
6,2022-04-25,simple,0.0016431608582046034
6,2022-04-26,simple,0.0018062724857467827
6,2022-04-27,simple,0.0018473059347415696
6,2022-04-28,simple,0.0018440698554753987
6,2022-04-29,simple,0.0019588649454554217
6,2022-05-02,simple,0.0019637291388288876
6,2022-05-03,simple,0.002041919902934356
6,2022-05-04,simple,0.0022512102395666053
6,2022-05-05,simple,0.002476187944261881
6,2022-05-06,simple,0.002512868500130602
6,2022-05-09,simple,0.002733140487644203
6,2022-05-10,simple,0.002854469386136025
6,2022-05-11,simple,0.0029540238015833974
6,2022-05-12,simple,0.0030187722913081485
6,2022-05-13,simple,0.0031417441567880636
6,2022-05-16,simple,0.003168066662537628
6,2022-05-17,simple,0.0033079101752848832
6,2022-05-18,simple,0.003380717426372133
6,2022-05-19,simple,0.003403495691452841
6,2022-05-20,simple,0.0033062706854599514
6,2022-05-23,simple,0.003188157414796981
6,2022-05-24,simple,0.0032542375235426126
6,2022-05-25,simple,0.0031612404544639175
6,2022-05-26,simple,0.003227277492579229
6,2022-05-27,simple,0.0032410049702307894
6,2022-05-31,simple,0.0031308995945310684
6,2022-06-01,simple,0.003118843119529851
6,2022-06-02,simple,0.0031524743434000325
6,2022-06-03,simple,0.003028745216275947
6,2022-06-06,simple,0.0027719048113581837
6,2022-06-07,simple,0.0027114858009360558
6,2022-06-08,simple,0.002532428916422779
6,2022-06-09,simple,0.00250734183804561
6,2022-06-10,simple,0.0025396627128375544
6,2022-06-13,simple,0.002712538361436476
6,2022-06-14,simple,0.0025694172042260615
6,2022-06-15,simple,0.0025975178283330134
6,2022-06-16,simple,0.0027507665335413825
6,2022-06-17,simple,0.0026652276518809464
6,2022-06-21,simple,0.002648664667581624
6,2022-06-22,simple,0.002650374664732131
6,2022-06-23,simple,0.002792797234234052
6,2022-06-24,simple,0.0029063390195943092
6,2022-06-27,simple,0.002839549853712006
6,2022-06-28,simple,0.0027981313880336175
6,2022-06-29,simple,0.002707657616963629
6,2022-06-30,simple,0.002684561246749057
6,2022-07-01,simple,0.0027402681633110246
6,2022-07-05,simple,0.0026782984060778415
6,2022-07-06,simple,0.0026092934098908413
6,2022-07-07,simple,0.0026754843214372146
6,2022-07-08,simple,0.0026372308859782425
