seed,date,strategy,eq_gross,eq_net,rp_gross,rp_net,turnover,trading_cost_paid,cost_coeff
6,2020-03-23,simple,0.9740734131366007,0.9740734131366007,-0.02592658686339929,-0.02592658686339929,0.852367277055664,0.0,0.009123385531981899
6,2020-03-24,simple,1.0504769060842325,1.0429020482627347,0.07843709921370902,0.07066062393028456,0.3476379711764585,0.007776475283424451,0.012557555273129439
6,2020-03-25,simple,1.0860854640596926,1.0737010661701576,0.033897516232122546,0.02953203319403559,0.2853591476103507,0.004365483038086956,0.011593557767274198
6,2020-03-26,simple,1.1214110779862432,1.1050717147079165,0.032525629976214186,0.02921730221397346,0.3999895596263267,0.0033083277622407256,0.011183212444796968
6,2020-03-27,simple,1.1094006477509475,1.0882931090905017,-0.010710104859016748,-0.015183273080018744,0.20005584740981264,0.004473168221001996,0.010531213225389732
6,2020-03-30,simple,1.1188365731893462,1.0952566564881183,0.008505426292591298,0.0063985955065325294,0.23387113566357676,0.002106830786058769,0.009756034006058845
6,2020-03-31,simple,1.1074165844247714,1.0815783508806551,-0.010207021327539414,-0.01248867608010887,0.2617703798763775,0.002281654752569456,0.008990454651105002
6,2020-04-01,simple,1.0203830301060262,0.994030038595951,-0.07859152151306567,-0.08094495624234677,0.6972714265140142,0.0023534347292811014,0.009239008321995756
6,2020-04-02,simple,1.0605751181954395,1.0267804655525437,0.03938921650356824,0.03294711999131541,0.20002340430997337,0.00644209651225283,0.008864874768039646
6,2020-04-03,simple,1.0520506561902787,1.0167069618387687,-0.008037584381260121,-0.009810766811144997,0.2000038111721824,0.0017731824298848754,0.00839375541729813
6,2020-04-06,simple,1.0942166459353586,1.055749552613645,0.04007980936751918,0.0384010262940124,0.37376492381283866,0.0016787830735067782,0.00886053380757673
6,2020-04-07,simple,1.090610773918911,1.0487740590215584,-0.0032953913010207885,-0.006607148044550786,0.22498895281790565,0.0033117567435299975,0.00848573578897955
6,2020-04-08,simple,1.1327038968160545,1.087250139456544,0.038595916988688424,0.03668672017963649,0.2273208575997827,0.0019091968090519332,0.008407605094351199
6,2020-04-09,simple,1.1580213566250506,1.1094736679225945,0.022351348733028496,0.020440124732620277,0.35859904144818544,0.0019112240004082166,0.00844578336814468
6,2020-04-13,simple,1.149705501949772,1.0981462313063355,-0.007181089215413544,-0.010209739035509252,0.3322365754359757,0.0030286498200957092,0.008258132189653362
6,2020-04-14,simple,1.1702919058358172,1.1147964920703413,0.017905806183525334,0.015162152625337304,0.25633915734437274,0.0027436535581880283,0.008013510898903802
6,2020-04-15,simple,1.1502203805335498,1.0933867725382889,-0.017150870823064022,-0.01920504745425897,0.21261985455820528,0.0020541766311949474,0.007947943050403649
6,2020-04-16,simple,1.1540059105468967,1.0951375515870825,0.0032911345316198205,0.0016012440362060982,0.08307434459526607,0.0016898904954137223,0.007759784785898592
6,2020-04-17,simple,1.1859936335841965,1.1247875426762979,0.027718855462482313,0.02707421642719347,0.051666724290097076,0.0006446390352888426,0.007740817967880942
6,2020-04-20,simple,1.2010041201286283,1.1385735259169882,0.01265646468865824,0.012256521980931906,0.16631079858343398,0.00039994270772633416,0.0075721871274211485
6,2020-04-21,simple,1.1794664392867777,1.1167215695798258,-0.017933061578126696,-0.019192398066311307,0.22075327207250625,0.0012593364881846101,0.0072899291605535215
6,2020-04-22,simple,1.2062625786333947,1.1402951037706248,0.02271886545819874,0.02110958974282977,0.07655209109209629,0.0016092757153689686,0.007011496132887008
6,2020-04-23,simple,1.232551324355557,1.164534136584268,0.021793551576428247,0.021256806885771598,0.058061611829858376,0.0005367446906566471,0.006269562342461113
6,2020-04-24,simple,1.2581737203353178,1.1883186699362887,0.02078809658750515,0.020424075692434075,0.05990514476462826,0.0003640208950710747,0.006024112081760896
6,2020-04-27,simple,1.2875728874416459,1.2156567313190705,0.02336654043170831,0.023005665125372075,0.20367274771247107,0.00036087530633623256,0.005896023774330224
6,2020-04-28,simple,1.2814877157582616,1.2084516083311445,-0.004726079387610631,-0.005926938750306522,0.20007057122933314,0.0012008593626958912,0.005741479937311417
6,2020-04-29,simple,1.318650476513579,1.2421081940222765,0.02899970112731669,0.02785099995655704,0.20844942000488698,0.001148701170759651,0.005935801568602824
