seed,date,strategy,NYSE:DDS,NASDAQ:CNOB,NYSE:ARW,NYSE:LPX,NASDAQ:QCOM,NYSE:WGO,NASDAQ:SHYF,NASDAQ:CYTK,NYSE:ORCL,NYSE:USPH,NYSE:NEM,NASDAQ:SITM,NYSE:ROL,NASDAQ:PAAS,NYSE:CIVI,NASDAQ:ITRI,NYSE:TMHC,NASDAQ:TXN,NYSE:SRE,NYSE:ALL,NYSE:PAGS,NYSE:SBOW,NASDAQ:NEOG,NASDAQ:RDFN,NYSE:GIL,NYSE:CMP,NYSE:KOS,NYSE:FL,NASDAQ:HLIT,NYSE:TPX,NYSE:YETI,NYSE:MS,NYSE:A,NASDAQ:LSCC,NYSE:SFBS,NYSE:IDA,NASDAQ:EFSC,NYSE:TPH,NASDAQ:PINC,NYSE:RNG,NYSE:BTU,NASDAQ:SLM,NASDAQ:INTU,NASDAQ:TSCO,NYSE:TFC,NYSE:EW,NASDAQ:TRS,NYSE:HP,NASDAQ:WSBC,NYSE:TREX
4,2020-03-18,Simple + Baseline,0.09999994237958058,2.0229000885930436e-08,-7.466407161067427e-09,-9.848164078171022e-09,-1.688380019642411e-08,2.7834439412939084e-08,-1.3802617726771118e-08,-3.6576754300565006e-10,0.09999995750126021,2.3417349705388237e-09,-2.1066380821424112e-09,1.2015423514267006e-08,-1.2656069326117991e-08,7.180411874110873e-09,-1.1938272416113494e-09,1.510045174111183e-08,-7.338227150746534e-10,8.34447005069614e-08,0.0999999500426161,-9.969434712843529e-09,7.690009508818362e-09,-1.4941854285260482e-08,0.09999996204284022,1.755170096500954e-08,5.097788632739563e-09,-1.9261157314618785e-08,4.327997145772354e-09,-3.0533119891663174e-08,-6.944473294132983e-08,2.938650963933786e-08,-1.1996557159615358e-08,-1.689183215197142e-08,1.0858587531510074e-06,-7.476013215548333e-08,0.0999999615268228,-6.318865493216779e-07,2.75772015645321e-08,1.063405598742576e-08,0.09999996212632936,0.09999995758427888,1.7037605473535678e-08,0.09999995434122705,1.647435014046967e-08,0.09999995318218147,1.9635548006366208e-07,0.09999996382591061,-1.3469131566563006e-08,-4.4981835067547856e-09,-1.6906124760971542e-07,-1.8923356726209743e-08
4,2020-03-19,Simple + Baseline,0.09999996825285114,1.3720864203410546e-08,-2.4426479044500627e-09,-3.8063378935315416e-09,-7.949093248695615e-09,1.8105152935169522e-08,0.09999924455183475,1.6404348367673552e-09,-5.628396634904678e-07,3.311216661549121e-09,6.742932665600894e-10,8.888191081073434e-09,-5.4875257378365195e-09,6.055479201618239e-09,1.25400249192009e-09,1.0818143080267056e-08,1.5533192150880992e-09,5.082776236833642e-08,3.9753194809049267e-07,-3.985375637658659e-09,6.373493291296511e-09,-6.815609152251325e-09,0.09999997963383259,1.2196911186460843e-08,4.825620394108143e-09,-9.367075142693162e-09,4.3102990279388495e-09,-1.5974780248729523e-08,-3.869405449057481e-08,0.09999919811027884,-5.098659003976867e-09,-7.983457391507684e-09,6.380071491729421e-07,-4.1837995731678954e-08,0.09999997936059057,-3.682628326716928e-07,1.8079847938482828e-08,8.13489959132234e-09,-4.858140975533041e-07,0.09999997710200162,1.1890951994452533e-08,0.09999997512007727,1.1549149506767045e-08,0.09999997448412937,0.10000569032731851,-2.9358690807893405e-06,-5.986113625579954e-09,-8.269446689584876e-10,0.0999993014276605,-9.104988095956171e-09
4,2020-03-20,Simple + Baseline,0.10000001348721155,8.077615221951684e-09,1.432948181913891e-09,1.962469371308892e-08,1.2451991476506703e-08,1.3648587212845479e-09,0.02639729284481781,-8.770556944344705e-09,0.09999988060097563,1.028457014673541e-08,-2.614220417625269e-08,0.09999999336963715,-1.9226515430056595e-07,1.560177697771062e-08,1.3027015458090896e-08,1.3369261153491491e-08,1.2930694572255605e-08,-1.32134709506358e-08,0.09999990946500602,-2.3785959514716513e-08,1.165451651822596e-08,1.7735240193224223e-08,0.09999994769005521,1.1682813608492627e-08,7.551174749826146e-09,-5.185610544530998e-09,-1.7656985070305183e-08,-1.05403911729633e-08,1.3761771342293775e-08,9.775114693757822e-09,2.0045661475714486e-08,-2.1318486985424504e-08,0.07360426782784003,-2.931120283896688e-08,2.4578316810044807e-08,-1.4233347271655544e-07,-7.804361264895945e-09,9.028223381456283e-09,-2.087188259840907e-07,0.10000001263201655,1.5338046608907355e-08,0.09999993599405933,-1.0166069517483682e-07,0.09999993124816839,0.09999982966850991,-4.807638362253149e-07,1.005441084958534e-08,-2.9969444367760217e-08,3.502222984255979e-08,1.1040351952973511e-08
4,2020-03-23,Simple + Baseline,0.0999999963069434,1.5015683337119544e-09,-6.010785432708026e-09,7.32189784775969e-09,7.638213199777282e-09,-2.2265096488013465e-09,0.10000000200972538,-6.478776243525407e-09,0.09999991364461591,1.1213037375155245e-09,-1.151452051148714e-08,-6.206540431249471e-09,-1.0939115645848693e-07,5.804867473614381e-09,2.4080246949674546e-09,3.93213268921228e-09,1.3791284801065481e-09,-1.1967375133556214e-08,0.09999993865727828,-1.370625720665691e-08,2.2468688239944277e-09,8.497231508534154e-09,0.09999996194925385,3.0126790978360993e-09,3.672544074414717e-09,-1.0395082634794639e-08,0.09999999491383206,-1.4976518095331908e-08,5.912752006905532e-09,0.014291529751005066,7.0205994422286565e-09,-1.9736698588142412e-08,0.08570923395603468,-2.84093488831435e-08,7.545611477751922e-09,-3.3698235869846404e-08,-5.1572017029810705e-09,2.0674159682864322e-10,-8.426559470949103e-08,0.09999999529871181,5.23364470458064e-09,0.09999995463268392,-6.544487185453076e-08,0.09999994972663352,-1.5863234374222964e-08,-1.0668803023680328e-07,6.381793655924486e-09,-7.8842729378449e-09,9.639433221140209e-09,-1.0169206992514115e-09
4,2020-03-24,Simple + Baseline,0.09999999901076637,-4.866819999944423e-10,-8.108883206206912e-11,-1.1960422705283599e-09,-1.2800264863037127e-09,6.574736152240398e-10,0.0999999982225046,1.1110632745334535e-09,0.09999998730065396,-8.305572791973654e-10,-9.721159082725625e-10,1.5171803266455832e-09,-1.3934472645787674e-08,-8.997567509670368e-10,-1.084986065562844e-09,-1.5713740448628235e-09,-9.6767259213419e-10,-2.4875213400940085e-09,0.0999999939049,5.835978633931365e-10,-4.676687919110642e-10,-4.817631951469123e-09,0.09999998836909701,-7.324516104292021e-10,-2.3346296868860247e-10,-8.653396621119067e-10,0.10000000167014336,-1.2688427984477211e-09,-2.117346448398048e-09,0.04421664624387417,-1.0362944326427178e-09,-9.931058266942398e-10,0.055783480381837384,-1.9409312575628224e-09,-1.3347610397767774e-09,-3.547285576065372e-09,-1.1114486379256714e-09,-4.5411382442158985e-10,-1.3198926189199912e-08,0.09999999453652468,-1.543251957103947e-09,0.09999999684778184,-3.517492790565562e-09,0.09999998059539114,-6.403150838042199e-10,-8.9335012282012e-09,-6.037703886221106e-10,4.399058919170482e-10,4.831543085256192e-09,-1.1121591532563987e-09
4,2020-03-25,Simple + Baseline,0.06373274217828587,-7.4059109620837414e-09,-1.4756198559277368e-08,-9.896797058389559e-11,-5.971284892941939e-08,1.1145226773799235e-08,0.09999996074368167,-1.7890872046950355e-08,0.09999992522814805,-1.3816309773563465e-08,-1.640963825882752e-08,-5.073006967695765e-11,-3.271247407393208e-08,-2.2234768033621088e-09,-8.720293611081185e-09,-1.2027996529265873e-08,0.036850338005876886,-9.078610879430218e-08,0.09999998937795854,6.172082345600547e-09,1.1484134560818554e-08,1.5002011917734047e-09,0.09999981806756646,3.2476739297664072e-09,3.0882246086740214e-10,-2.6786726541027388e-08,0.10000001119452663,1.1518309260134954e-08,-6.124540345694443e-08,0.06761263344905556,9.279053777054083e-09,5.744760679287463e-09,0.03180572662401034,-1.7926043950916213e-08,-4.964570680632816e-08,5.1434154829318165e-09,-6.449360268148271e-08,5.830471891597567e-09,-2.8351755431302463e-08,0.099999864022605,-1.3623530110321901e-08,0.09999991445932285,5.504965587968918e-09,0.09999968715498046,-8.271513884353009e-09,-1.2888026369425495e-08,-3.060993740342764e-08,2.5006035782259417e-09,-8.42960555219999e-08,-1.4167031295212722e-08
4,2020-03-26,Simple + Baseline,0.021419280105963567,-4.028769358776305e-07,-4.509222630669217e-07,2.1640989765186663e-08,-1.6197680746864958e-06,2.7484789593582205e-07,0.09999896972041453,-7.571316656892402e-07,0.09999902860480986,-5.217610119578702e-07,-5.918857431809369e-07,5.499039345756068e-08,-3.6598624080520294e-07,-2.2939072612653182e-07,-1.9663617247460696e-07,-4.08779901861076e-07,0.04921218649009432,-2.2041473411462757e-06,0.10000050043836581,8.17134335504887e-09,3.1590829645807625e-07,2.071181249806512e-07,0.09999477540704114,6.439163891522461e-08,-2.371151716259364e-07,-7.137450218124897e-07,0.10000022537316122,3.622491785447912e-07,-1.1801836342289463e-06,0.06760481967989519,3.337658128608739e-07,1.965653669816711e-07,0.061795944699534436,-4.048886235693133e-07,-9.899318351156602e-07,2.08375476636038e-07,-1.6303072154014188e-06,1.7182097575017857e-07,-2.871115929698649e-07,0.0999973211058162,-5.104552260369982e-07,0.09999871897709954,1.4986722829569087e-07,0.09999297128401345,2.8089001869757986e-08,-3.111007901344744e-08,-9.473394940692743e-07,-1.1303338261029318e-07,-1.977850121083304e-06,-3.538091165197735e-07
4,2020-03-27,Simple + Baseline,-2.295816247403896e-08,-4.919433995894474e-08,-8.217184247004288e-08,-4.2483329580430485e-08,-2.4817147101357007e-07,-2.2391485236601343e-08,-2.676573688520089e-08,-7.27919737782468e-08,0.09999983718395433,-5.572319771643754e-08,-1.424288168748068e-07,-1.5625365752078724e-08,-1.2667155552987757e-07,-3.723719733769839e-08,-5.8734901038801786e-08,-4.495864958119204e-08,0.0010274250629149298,-4.084271269048644e-07,0.10000007739808645,-4.770813171133412e-08,-3.425952493566547e-08,-4.636247268474132e-08,0.09999875721693623,-2.8188528779793533e-08,-6.144584236560944e-08,-2.3080983222021934e-07,0.09999999301299445,-2.98371256859084e-08,-1.8035310240673815e-07,0.09999998280672616,-3.2577314522417737e-08,-3.950734934958056e-08,0.0989802550552979,-7.496149336138438e-08,-1.3585668207868685e-07,5.707831980997708e-09,-3.359971462916676e-07,-3.176065217164081e-08,-8.071826924194834e-08,0.09999974276602523,-8.609654018811217e-08,0.09999970121697442,-3.490555403466875e-08,0.09999786319444126,-2.660155495737482e-08,0.0999999531140337,-1.7127033606400612e-07,-2.4507732290999996e-08,-3.438847214080535e-07,-5.961887345345403e-08
4,2020-03-30,Simple + Baseline,0.028149900852611816,-2.8236466433238964e-08,-5.832214416813258e-08,-5.1022533011865806e-08,1.1704890043895108e-08,-5.2128969909857483e-08,4.0144049980681284e-09,0.09999996689682186,0.09999998104667558,-3.6847218864200845e-08,-6.514006031210393e-08,-3.362898926851546e-08,-2.004624924014611e-08,-2.163451950159449e-08,-2.1148443699771264e-08,-7.242592090993903e-09,0.001025578531439829,-1.9505952777238578e-08,0.09999993557255685,-6.635616817200097e-08,-5.419488267119793e-08,-2.1454805804115786e-08,0.09999988092650432,-4.710340343634363e-08,-2.7766537740264978e-08,-1.268727206532704e-08,0.09999994843725553,-6.039360162174304e-08,-7.725239311028511e-09,0.08010213662676902,-6.009011666298927e-08,-8.132419965545619e-08,0.052508077608851504,-6.592346361033052e-08,3.206216704383774e-08,-9.961418073854551e-09,4.2892482822891357e-10,-6.073240839985851e-08,1.8706951187261777e-08,0.10000004894392703,3.3435544914618655e-08,0.09999994134957806,-6.604698328350902e-08,0.09999949662736178,-5.466142896831576e-08,-6.177845686219031e-08,9.743428098122135e-09,-3.848427064194413e-08,0.03821626894337324,-6.200416322283958e-08
4,2020-03-31,Simple + Baseline,2.3839301998236384e-08,2.2967728821944563e-08,3.842429795541176e-08,2.3803768110780062e-08,7.776098839982144e-08,1.5467152450924366e-08,0.1000000271309005,4.968251614653447e-08,0.10000012681095134,2.4652285716177494e-08,7.968106560509553e-08,1.52844473338933e-08,1.43496058304928e-07,1.6947568677879434e-08,1.6543490235585557e-08,1.455053589753232e-08,1.814902100972109e-08,9.987489702714863e-08,0.10000007767189341,6.545930566846534e-08,1.7259101592488252e-08,4.214219091489746e-08,0.10000008740893009,8.794034239135591e-09,4.3708895152791126e-08,8.951663441634723e-08,0.10000001505641619,5.4686058651779144e-08,7.814008259525586e-08,0.04791572191018093,2.4921782996428082e-08,4.842004424617439e-08,2.4692663800949157e-07,0.08571095590823126,7.430124192596529e-08,9.537021443318249e-08,1.1050147961481566e-07,1.5440563036159736e-08,0.028153799883627515,0.1000000644973489,2.840522793147583e-08,0.10000012878592174,4.6607068775177326e-08,0.10000003251633827,4.077137728328071e-08,6.336275567991493e-08,7.401689830153639e-08,1.9470327504940308e-08,0.03821695918836699,3.2747188928453654e-08
