date,seed,strategy,eq_gross,eq_net,rp_gross,rp_net,turnover,tc_paid
2020-03-26,22,AR1 alpha + Basic + One-Step,1.0690339026844775,1.0690339026844775,0.06903390268447762,0.06903390268447762,1.734723475976807e-16,0.0
2020-03-27,22,AR1 alpha + Basic + One-Step,1.0377081134368162,1.0377081134368162,-0.029302895978320545,-0.02930289597832055,1.5599999999999998,1.97975460305234e-18
2020-03-30,22,AR1 alpha + Basic + One-Step,1.054619599922451,1.0391022169909936,0.016296958910367476,0.0013434447857981913,0.9362604827840784,0.014953514124569285
2020-03-31,22,AR1 alpha + Basic + One-Step,1.0333637782349432,1.0097300266712124,-0.02015496553361131,-0.028266892168545867,0.6000016709613823,0.008111926634934558
2020-04-01,22,AR1 alpha + Basic + One-Step,0.9775924015253082,0.9505098859070795,-0.05397070991291783,-0.05864947976179781,0.4000029942801677,0.004678769848879981
2020-04-02,22,AR1 alpha + Basic + One-Step,0.9847986025248797,0.9544070054651774,0.007371375829361891,0.004100030537166792,0.23569679007039354,0.003271345292195099
2020-04-03,22,AR1 alpha + Basic + One-Step,0.9647491739856363,0.9333234961946147,-0.020358912459704566,-0.022090689978000108,0.3999989461286915,0.0017317775182955416
2020-04-06,22,AR1 alpha + Basic + One-Step,1.0170605487984574,0.9813294576373286,0.05422277232610502,0.051435500808075456,0.40000094578189194,0.002787271518029567
2020-04-07,22,AR1 alpha + Basic + One-Step,1.0192171538318977,0.9804120837140047,0.0021204293451240284,-0.0009348276628040222,0.5999943965006845,0.0030552570079280506
2020-04-08,22,AR1 alpha + Basic + One-Step,1.0552980000777612,1.01074253921218,0.035400548460367096,0.03093643581306893,0.25671517879563543,0.004464112647298166
2020-04-09,22,AR1 alpha + Basic + One-Step,1.0731605404081785,1.0259032770512735,0.016926536702524787,0.014999604004903693,0.20000338088184783,0.001926932697621094
2020-04-13,22,AR1 alpha + Basic + One-Step,1.0580171436346313,1.0098908402905098,-0.014111026452563596,-0.015608134917735921,0.2000084474896826,0.0014971084651723252
2020-04-14,22,AR1 alpha + Basic + One-Step,1.0820705559727621,1.0313609348628747,0.022734425886049094,0.02125981711665859,0.11423208686867478,0.0014746087693905036
2020-04-15,22,AR1 alpha + Basic + One-Step,1.0610238283747422,1.0104522315950082,-0.019450420752923338,-0.020272925375679964,0.2772037172981874,0.0008225046227566241
2020-04-16,22,AR1 alpha + Basic + One-Step,1.0654690229153378,1.0126668231882079,0.004189533186455105,0.002191683608540291,0.13473849779026903,0.0019978495779148144
2020-04-17,22,AR1 alpha + Basic + One-Step,1.0967389709775137,1.0414414122424915,0.029348528572529425,0.028414665510312298,0.00426208565506909,0.0009338630622171271
2020-04-20,22,AR1 alpha + Basic + One-Step,1.088962729774897,1.0340262824996007,-0.007090329976772721,-0.007120064226103891,0.22590325155585014,2.973424933117017e-05
2020-04-21,22,AR1 alpha + Basic + One-Step,1.0644000553152633,1.009117743402997,-0.022556028583927034,-0.024088883927003327,0.2676820470725013,0.0015328553430762912
2020-04-22,22,AR1 alpha + Basic + One-Step,1.077661862655604,1.0198611018626969,0.012459420002954366,0.010646288334471714,0.2000070572000673,0.0018131316684826524
2020-04-23,22,AR1 alpha + Basic + One-Step,1.0908329731148003,1.0309831507650693,0.012221932422048857,0.010905454558526522,0.14382061322161893,0.0013164778635223352
2020-04-24,22,AR1 alpha + Basic + One-Step,1.1092716164544443,1.0474654390335758,0.01690326914760717,0.01598696182015715,0.2516627035480584,0.0009163073274500194
2020-04-27,22,AR1 alpha + Basic + One-Step,1.135210496493095,1.070358608765613,0.023383704814839514,0.021855775741067927,0.15192680498888356,0.0015279290737715868
2020-04-28,22,AR1 alpha + Basic + One-Step,1.139982908213842,1.0739220773438456,0.004203988366466036,0.003329228680042347,0.17714698807284543,0.0008747596864236886
2020-04-29,22,AR1 alpha + Basic + One-Step,1.1627523884629773,1.0942969739572146,0.019973527747719846,0.018972416195933452,0.3556481553302141,0.0010011115517863918
2020-04-30,22,AR1 alpha + Basic + One-Step,1.132075529957736,1.0631712804992988,-0.026382967525693468,-0.028443552526110458,0.37550785686042243,0.0020605850004169896
2020-05-01,22,AR1 alpha + Basic + One-Step,1.0924954594748537,1.0236684278691361,-0.03496239379395486,-0.037155680702370804,0.14818354400216502,0.0021932869084159454
2020-05-04,22,AR1 alpha + Basic + One-Step,1.1037943635711915,1.0333977880752354,0.010342289295892456,0.009504405861526776,0.23377552892238132,0.0008378834343656802
2020-05-05,22,AR1 alpha + Basic + One-Step,1.1187875485354835,1.0460752649448706,0.013583313576437585,0.012267760794463806,0.38022507174490777,0.0013155527819737787
2020-05-06,22,AR1 alpha + Basic + One-Step,1.1103949786953078,1.035992800439707,-0.007501486632704987,-0.009638373875224787,0.20010549618018647,0.0021368872425198003
2020-05-07,22,AR1 alpha + Basic + One-Step,1.1205193920587517,1.0443594153904128,0.009117848655385669,0.008075939279843267,0.18594429654317451,0.0010419093755424016
2020-05-08,22,AR1 alpha + Basic + One-Step,1.14256333936844,1.063924372848209,0.019672972610662854,0.01873393122087416,0.23865259190325788,0.000939041389788692
2020-05-11,22,AR1 alpha + Basic + One-Step,1.150423036929159,1.0699863669495255,0.006879003806531542,0.005697767863977235,0.14265395131858644,0.0011812359425543073
2020-05-12,22,AR1 alpha + Basic + One-Step,1.1324847967840395,1.0525771865843652,-0.015592733776439651,-0.01627046932830834,0.24825318056783274,0.0006777355518686916
2020-05-13,22,AR1 alpha + Basic + One-Step,1.097972249127144,1.0192685995590247,-0.030475064879371405,-0.03164479284738022,0.14350475893340048,0.0011697279680088167
2020-05-14,22,AR1 alpha + Basic + One-Step,1.1070683518161648,1.0270079273495167,0.008284455910658881,0.007593020911112551,0.1236627207787674,0.0006914349995463305
