seed,date,strategy,eq_gross,eq_net,rp_gross,rp_net,turnover,trading_cost_paid,cost_coeff
14,2020-03-23,Simple alpha + SampleCov + Basic + One-Step,0.967612804370727,0.967612804370727,-0.03238719562927295,-0.03238719562927295,0.8000004839729765,0.0,0.009082618954518328
14,2020-03-24,Simple alpha + SampleCov + Basic + One-Step,1.0868961405404731,1.079865369569007,0.12327589675430169,0.11600979719494489,0.05905140347981696,0.0072660995593567925,0.012082370341656446
14,2020-03-25,Simple alpha + SampleCov + Basic + One-Step,1.0835601417609886,1.0757804869163103,-0.0030692893783076693,-0.003782770304345398,0.6590440905082484,0.0007134809260377287,0.010768977262614051
14,2020-03-26,Simple alpha + SampleCov + Basic + One-Step,1.1379955885894066,1.1221900402246157,0.05023758694182877,0.043140356116085285,0.18965500637251437,0.0070972308257434835,0.01038933718518245
14,2020-03-27,Simple alpha + SampleCov + Basic + One-Step,1.1001254881202644,1.0826347633525184,-0.03327789742672359,-0.035248287236785567,0.5999861502285114,0.001970389810061978,0.009513353394937333
14,2020-03-30,Simple alpha + SampleCov + Basic + One-Step,1.1029012467305916,1.0791868409912526,0.00252312907963783,-0.0031847511995539597,0.2000024426168024,0.00570788027919179,0.008915063039654038
14,2020-03-31,Simple alpha + SampleCov + Basic + One-Step,1.1021142826896888,1.0764925708806927,-0.0007135398960111464,-0.0024965742800247288,0.1501578582495457,0.0017830343840135826,0.008251116675985395
14,2020-04-01,Simple alpha + SampleCov + Basic + One-Step,1.0237405634362549,0.9986071247025398,-0.07111215278161936,-0.07235112278985244,0.6905240293922197,0.0012389700082330777,0.008554715223597211
14,2020-04-02,Simple alpha + SampleCov + Basic + One-Step,1.014763663046036,0.9839516041646144,-0.008768725896810712,-0.014675962323312022,0.35723019127157113,0.00590723642650131,0.008208739026396827
14,2020-04-03,Simple alpha + SampleCov + Basic + One-Step,1.0061704094072565,0.9727339252286172,-0.008468231521992775,-0.011400640934490924,0.15090510949228045,0.002932409412498149,0.00792108386039531
14,2020-04-06,Simple alpha + SampleCov + Basic + One-Step,1.0689984332621503,1.0323113438264249,0.06244272666685388,0.061247394639603395,2.2043422389691026e-06,0.0011953320272504897,0.008369096065210958
14,2020-04-07,Simple alpha + SampleCov + Basic + One-Step,1.0714291832076375,1.0346586535194755,0.0022738573508189726,0.002273838902467014,0.19999584469264625,1.8448351958534628e-08,0.007893758315735782
14,2020-04-08,Simple alpha + SampleCov + Basic + One-Step,1.0936496714179327,1.0544831185196735,0.020739110487705593,0.019160391625550416,0.32791629975031,0.0015787188621551784,0.007883929155312447
14,2020-04-09,Simple alpha + SampleCov + Basic + One-Step,1.090809652425977,1.0490186859029762,-0.0025968269969611777,-0.005182095873064822,0.3899383880565694,0.0025852688761036444,0.007965956415032368
14,2020-04-13,Simple alpha + SampleCov + Basic + One-Step,1.0952291148868332,1.0500103348318577,0.004051543228488508,0.0009453110246818983,0.2501555930807764,0.0031062322038066096,0.007782930845179567
14,2020-04-14,Simple alpha + SampleCov + Basic + One-Step,1.1067527806010233,1.059013911387927,0.010521694098116575,0.008574750416634013,0.17606242713931308,0.001946943681482563,0.007509764206072225
14,2020-04-15,Simple alpha + SampleCov + Basic + One-Step,1.0836111257538776,1.035470237995286,-0.020909506849920517,-0.02223169416328553,0.3300147427791045,0.0013221873133650124,0.00744179860634921
14,2020-04-16,Simple alpha + SampleCov + Basic + One-Step,1.0975320614532293,1.0462297025991794,0.012846800266716422,0.010390897013828188,0.2872879008955397,0.0024559032528882327,0.0072494067693395885
14,2020-04-17,Simple alpha + SampleCov + Basic + One-Step,1.110518161241499,1.0564298402599634,0.011832091511818554,0.009749424658317067,0.3868103679146496,0.002082666853501486,0.007298772278524183
14,2020-04-20,Simple alpha + SampleCov + Basic + One-Step,1.1003173092031533,1.0437432698075275,-0.009185668811522803,-0.012008909601903988,0.3213071588951115,0.002823240790381185,0.00714351765000186
14,2020-04-21,Simple alpha + SampleCov + Basic + One-Step,1.086212684576493,1.027968184473106,-0.012818688308079838,-0.015113951668719018,0.46571991319480943,0.0022952633606391814,0.006930473317594764
14,2020-04-22,Simple alpha + SampleCov + Basic + One-Step,1.1080285687341933,1.0452963340470507,0.020084357757436992,0.016856698325567816,0.14089921310997722,0.0032276594318691766,0.006609412005887887
14,2020-04-23,Simple alpha + SampleCov + Basic + One-Step,1.1102668580075468,1.0464344564967747,0.002020064587242948,0.0010888036364937086,0.215558782138313,0.0009312609507492394,0.005840122916277959
14,2020-04-24,Simple alpha + SampleCov + Basic + One-Step,1.1373651990299527,1.0706574911250764,0.02440705207668354,0.02314816229331261,0.13032871717186767,0.0012588897833709298,0.005636819798008967
14,2020-04-27,Simple alpha + SampleCov + Basic + One-Step,1.173829214085525,1.1041963046991146,0.03206007629446731,0.03132543680126382,0.11387567059849989,0.0007346394932034949,0.005525148351494478
14,2020-04-28,Simple alpha + SampleCov + Basic + One-Step,1.1532563206706838,1.0841490809626215,-0.017526308911018695,-0.018155488884701323,0.17276607856697979,0.0006291799736826299,0.005448772367416915
14,2020-04-29,Simple alpha + SampleCov + Basic + One-Step,1.202196291974778,1.1291358164380005,0.042436334773897154,0.041494971738974415,0.24844961445746566,0.0009413630349227391,0.005606005156971077
14,2020-04-30,Simple alpha + SampleCov + Basic + One-Step,1.2216285109707503,1.1458144194295583,0.016163931901713086,0.014771122081817058,0.13104690407142078,0.0013928098198960283,0.005666037758432065
14,2020-05-01,Simple alpha + SampleCov + Basic + One-Step,1.1774579545700148,1.1035342951240685,-0.036157109959422847,-0.03689962666601714,0.4325747241607169,0.0007425167065942948,0.005445694154799595
14,2020-05-04,Simple alpha + SampleCov + Basic + One-Step,1.1923168433964646,1.1148607447130965,0.012619464473256696,0.010263794826380634,0.22088778279663324,0.002355669646876063,0.005316423651884775
14,2020-05-05,Simple alpha + SampleCov + Basic + One-Step,1.2059167510562878,1.1262679481111586,0.01140628662183619,0.010231953588963782,0.11720000054752724,0.001174333032872408,0.005214770062502502
14,2020-05-06,Simple alpha + SampleCov + Basic + One-Step,1.1979091745077488,1.1181009163542457,-0.006640239918323508,-0.00725141097250403,0.12236990961239887,0.0006111710541805219,0.004740543098191524
14,2020-05-07,Simple alpha + SampleCov + Basic + One-Step,1.2314128132677218,1.1487238332895406,0.02796842988846846,0.027388330058029084,0.14302049609730577,0.0005800998304393781,0.004783822823939108
14,2020-05-08,Simple alpha + SampleCov + Basic + One-Step,1.2296960563368924,1.1463364167555057,-0.0013941359975570377,-0.0020783207110784234,0.06698466837470327,0.0006841847135213854,0.004690385894037178
