strategy,final_equity_gross,final_equity_net,sharpe_gross,sharpe_net,max_dd_gross,max_dd_net,avg_turnover,avg_max_weight
AR1 + Advanced,2.9254594885252025,2.851755411669312,1.1239953448811864,1.1000480922837477,-0.2769763037077132,-0.28130534968197596,0.04972501241385632,0.09983865804186501
AR1 + Baseline,2.898443440990998,2.8259650253352957,1.0984369745051763,1.0750306020473581,-0.2857065511316572,-0.2904328578549743,0.0493324485560149,0.09984318745330598
Simple + Advanced,2.3007245541685446,2.164084409665808,0.8958830687747795,0.8374754736298601,-0.3535545270265654,-0.3659988184662673,0.11917533730092987,0.09999608324969754
Simple + Baseline,2.3119590546891255,2.1741871117915252,0.8928786282026269,0.835048403720346,-0.360799200702896,-0.3737399323500441,0.11948924163948843,0.10000006264711356
