date,strategy,eq_gross,eq_net,rp_gross,rp_net,turnover
2020-03-19,AR1 + Advanced,1.0616345623578132,1.0616345623578127,0.06163456235781315,0.061634562357812846,6.230120586092625e-13
2020-03-19,AR1 + Baseline,1.0616345608861513,1.061634560886145,0.061634560886151164,0.06163456088614495,1.2438158142336064e-11
2020-03-19,Simple + Advanced,1.0205966230369434,1.0201126252487693,0.02059662303694336,0.02011262524876946,0.9679955763478033
2020-03-19,Simple + Baseline,1.02059659802753,1.0201125979866505,0.020596598027529837,0.02011259798665054,0.968000081758586
2020-03-20,AR1 + Advanced,1.0242057350805789,1.023898681307955,-0.035247278777517606,-0.035536506442097306,0.5784553291594001
2020-03-20,AR1 + Baseline,1.0242057345553308,1.0236495638982732,-0.0352472779353165,-0.03577096577770087,1.047375684768741
2020-03-20,Simple + Advanced,0.9741203431222216,0.9731830365810348,-0.045566936846205615,-0.046032599613179626,0.931325533948032
2020-03-20,Simple + Baseline,0.9741204674279027,0.9731663791833555,-0.04556679314452547,-0.04604910636538911,0.9646264417272856
2020-03-23,AR1 + Advanced,1.0010655917255928,1.0001865186690133,-0.022574303923873242,-0.02313989296386465,1.1311780799828173
2020-03-23,AR1 + Baseline,0.9994880259289058,0.9984923613757375,-0.024150639305588903,-0.02459306608020344,0.8848535492290727
2020-03-23,Simple + Advanced,0.95219847535347,0.9510081357778923,-0.022460705305469782,-0.022742663424140254,0.5639162373409494
2020-03-23,Simple + Baseline,0.950734673847371,0.9495256497004445,-0.023919495116859153,-0.024204837855535292,0.5706854773522753
2020-03-24,AR1 + Advanced,1.0988669948220215,1.0975473374640172,0.09774081245566318,0.09738571100922747,0.7102028928714236
2020-03-24,AR1 + Baseline,1.0894619782650687,1.088012823349971,0.09006538230724033,0.08970055361570566,0.7296573830693373
2020-03-24,Simple + Advanced,1.0344273843778502,1.033046146571081,0.08617509657689233,0.08608230762586352,0.18557790205760877
2020-03-24,Simple + Baseline,1.0322020064174162,1.0308217810372127,0.0855385049271879,0.08546742571344651,0.14215842748275076
2020-03-25,AR1 + Advanced,1.1175730168425164,1.1160805760754515,0.01702964314426698,0.016892410985366316,0.2744643178013293
2020-03-25,AR1 + Baseline,1.1089551039932588,1.1073536917159863,0.01785825732637234,0.01774204715637734,0.2324203399900042
2020-03-25,Simple + Advanced,1.039907584058446,1.0383217485220735,0.004999598294868706,0.004807869880799825,0.38345682813776305
2020-03-25,Simple + Baseline,1.0370453507010797,1.0354972390404173,0.0043990014360085275,0.004241694596770687,0.31461367847567967
