seed,strategy,final_equity_gross,final_equity_net,sharpe_gross,sharpe_net,max_dd_gross,max_dd_net,avg_turnover,avg_max_weight,has_nan_weights
1,Simple + Baseline,2.426811774521823,2.2796395261861293,0.9879993612758254,0.9268357541228657,-0.4258782626233625,-0.43826350099751177,0.1216295790802181,0.10000005878113721,False
1,AR1 + Baseline,3.311774520580716,3.2367770975191443,1.2726802725770747,1.2508569192843453,-0.27378643069934705,-0.2757116265528038,0.04467370117031307,0.09984326147750731,False
1,Simple + Advanced,2.3576933021791358,2.2146176309778527,0.968440010825518,0.9065355194427769,-0.417832081572015,-0.4301086174504464,0.12172632230581762,0.09999590455051975,False
1,AR1 + Advanced,3.3304400828755827,3.253242252797571,1.294391158862492,1.2716834920191586,-0.27403984534839554,-0.2759764125321773,0.04573434616882828,0.09983902945724224,False
2,Simple + Baseline,2.1749531431871363,2.040239241947256,0.8964401192581666,0.8325830025826093,-0.36256561062886017,-0.37388034070125364,0.12416986272288935,0.09999992754260864,False
2,AR1 + Baseline,2.8496373781047333,2.7789413153314024,1.1213409896619828,1.0975235281974027,-0.28413568970534964,-0.2904849474467679,0.04884795590566793,0.09984295838136074,False
2,Simple + Advanced,2.2315800791902674,2.0947918226417164,0.9225240443367031,0.8593200602678477,-0.3479378198962231,-0.35751209854220545,0.1228627311068467,0.09999618174988162,False
2,AR1 + Advanced,2.767140684210961,2.698909977784839,1.1089768114584513,1.0848572173763396,-0.27828388208028443,-0.2845020069232638,0.0485381810361587,0.09983780154052181,False
3,Simple + Baseline,2.7832277497623465,2.623725595060459,1.0190412154007018,0.9682699237670552,-0.34904267032052794,-0.36282426990154404,0.11481738555240621,0.10000013580855965,False
3,AR1 + Baseline,3.4789420591768274,3.391662595900746,1.2098444534917279,1.1881105924632336,-0.22696355817192815,-0.2304623053288879,0.0495606134346952,0.09984359232282196,False
3,Simple + Advanced,2.83684842209595,2.6756131632522355,1.046870706242655,0.9957336519922412,-0.33169010017734435,-0.3461416596688013,0.11382510456426478,0.09999657640390669,False
3,AR1 + Advanced,3.539683722456556,3.450453804810341,1.2526805966538108,1.230269522182413,-0.20628822142770842,-0.2100370130343432,0.049833631348982256,0.09983911847213935,False
