seed,strategy,has_nan_weights,avg_max_weight,avg_turnover,max_turnover
4,Simple alpha + SampleCov + Basic + One-Step,False,0.09999799183420831,0.21044239572173423,0.8000003278823397
4,Simple alpha + SampleCov + Basic + Two-Step,False,0.0999727537353095,0.21405088323836308,0.7959580416073431
4,Simple alpha + SampleCov + Enhanced + One-Step,False,0.0998564012932034,0.04993377405960458,0.05025842899403635
4,Simple alpha + SampleCov + Enhanced + Two-Step,False,0.07321311179231481,0.050042174619039044,0.05087831510896408
4,Simple alpha + EWMA + Basic + One-Step,False,0.09999799529287598,0.20865807886348164,1.0000000091738241
4,Simple alpha + EWMA + Basic + Two-Step,False,0.09997347595076517,0.21201053612188878,0.9945233117484099
4,Simple alpha + EWMA + Enhanced + One-Step,False,0.09985657126662088,0.04988846955850897,0.0503380754394466
4,Simple alpha + EWMA + Enhanced + Two-Step,False,0.06726115981531362,0.04998406706660428,0.05059154114816666
4,AR1 alpha + SampleCov + Basic + One-Step,False,0.09984090864279133,0.24215641813210137,1.5599999999999998
4,AR1 alpha + SampleCov + Basic + Two-Step,False,0.09980927691521554,0.24778779873612528,1.542648457120183
4,AR1 alpha + SampleCov + Enhanced + One-Step,False,0.0995691330967424,0.04980432218409957,0.05033858897095324
4,AR1 alpha + SampleCov + Enhanced + Two-Step,False,0.0798809225460798,0.049992995448480904,0.050753210987270016
4,AR1 alpha + EWMA + Basic + One-Step,False,0.09999770201652912,0.27387478658271086,1.405614091084657
4,AR1 alpha + EWMA + Basic + Two-Step,False,0.09996714906076669,0.2792410701572909,1.3871142856367111
4,AR1 alpha + EWMA + Enhanced + One-Step,False,0.0995736781611558,0.04981871671914887,0.05027038551174736
4,AR1 alpha + EWMA + Enhanced + Two-Step,False,0.06464709300952015,0.049986245349336114,0.05045152183327474
