seed,date,strategy,NASDAQ:MGNI,NYSE:IBP,NASDAQ:PLMR,NYSE:LEN,NASDAQ:NBTB,NYSE:EGY,NASDAQ:SAGE,NYSE:PLOW,NYSE:MFC,NASDAQ:CRUS,NASDAQ:HLIT,NASDAQ:CTMX,NASDAQ:MTRX,NYSE:BBW,NASDAQ:BBSI,NASDAQ:MNRO,NASDAQ:CHTR,NYSE:SBOW,NYSE:MPC,NYSE:SD,NASDAQ:OPCH,NASDAQ:ACIW,NYSE:FIX,NYSE:MTDR,NYSE:MYE,NYSE:FDP,NASDAQ:LRCX,NYSE:PKG,NYSE:PAG,NASDAQ:MBWM,NYSE:TDG,NYSE:AN,NYSE:AG,NASDAQ:NMIH,NASDAQ:RPD,NASDAQ:MDB,NYSE:ELAN,NYSE:SMP,NASDAQ:TXN,NASDAQ:PFG,NASDAQ:SONO,NASDAQ:FCFS,NASDAQ:EEFT,NASDAQ:TER,NASDAQ:ENPH,NYSE:GKOS,NYSE:DOOR,NASDAQ:SPSC,NYSE:CWK,NASDAQ:VCYT
20,2020-03-18,Simple + Baseline,-2.7393164505221485e-08,-3.114482372763979e-08,-1.422191026167506e-07,-1.2001326968502284e-08,0.10000000306309591,-4.495271842964276e-08,0.10000000076167319,-3.4001373382569145e-08,2.8156711928082766e-07,-5.643459294859631e-08,-1.6112256628295473e-06,0.10000000206010572,-6.499471210814796e-08,2.097519645635708e-06,-4.215815622277219e-08,-2.4751777223744852e-08,0.10000000052843964,-1.6194800459963956e-07,-3.1627055367191506e-08,-2.4757692510438094e-07,-4.36821072231438e-08,-3.034598073807948e-08,4.115603130820558e-07,-2.9419061150531757e-08,-6.739985436385078e-08,0.10000002042689964,-2.8238924043721668e-08,0.10000000058362468,-3.283187573894304e-08,-2.26497346306875e-08,-3.868345168772953e-08,-3.2245000988776316e-08,-2.6376320898288956e-08,-4.1259844600069e-08,7.280521895144307e-07,-2.8749381240144105e-07,-3.00337463391243e-08,0.09999999700443628,0.09999999601793454,0.09999999717303153,0.0999999969988294,-2.8102193496239752e-08,-2.784825224881554e-08,-2.7787099430923497e-08,-3.253816782385656e-08,-2.658440618375596e-08,-3.795740501489726e-08,-3.085343361385869e-08,-5.464500021551529e-08,-2.389912617500852e-08
20,2020-03-19,Simple + Baseline,5.0374274620149143e-08,0.09999914658108557,-1.7164574609726822e-08,5.8998185109314465e-08,0.1000000689400503,3.982013568625466e-08,1.6833356675633198e-06,4.5732131758831275e-08,2.314936756364501e-07,0.09999912100700045,-8.771982690525362e-07,0.10000006875228322,2.7328586411878e-08,1.2953707853453664e-06,4.1988372079251756e-08,5.144073182056537e-08,4.563010869347912e-06,-2.8592062303513526e-08,4.6982937385019535e-08,-7.921304522303195e-08,4.007204010495718e-08,4.8584216032664505e-08,3.0717222886285076e-07,0.09999907799863031,2.673671826105003e-08,0.10000007953133833,4.914113850724393e-08,-9.86385401608072e-07,4.6700039044995784e-08,5.294611944192537e-08,0.09999914304135185,4.758955635524512e-08,5.0532251614419697e-08,4.0717486349493956e-08,4.928020641481678e-07,0.09999910974435959,4.828604574434991e-08,-7.979590160367245e-07,-9.995259938433254e-07,-9.808871761003944e-07,0.10000006568503007,4.9525212435595855e-08,5.0154329932347756e-08,4.9776911861525785e-08,4.701185853989987e-08,4.972257773913287e-08,4.3329867055165144e-08,4.8304015320963086e-08,3.4430879564736245e-08,0.09999912525482964
20,2020-03-20,Simple + Baseline,2.0068964285832698e-09,3.162824265773069e-09,0.10000002311261529,1.5508581962369912e-08,0.0687128748415265,1.4435012465656548e-08,0.04713338142690929,1.8881077054752266e-08,2.535550266248592e-08,3.2161499637504126e-09,-9.243646485848122e-08,0.10000001783217312,1.509074411702731e-09,0.10000001615213047,7.245672834213141e-10,6.02674736481964e-09,0.10000013332242186,-3.7461672915306265e-10,8.312390066246068e-09,1.3079869669445697e-07,5.3568244385561604e-09,2.920978537761282e-09,2.0641012931321568e-07,0.08415266554737245,6.213026091832943e-10,0.10000001628156768,1.828958918012109e-08,0.10000066232148289,5.2563660210765174e-09,4.865299258137105e-09,1.870979758663623e-09,4.611483526039769e-09,8.889325294791438e-09,3.7033213792232802e-09,0.1000000291196505,-2.0002079595564593e-08,9.71838217480282e-09,-8.028828978973877e-08,-1.2323189449229456e-07,-9.075543285130598e-08,0.10000001490217812,5.09074485655253e-09,6.244893813523625e-09,2.5472877175686935e-08,6.02352090318952e-09,1.075809091248653e-08,6.699308366088409e-09,5.503959028365687e-09,1.5280269774239207e-09,3.073178712654028e-09
20,2020-03-23,Simple + Baseline,-4.7988301812271e-09,-1.856758552267896e-09,0.09999999662801896,-1.5069790181382231e-09,1.7002661619064645e-08,-9.58010442298767e-10,0.1000000200969244,-3.4021385733759706e-09,-4.278670842176557e-09,-4.062217327227402e-09,-2.4801835588791097e-08,0.09999999185069176,-5.156299856967394e-10,-2.5175278403042705e-09,-1.5571566152008514e-09,-6.927355233042082e-09,0.10000001990483587,-7.192835821297088e-09,9.526553592291516e-11,2.1286203598517863e-08,-1.1168026467524946e-09,-3.5695960976216727e-09,4.4679577124654664e-08,0.0999999977739118,-5.056154943867191e-10,0.09999998963391347,-4.226756465554329e-09,1.3145171584991995e-08,-3.639601226616892e-09,-5.7068966487183155e-09,-1.4300610197824806e-09,-2.5250413349026334e-09,-5.187266633750997e-09,-1.0271781785945107e-09,0.09999999723012847,0.09999999626612369,-3.808556515371464e-09,5.272783774547996e-08,0.10000001510449767,-3.5849761485216345e-08,0.09999999354884025,-4.539383664131872e-09,-2.768088838183472e-09,-7.4419862584738304e-09,-3.4919680439869368e-09,-7.0847914249473114e-09,-2.964204020433782e-09,-2.938725858905993e-09,-2.963262875291728e-10,-2.4815327660771335e-09
20,2020-03-24,Simple + Baseline,-5.885849358542563e-07,-2.993040591677788e-06,0.09999300688724677,-2.91873415426134e-06,3.5703819444824995e-06,-4.339246289445923e-07,0.10000032483047121,-2.710726912906908e-06,-1.8180011125194764e-06,-2.6144000512285517e-06,-6.138885830396453e-07,0.09999681844296898,-7.964928735010219e-07,-1.6381440066940912e-06,-9.772992697637107e-07,2.1311630993277574e-06,0.09999978242376396,3.7845955792327946e-06,-3.241542302990806e-06,1.5036448823318678e-06,-3.273077924355677e-06,-7.354762480270488e-07,-1.4078353950021674e-06,0.09999595343580198,-7.709428429062339e-07,0.10000755068298028,-1.523863035269929e-06,5.496275204279923e-06,-1.4846228931847174e-06,1.5281587462933217e-06,-2.1787249838667892e-06,-3.478411340925494e-06,-2.43026989315151e-06,1.7889315053659606e-06,0.09999134316873116,0.09999523899716499,-2.776010501863079e-06,6.574025811386628e-05,0.10000021939939678,-9.620923825567907e-07,0.09999254694956192,-1.5367224225568262e-06,-3.426306470294609e-06,-1.019101273290287e-06,-2.531997371751833e-06,2.022242425801419e-06,-2.0291832695110977e-06,-3.520454227144374e-06,-1.549167473837267e-06,-2.379848877936778e-06
20,2020-03-25,Simple + Baseline,1.0877030712656842e-07,-3.93313462845714e-08,0.0999995706974344,-3.1003913964791847e-07,1.0210312999768507e-06,-1.4655357651127645e-07,0.08776306715800675,1.517374692248246e-08,-2.2154575816889637e-07,1.9970914046402978e-07,4.4176730445033653e-07,0.09999999475128392,1.1494610593294189e-07,2.7047998227525507e-07,1.899692632652965e-07,3.610195579100513e-07,0.10000055228839988,1.638879177499712e-07,0.012231487997928742,0.09999978734439348,9.54752418981011e-08,1.3353356384833922e-07,-2.1923484595189453e-07,0.10000013826579797,1.343474567287133e-07,0.10000177721123832,-9.887061776248626e-08,1.0200973514076602e-06,-1.7954750905366248e-07,2.1296152438779854e-07,1.3423892495050332e-07,9.916773931303537e-08,-2.7585359177424005e-08,-2.226453015604953e-07,0.09999895586606121,0.10000031669725196,-1.6195058511658503e-07,7.067107840400668e-07,1.1381181348176859e-06,-3.2979714502441797e-07,0.09999981842094141,5.974161895828823e-08,-7.402411484150615e-08,-2.3845178380086583e-08,-6.183354229863165e-08,-1.526797265172945e-08,-8.797080422280133e-08,1.2022026422147885e-07,8.716810937517813e-08,-8.000790089935771e-08
20,2020-03-26,Simple + Baseline,-5.95126762135386e-08,1.016706511402617e-06,0.09999737940966356,-4.45826609956251e-07,-7.722961579996641e-06,-1.3170246336164212e-06,-8.097674081734223e-06,2.991239255549097e-07,-1.1595862890621752e-06,-5.932370039671606e-07,0.09999511653502102,0.09999861854864861,1.5770042947645385e-06,-9.878570466118159e-07,1.126980768685739e-06,-1.5636357944632546e-06,0.09998998237520293,-1.9090643487277672e-06,0.04058984843765541,0.09999977883800502,1.063183698070138e-06,7.660666526636759e-07,-4.358676934627166e-06,0.10000087727335479,1.0427606595528331e-06,0.09998773614857458,-1.4535610787025198e-06,-8.086974491388859e-06,5.636365918764141e-07,-1.1459188500604912e-06,9.45883591396042e-07,1.4522298821965098e-06,-2.3527621260413293e-07,-5.038984841250589e-07,0.0999927685708064,0.05950356586174407,-4.954426421622302e-07,-1.0212560567804999e-05,-7.812254359601824e-06,-2.521272731622421e-06,0.09999735651159203,-7.296731328191341e-07,5.04761581304872e-07,-2.663089066922107e-06,5.341031958057759e-07,-2.261064359436703e-06,5.132733291986042e-07,7.303362525401965e-07,1.198933886283685e-06,2.0265465181501835e-08
20,2020-03-27,Simple + Baseline,-6.922532690271376e-07,-5.782870534043475e-07,0.09999721211968957,-4.5380502809117005e-07,-2.2511608721337788e-06,-9.750561121152746e-07,0.09999585333554956,-1.2610677034201715e-06,-2.6191245558949343e-07,-8.170381216020856e-07,-2.1483625204574813e-06,0.09999943828313214,-2.0234836065580802e-07,-3.382871844286125e-07,-3.944292071175466e-07,1.056744713395786e-06,0.09999509212441954,-3.8600890494698754e-07,0.09999877268138742,0.01821651912252367,-4.3516557331255667e-07,-1.157281401168489e-07,-4.884481696794183e-07,0.06382807994870578,-2.448242870002874e-07,0.018010063178252527,-3.3576945426603613e-07,-3.972411720627995e-06,-3.438931491482797e-07,2.6525503188330317e-07,-3.452723654305801e-07,-2.5065417748286256e-07,-1.637230339537219e-08,-2.548958290682552e-07,0.09999566140577745,0.09999801059195186,-2.1480420778446736e-06,0.09999289119929007,-2.445702074641278e-06,-7.025342084784164e-07,0.09999831841628462,-1.5439020168416324e-07,-1.3189140477963628e-06,-1.0283906900346859e-06,2.942573147925232e-07,-2.0193550382468413e-07,7.079951964533933e-07,-1.7458122148970751e-06,-2.38424986442735e-07,-6.636489070138723e-07
20,2020-03-30,Simple + Baseline,-8.519902548574604e-08,-5.338930199914772e-08,0.0999996463447611,-3.766578443270688e-08,-3.5305793645514573e-07,-8.119195653323187e-08,0.06412628895308799,-1.512843788185131e-07,-3.0926742525070384e-08,-9.135198719370209e-08,-3.0593148948936353e-07,0.09999997209592834,-4.3134595447573184e-08,-7.03147717446206e-08,-4.29366766281359e-08,7.4984544537983e-08,0.09999895891087889,-5.6146914853522694e-08,0.09999992918047355,-7.2140146451393e-10,-5.46732172153507e-08,-4.8192669778475494e-08,-5.729640470347638e-08,0.041287468195208774,-2.8431435861087227e-08,0.06186597747446554,-4.414551200897165e-08,-6.490368210787639e-07,-4.815427015890821e-08,-1.1450657516729266e-08,-3.789236476579635e-08,-5.607680643994732e-08,-2.5623887458064597e-08,-3.4466907804001424e-08,0.09999914876803528,0.09999971565920654,-2.563270202300138e-07,0.09999783379252399,-4.5753646545037557e-07,-5.37469260869424e-08,0.09999973955855339,-5.2061513837964765e-08,-1.4785403055527774e-07,-1.3954803341383337e-07,-1.3429999255070542e-08,-2.7023429093360565e-08,-2.58941819748354e-09,0.03272897680764385,-3.2095981183757097e-08,-5.037296836575887e-08
20,2020-03-31,Simple + Baseline,1.0000965925977209e-07,3.693634711891168e-07,0.10000193017672111,1.506941394386419e-07,4.6199212497642824e-07,-3.5960677437137786e-07,0.022592583056557772,1.189774745324013e-06,6.163763410853712e-07,1.0258654319193976e-06,0.0060454773972136965,0.10000047248813511,4.997240801090741e-07,3.8538762869279673e-07,6.276519721561806e-07,4.913906021430594e-07,0.1000012769142604,2.539821807004602e-07,0.10000105044263895,0.008969805532963886,7.630998167933604e-07,8.991631226913766e-07,3.4556264589832015e-07,0.10000037505735763,2.9878843831132123e-07,0.024091034459750266,9.183011519605949e-08,8.699513911630604e-07,5.465409903804585e-07,-1.2877442170223447e-08,3.353296728692857e-07,7.494298807024001e-07,-1.1767367251290137e-07,-6.192412620929016e-07,0.1000016368525212,0.1000025662600761,1.2783913642648142e-06,0.10000270132750272,5.693869666153812e-07,-1.0991043458945937e-07,0.1000018630773597,3.1869728757408084e-07,8.933993439128889e-07,2.84204237457998e-07,1.5208878333222555e-07,-3.36140324935369e-07,1.4045368046042707e-07,0.03827286662022433,5.108196669041564e-07,6.764214412061089e-07
