seed,strategy,final_equity_gross,final_equity_net,cum_return_gross,cum_return_net,sharpe_gross,sharpe_net,max_drawdown_gross,max_drawdown_net,avg_turnover,max_turnover,avg_max_weight,avg_cost_coeff,avg_realised_tc,has_nan_weights
1,Simple alpha + Enhanced + Two-Step,2.897542641930948,2.617350579193549,1.897542641930948,1.6173505791935492,1.244932210653922,1.1373231265182222,-0.32395637662034427,-0.33491306529923803,0.05003946740898798,0.05053344351785743,0.07429437221185854,0.0019999999999999996,9.96660393724208e-05,False
1,AR1 alpha + Enhanced + Two-Step,2.7480248280313986,2.483623122965416,1.7480248280313986,1.4836231229654162,1.202647636091359,1.0941113591691907,-0.2580630220137513,-0.2680620799075647,0.04999400687003533,0.050570060825048446,0.07875392269902058,0.0019999999999999996,9.915657168354435e-05,False
1,AR1 alpha + Enhanced + One-Step,2.834141194749935,2.562138649685393,1.834141194749935,1.562138649685393,1.1828503725115609,1.080361418324741,-0.26816488818634143,-0.2784646221469518,0.049870264467736465,0.05023598264020565,0.09972514403326092,0.0019999999999999996,9.890968287840463e-05,False
1,Simple alpha + Enhanced + One-Step,2.6844828250642894,2.426487904217064,1.6844828250642894,1.4264879042170642,1.1096860354717863,1.0089984087306358,-0.33129369022849187,-0.350344112866414,0.04978584947912922,0.050285387871213616,0.09972552070655342,0.0019999999999999996,9.901234315364091e-05,False
1,AR1 alpha + Basic + One-Step,2.881503849612925,1.7829975949770132,1.8815038496129248,0.7829975949770132,1.1820952234832554,0.7015666094597118,-0.2359146013577843,-0.30500498743992244,0.22573949259941933,1.5236355270075315,0.09984107377866482,0.0019999999999999996,0.0004699111188633794,False
1,AR1 alpha + Basic + Two-Step,2.8812753999358494,1.759563377768511,1.8812753999358494,0.7595633777685109,1.1819608908867867,0.688377133496262,-0.2356735652334273,-0.3103533628024109,0.23213356761079576,1.547302548507405,0.09981712357284002,0.0019999999999999996,0.00048282433860554955,False
1,Simple alpha + Basic + One-Step,2.200108540877634,1.432309302115008,1.200108540877634,0.43230930211500795,0.9026576589900824,0.4793583004222837,-0.4036209518753735,-0.49212678699136525,0.20544405991197548,1.2000146663934887,0.09999757039946898,0.0019999999999999996,0.0004198060077400951,False
1,Simple alpha + Basic + Two-Step,2.204836910234919,1.423783775361676,1.2048369102349188,0.423783775361676,0.9049196848094155,0.4735447865759175,-0.40282388420402016,-0.49398614370814553,0.2094756082688968,1.1913428709998064,0.0999718654445481,0.0019999999999999996,0.0004277677649112243,False
2,AR1 alpha + Enhanced + Two-Step,2.5116517904228846,2.2692902258702197,1.5116517904228846,1.2692902258702197,1.060246767863959,0.9568402542843801,-0.22938999989752917,-0.2637407333696459,0.04999286506720528,0.05081243504120381,0.07773931253021717,0.002,9.921988163433964e-05,False
2,AR1 alpha + Enhanced + One-Step,2.533763386639241,2.289898167915894,1.533763386639241,1.289898167915894,1.0375098967841838,0.9383242453865687,-0.27474808212520296,-0.29582710520320077,0.049803234100372566,0.05021299068042449,0.099684057158883,0.002,9.89438880134437e-05,False
2,Simple alpha + Enhanced + Two-Step,2.1843909986980226,1.972601308753832,1.1843909986980226,0.9726013087538321,0.931968106998923,0.8258169172338118,-0.3025396394730492,-0.31977683307691085,0.050039021476498205,0.05070482517321912,0.0713025763062697,0.002,9.968519332247144e-05,False
2,Simple alpha + Enhanced + One-Step,2.1589537910784187,1.9499305988995839,1.1589537910784187,0.9499305988995839,0.8854358035415784,0.7847800402764803,-0.34991019547417657,-0.3659574396610086,0.049892033586570475,0.0504285120609901,0.09965355262242212,0.002,9.951659822119207e-05,False
2,AR1 alpha + Basic + One-Step,2.421921944862398,1.484388500977175,1.4219219448623979,0.4843885009771749,0.983391811776114,0.5092705311576131,-0.23858753788605813,-0.3410237611157736,0.22497763389790298,1.52,0.09984176080424122,0.002,0.00047821765157440453,False
2,AR1 alpha + Basic + Two-Step,2.428825200314872,1.4676842999958828,1.428825200314872,0.4676842999958828,0.9863452261276433,0.49838275846402036,-0.23767834401500687,-0.3447212272997394,0.23144992177889606,1.5474231563708991,0.09981468971103358,0.002,0.0004920532984119359,False
2,Simple alpha + Basic + One-Step,1.8260100834335649,1.1560392564004314,0.8260100834335649,0.15603925640043137,0.7251412232823986,0.26821259691643345,-0.3762985902057455,-0.4781993087358909,0.20979751904871896,1.0873147020667564,0.09999781515877182,0.002,0.00044610444869211255,False
2,Simple alpha + Basic + Two-Step,1.82181865324414,1.1429999757196878,0.82181865324414,0.1429999757196878,0.722953636270403,0.2568957055407956,-0.3769167631452026,-0.4808836727887885,0.21377665039618238,1.0795649717206535,0.09997382742335645,0.002,0.00045494326153400016,False
3,AR1 alpha + Enhanced + One-Step,3.939433191221257,3.5614545660397297,2.939433191221257,2.5614545660397297,1.2859138855738965,1.2019965441210816,-0.22432080097020168,-0.24562727911647986,0.049774643534551834,0.050278717983226764,0.09975411785370941,0.001999999999999999,9.890227888708592e-05,False
3,AR1 alpha + Enhanced + Two-Step,3.210206025701569,2.9008146656275065,2.210206025701569,1.9008146656275065,1.247058016267849,1.1500484104428403,-0.2011629831705849,-0.2240949320913681,0.04999532838117888,0.05059533491708185,0.08030726172008311,0.001999999999999999,9.933444496070678e-05,False
3,Simple alpha + Enhanced + Two-Step,2.569998334590375,2.3211022235880323,1.569998334590375,1.3211022235880323,1.0263703250437473,0.9296559131969638,-0.29657620057419665,-0.3278604015398765,0.050040217342999856,0.05073899470545072,0.07789098545236814,0.001999999999999999,9.978679078197638e-05,False
3,AR1 alpha + Basic + One-Step,3.9839339536990255,2.5004298750663114,2.9839339536990255,1.5004298750663114,1.2821646791663823,0.8991332549655768,-0.19334118900544617,-0.28684092777725057,0.21964756074275169,1.5169562441263031,0.09984168354321828,0.001999999999999999,0.00045642131007040315,False
3,AR1 alpha + Basic + Two-Step,4.0006178800317675,2.4811872518121043,3.0006178800317675,1.4811872518121043,1.2860244834944583,0.8930374866215878,-0.19316019880430435,-0.28935903271123065,0.22549189364463057,1.5480843073692117,0.09981716601322868,0.001999999999999999,0.00046808741170838663,False
3,Simple alpha + Enhanced + One-Step,2.575164892968945,2.326173798078015,1.575164892968945,1.326173798078015,0.9657441812558945,0.87710133776592,-0.34004455789982835,-0.3650688244373598,0.049919248421568335,0.05028166596780026,0.09968675074700706,0.001999999999999999,9.960638386963006e-05,False
3,Simple alpha + Basic + One-Step,2.488254216522944,1.6610341644634217,1.488254216522944,0.6610341644634217,0.9409827881655309,0.5854690413106578,-0.3500063053078869,-0.43928247591042446,0.18980079408140568,1.060062997891693,0.09999763357454966,0.001999999999999999,0.0003953805007384231,False
3,Simple alpha + Basic + Two-Step,2.4880721176141556,1.650363291466976,1.4880721176141556,0.6503632914669759,0.9409631654420861,0.57982902232054,-0.3504710425055918,-0.44135940171389487,0.19292697847101903,1.0535693880045005,0.09997445981174842,0.001999999999999999,0.00040162002060604475,False
