seed,date,strategy,NYSE:HTH,NASDAQ:HOPE,NASDAQ:PCRX,NYSE:ARW,NYSE:VST,NASDAQ:NEOG,NASDAQ:AAOI,NASDAQ:ZBRA,NASDAQ:TCBI,NASDAQ:CSTL,NASDAQ:WDC,NYSE:HLF,NASDAQ:IRMD,NYSE:BCC,NASDAQ:CRDF,NYSE:IBP,NYSE:PBI,NASDAQ:MDB,NASDAQ:PNFP,NYSE:FDX,NYSE:GKOS,NYSE:MTZ,NYSE:TFC,NASDAQ:TSCO,NYSE:TRI,NYSE:ROG,NYSE:NEM,NYSE:IDA,NYSE:SMG,NYSE:GNRC,NYSE:FCF,NASDAQ:SAGE,NYSE:ELAN,NASDAQ:INTC,NYSE:UVV,NYSE:MLR,NYSE:TRU,NASDAQ:EBAY,NYSE:OMF,NYSE:MAS,NYSE:BBW,NASDAQ:SPSC,NASDAQ:PFG,NASDAQ:EEFT,NASDAQ:OSW,NASDAQ:TBBK,NYSE:MOH,NYSE:CRK,NYSE:LC,NASDAQ:LIVN
14,2020-03-20,simple,0.10000002190345933,2.1903479983667486e-08,2.1903479835186975e-08,0.10000002190137851,2.19034784465019e-08,2.1903495048040575e-08,0.10000002190342389,2.1903480018841188e-08,2.1902607820214615e-08,0.10000028473386198,2.190347980535632e-08,2.190347991730294e-08,2.1903906951211854e-08,2.190426794924789e-08,0.10000002190537693,2.1903491777218393e-08,2.7779434615272945e-07,2.1903479064787824e-08,2.1903480040294878e-08,2.190347993105372e-08,2.1900634757089418e-08,2.190348044808084e-08,2.1903486456401724e-08,2.1903477531194572e-08,2.1903480087762594e-08,2.1896234576889115e-08,2.190348002159426e-08,2.1901834943054147e-08,2.1903489820807075e-08,2.1903480156269405e-08,2.190347995537809e-08,2.1903481650487275e-08,2.1903478425221463e-08,2.1903476503655555e-08,2.190351641941404e-08,2.1903480032773013e-08,2.1903478231218416e-08,2.1903487554456277e-08,0.10000002206524397,2.1903105071627334e-08,0.10000002190444678,0.10000002190349028,2.190348007275639e-08,0.10000002190347287,0.09999840789267064,2.1868281713880517e-08,2.1903480121353992e-08,2.1903476430208226e-08,2.1903450519179695e-08,2.190351057589459e-08
14,2020-03-23,simple,0.09999984965012809,0.0,0.0,0.0,0.0,0.0999998935751498,0.09999975183295916,0.0,0.0,0.09999966283925787,0.09999992072469337,0.0,0.03954823666371997,1.1157720132527272e-07,0.0,0.0,1.6628644075740772e-07,0.09999986771296251,0.0,7.079921552046899e-09,1.469434190611263e-07,0.0,0.0,0.06045293933148773,0.0,7.464316475890592e-08,5.962300758131601e-08,9.31588035017072e-08,0.0,0.0,0.0,4.4150482830126305e-08,0.0,0.0999998956171619,4.115232076225602e-08,0.0,8.747065683172523e-08,2.492514681273701e-08,0.09999966277287353,3.302908880548197e-08,0.0,0.0,0.0,0.0,0.09999927638528708,1.3111645199964837e-07,0.0,0.0,0.0,2.1738212308014287e-08
14,2020-03-24,simple,0.10000008763935476,7.918678204172804e-07,1.4487462751617535e-06,1.3640469475600515e-06,4.4131860389787255e-07,0.1000035993425366,0.09999980458707505,1.654623783659082e-06,0.0,0.10000323254003472,0.09999709102748923,1.2112214694637533e-06,0.027200304037039293,0.0,3.0474199823747084e-06,6.99080984734647e-07,0.0,0.09999912357817449,4.727903674563546e-07,1.673806737129787e-06,0.0,6.256490533981678e-07,5.7958908796169016e-08,7.080842781437576e-06,5.790307765311727e-07,0.0,0.0,0.0,0.0,5.297423969973111e-07,7.442693755478619e-07,0.0,1.265956970246112e-06,0.10000027766051413,0.0,1.6818330000590134e-06,0.0,6.207164170448433e-07,0.09999986407949064,0.0,5.07217896959406e-06,0.07276559938365493,0.0,1.5530986620258182e-06,0.09999812517099703,0.0,2.9310051960638676e-08,2.4544330369196654e-07,0.0,0.0
14,2020-03-25,simple,0.09999807115237994,0.0,0.0,0.0,0.0,5.316894209273332e-07,0.06342985473431054,0.0,0.0,0.03658821232616408,0.0999968667943911,0.0,0.0,0.0,0.09999687194947735,0.09999693289827498,0.0,0.0,0.0,0.0,0.09999737955261835,0.0,0.0,3.179165024415516e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999813498014627,0.0,2.9960239076783907e-07,0.0,0.0,0.09999746950496248,0.0,1.2966654144330284e-06,0.09999748760303345,0.0,0.0,0.0999974113819907,0.0,0.0,0.0,0.0,0.0
14,2020-03-26,simple,0.09999764847876726,3.50949101206104e-08,7.111655331518571e-07,0.0,0.0,1.0974148060501123e-07,0.0,9.783779615391888e-07,0.0,0.018043373247121998,0.09999712712610409,7.539900152137092e-07,0.0,0.0,0.09999919566703162,0.09999897047875532,5.718530282611898e-07,0.0,2.1908503171579047e-07,1.274259311094322e-07,0.09999915438555548,2.921256882858895e-07,0.0,9.02422363860336e-07,5.978117104992559e-07,1.558626239838549e-06,0.0,4.0142763634903847e-07,3.695708408669436e-07,6.102756951105753e-07,0.0,0.0,0.0819576341252857,0.09999881847249469,8.766935822342179e-08,4.111593768907774e-07,6.252663493360296e-07,7.979156599999072e-07,0.09999810412412176,1.3701573844214002e-07,1.5484876912973801e-06,0.09999865983690953,0.0,7.611372865488861e-07,0.0999969777228879,6.157034016174366e-08,9.485808389921319e-07,5.486745376560654e-07,1.6986372072232652e-07,0.0
14,2020-03-27,simple,0.0,1.4208339994867172e-07,4.240604513545714e-07,3.6380152265001195e-07,5.0904190581302934e-08,0.0,0.0999991676354404,6.550397915230844e-07,2.729892869983982e-07,0.09658004232587816,0.09999892110543793,2.969860113903986e-07,0.0,0.0,0.09999978352273052,8.151526212007944e-07,0.0,0.0,6.771040621452906e-08,0.0,8.334473226721751e-08,3.664581551743518e-07,3.364890918317502e-07,0.004012956364193837,2.8518042020479955e-07,6.595869159977904e-07,2.2727048675779877e-08,0.0,4.1917964414067243e-07,4.242544012556362e-07,0.0,0.0,0.09999992643095675,0.09999914369864582,0.0,1.5103490767177308e-07,3.156941816464178e-07,1.5216877206753149e-07,0.09999964419413068,2.798986320037986e-07,8.451604823026651e-07,0.09999923089509938,3.8941343940851946e-07,5.483433896075209e-07,0.09999982079308303,0.09940176588463243,5.846011620905429e-07,1.7690991568440746e-07,4.081797475998301e-07,5.979704945644072e-08
14,2020-03-30,simple,1.210174038332066e-08,6.747388369155028e-08,0.0,1.2688770263861252e-07,3.084591039177292e-08,0.09999978357864069,0.0999996465382639,7.458396263585094e-09,2.4705578489104916e-08,0.10000000980029099,0.09999962273782122,0.0,5.942985672975065e-09,1.2533278925571152e-08,0.09999990748655119,4.623417954533877e-08,1.4538523989102697e-08,5.411643217272751e-09,3.207388743612604e-08,1.081406031679528e-08,3.610021688297934e-08,1.123511198758649e-07,7.290046563264159e-09,5.175284856790162e-07,5.802112196874705e-08,6.323796549855581e-09,1.733300196242275e-08,1.2146636819750052e-08,1.611212606841424e-08,4.237036512708888e-09,8.108304908515965e-09,1.3996620709852534e-08,0.09999996249085716,0.09999965719903596,8.68094824070343e-09,6.704204637305695e-08,0.0,6.09303498430125e-08,1.542035011710641e-08,1.2349738083096608e-08,3.207806514786982e-07,0.09999967805967667,0.0,0.0,0.09999994760158135,0.10000003129512766,2.0319861161207467e-08,7.822791614608621e-09,1.058000781976276e-08,2.2715122883455444e-08
14,2020-03-31,simple,0.0,0.0,0.0,0.0,0.0,0.0999992080096861,0.06409315390995077,0.0,0.0,0.09999845865533587,0.09999840310804824,0.0,0.06516324780563916,0.0,0.09999827495713949,0.0,0.0,3.0747845159436716e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0018431014558250398,2.0624987630762194e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.09999844230166789,0.06891225500413195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999849345242924,0.0,0.0,0.09999831906313618,0.09999843295234939,0.0,0.0,0.0,0.0
14,2020-04-01,simple,1.1767741726830114e-06,8.722109690990096e-07,1.0022636886462757e-06,5.912970673714701e-07,6.297653937520228e-07,0.07102277044404025,0.10000356998794802,5.051616664747212e-07,4.39098049497148e-07,0.09999996774246224,0.09999898009213636,6.21134895463044e-07,2.545074834460907e-06,1.0843847133868277e-06,0.0,0.0,4.523574234971284e-08,1.37443406064271e-06,5.949573542615018e-07,7.118790173945641e-07,0.0,3.49711195022343e-07,0.0,0.10000249149702466,0.10000139105389731,9.36627221566494e-08,0.043992791912484695,6.390441308951521e-07,0.0,0.0,1.3604813675198197e-06,3.6124163887035064e-07,0.012277281915437616,0.10000100814990173,1.5415374545215429e-06,1.6801225355351983e-06,7.003668703813634e-08,5.781108713162e-07,0.0,1.756962562197722e-07,5.819714963172085e-07,0.09999987943399302,0.0,0.0,0.09999883516766543,0.0,0.0,0.07268113919088146,7.223158901032468e-08,1.958925571407738e-07
14,2020-04-02,simple,0.0,0.0,0.0,0.0,0.0,0.0999982768216027,0.09999824844373942,0.0,0.0,0.09999855768292147,0.09370523007514303,0.0,0.0,0.0,2.3619644324985293e-07,2.920275114431982e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.460259050187293e-08,0.09999809181959783,0.09999840134116433,0.0,0.09999816863569061,0.0,0.0,0.0,0.0,0.0,0.0063085405497766665,0.0999983941402024,0.0,0.0,0.0,0.0,2.913749077617195e-07,0.0,0.0,0.09999830892582344,1.6038543565637608e-07,1.117894843743671e-07,1.8838184060529912e-07,5.49074973936254e-08,0.0,0.0999984118986271,0.0,0.0
