seed,asset
11,NYSE:HTH
11,NASDAQ:TER
11,NASDAQ:RCMT
11,NYSE:EW
11,NYSE:WAT
11,NYSE:STZ
11,NYSE:YETI
11,NASDAQ:XP
11,NASDAQ:VRRM
11,NYSE:CNS
11,NASDAQ:LKFN
11,NASDAQ:HRTX
11,NYSE:FIX
11,NASDAQ:PBYI
11,NYSE:BCC
11,NASDAQ:MRNA
11,NYSE:ROL
11,NASDAQ:TRS
11,NASDAQ:WIX
11,NASDAQ:ZBRA
11,NYSE:YUMC
11,NASDAQ:QRVO
11,NYSE:NFG
11,NASDAQ:POOL
11,NYSE:VZ
11,NASDAQ:FIVN
11,NYSE:NPO
11,NASDAQ:SPSC
11,NYSE:AON
11,NASDAQ:ATEX
11,NASDAQ:CRUS
11,NASDAQ:HOPE
11,NASDAQ:HLIT
11,NYSE:FL
11,NYSE:IT
11,NASDAQ:GBDC
11,NASDAQ:ROKU
11,NYSE:TREX
11,NYSE:SMP
11,NYSE:LXU
11,NYSE:BBDC
11,NYSE:USM
11,NYSE:MTD
11,NYSE:ASGN
11,NYSE:SO
11,NASDAQ:NMFC
11,NYSE:PBH
11,NASDAQ:TILE
11,NYSE:NOV
11,NYSE:WTRG
