seed,date,strategy,NYSE:HTH,NASDAQ:TER,NASDAQ:RCMT,NYSE:EW,NYSE:WAT,NYSE:STZ,NYSE:YETI,NASDAQ:XP,NASDAQ:VRRM,NYSE:CNS,NASDAQ:LKFN,NASDAQ:HRTX,NYSE:FIX,NASDAQ:PBYI,NYSE:BCC,NASDAQ:MRNA,NYSE:ROL,NASDAQ:TRS,NASDAQ:WIX,NASDAQ:ZBRA,NYSE:YUMC,NASDAQ:QRVO,NYSE:NFG,NASDAQ:POOL,NYSE:VZ,NASDAQ:FIVN,NYSE:NPO,NASDAQ:SPSC,NYSE:AON,NASDAQ:ATEX,NASDAQ:CRUS,NASDAQ:HOPE,NASDAQ:HLIT,NYSE:FL,NYSE:IT,NASDAQ:GBDC,NASDAQ:ROKU,NYSE:TREX,NYSE:SMP,NYSE:LXU,NYSE:BBDC,NYSE:USM,NYSE:MTD,NYSE:ASGN,NYSE:SO,NASDAQ:NMFC,NYSE:PBH,NASDAQ:TILE,NYSE:NOV,NYSE:WTRG
11,2020-03-18,Simple + Baseline,1.548235625284814e-07,1.0925542175854691e-07,-1.87786651352335e-06,2.0482390338065955e-07,2.8661526024343125e-07,-2.9242728167190158e-08,1.1212674303999158e-07,1.1093099432582718e-07,1.1737622331814598e-07,1.267401518727074e-07,1.0408332241739334e-07,0.10000003294921656,1.0029232622266508e-07,0.10000004300587453,1.1651653787648857e-07,0.10000002154794847,-3.89796222073506e-07,1.1165177141750694e-07,1.0967943940308273e-07,0.10000005133709775,1.0100141637043356e-07,1.0421033742867023e-07,1.1419418731212709e-07,0.10000004891067682,-1.6669945138142345e-06,-4.320146993590055e-08,1.3309348624978086e-07,1.1795156360361503e-07,-4.0786550214036305e-07,1.012967464918442e-07,1.0757776086568746e-07,9.066866779951e-08,9.807581539958749e-08,1.0399314841045412e-07,1.0130718169397408e-07,1.1873658051118883e-07,-2.960444417350981e-07,1.0818375537098894e-07,-4.1483971348596736e-07,1.0197524692061154e-07,1.382300704115097e-07,0.1000000553299831,0.10000005158590206,0.10000005784309718,8.353470866886101e-07,1.206794980665699e-07,0.10000005507557788,1.8291182222897313e-07,1.0776682860143924e-07,0.10000005613651909
11,2020-03-19,Simple + Baseline,2.4751723917963016e-08,-3.482132107136965e-09,-1.1700470847109458e-06,4.9836513811482814e-08,9.905143992442621e-08,-8.647089115518715e-08,-2.4013119776138585e-09,0.10000029873476218,5.804355332371211e-10,9.836599806764733e-09,-7.854784822387234e-09,0.09999994466451506,-8.852270812519907e-09,0.09999994996629297,1.0460749928036319e-09,2.707302837152251e-07,-2.963496127751441e-07,-1.9798988218846465e-09,0.10000036366623254,2.1918502673256902e-07,-8.283791997226432e-09,-6.7886262107893415e-09,1.877344101894139e-09,0.09999995719567283,-1.0457983294046164e-06,-9.394217890069254e-08,1.37795517368869e-08,3.859205911510465e-10,-3.065543184914698e-07,0.10000031164491986,-8.024710768083892e-09,-1.4579417515274947e-08,-1.2236630621723168e-08,-6.66862895665081e-09,-1.1224127015921757e-08,4.140425222430839e-10,0.1000002976917453,-6.1558189241036e-09,-3.1189446600924343e-07,-9.85938961966591e-09,1.3952044451392997e-08,2.64925028132884e-07,3.802212742379188e-07,0.09999996130780216,4.221299058871765e-07,6.257609978366795e-09,0.09999996101269251,4.375095331810025e-08,0.10000033681000661,2.1507281648500432e-07
11,2020-03-20,Simple + Baseline,4.399371712435191e-11,-1.2553045273725471e-09,0.10000000692914265,7.697572184565984e-09,2.332088742628549e-08,-4.0330243344787943e-08,-3.110152399202656e-11,1.3954381727029833e-09,-4.635288271965133e-10,-3.832148209512968e-10,-7.005946000405232e-10,0.09999999429527019,-6.114416145473586e-09,0.09999999430437208,1.666540878579385e-10,0.09999999079806637,-1.3543102475521171e-07,-1.6112875976304858e-10,8.858121379183126e-10,0.1000000147888985,-8.846885861585237e-09,-3.8821027227919205e-09,-3.4066127010236618e-09,-4.955282621057965e-09,0.0476279991255393,0.07219020671726022,1.4326504779356498e-10,-5.959900665368392e-10,-1.1528390634368876e-07,8.968142554835139e-10,-9.235404651731774e-10,-1.0393240996095841e-08,-2.0884347142306025e-09,-3.1313291110410185e-09,-7.293891861058633e-10,-3.720423066901079e-10,0.100000041269748,-1.657237792509957e-09,-6.717767542297536e-08,0.0801819661627639,-2.773085965579075e-10,2.576199204206355e-08,4.0455486682986267e-08,-3.5382752986767456e-09,7.503401480335094e-08,-1.295859852809633e-09,0.09999998551918984,2.4022015588726643e-10,0.10000001038870733,2.714249527080887e-08
11,2020-03-23,Simple + Baseline,4.965228918747544e-09,-4.982901135513655e-08,0.09999986213505864,-5.420858981968131e-08,-8.416156408905616e-08,-7.02480719946556e-08,1.266038496391094e-08,2.4751586871687747e-09,8.18832501387637e-09,-1.832250715813807e-08,5.971938333782031e-09,0.09999994664652133,-7.180252273033859e-08,0.09999994946271787,1.9915527635493714e-08,0.09999994286661404,-1.450600496892542e-07,7.401185428144055e-08,-1.8614984932762969e-09,0.06232444093936371,0.09999989618708158,2.1410250314038383e-08,-5.899208548327791e-09,-3.4828847537199486e-08,-9.784953211167439e-08,0.09999988561338075,3.089816126089525e-08,8.405977617911137e-09,-1.0407187636196618e-07,-2.1085173092669996e-09,-2.8856551603783786e-09,-6.985398849164346e-08,-1.760772476691137e-08,-1.645851063583327e-08,-2.0954479729644566e-09,4.7818360304986174e-09,0.10000002725867563,-9.86334150200598e-09,-5.3232720816068627e-08,0.09999995622497063,7.367022070330914e-09,-2.4547709778839958e-08,-4.495713444937409e-08,-3.932585948748013e-08,-3.73332357698436e-08,1.3882883026154864e-08,0.09999987721048305,7.755910442478308e-09,0.0376771052223707,-5.335615695832358e-08
11,2020-03-24,Simple + Baseline,-1.8159574033494227e-06,-1.936772965766981e-06,0.09999785195535048,-6.932703730844897e-07,-1.0227030858963676e-06,-2.2231597442956471e-07,-9.594663995462281e-07,-1.0849583313394581e-06,-1.7103323545383375e-06,-7.528349458207252e-07,-1.357320015554218e-06,0.09999947187857118,-6.265780789299567e-07,0.09999813831393926,-1.761509275954454e-06,0.10000269554233714,8.883594497113061e-07,-2.2504401727683035e-06,-1.665174240608221e-06,0.0271543139872005,0.07291147020891832,-1.7599332002702624e-06,-1.4446617816415161e-06,-1.844484847986053e-07,1.1520860088254635e-06,0.09999542262046765,-1.4572166667137272e-06,-2.63600047187127e-06,-1.0214838830072372e-06,-1.4636026141765056e-06,-2.272012706855688e-06,-3.591055346934471e-07,-3.1059586616309064e-06,-3.467975328776382e-07,-2.2929050368538255e-06,-1.2491834093135611e-06,0.09999435515312295,-1.7102481042656265e-06,-4.075601906218762e-06,0.09999428773785858,-1.1602710156496539e-06,-4.854980407273585e-07,5.522598656995408e-07,-1.271989937931377e-06,1.024018507310115e-06,-3.3666962054738547e-07,0.09999757171224559,-1.309382961294326e-06,0.09999802718593519,5.910715980003933e-07
11,2020-03-25,Simple + Baseline,-2.745351465494181e-08,-2.4217926114093816e-07,0.099999446991861,-1.4310931290897552e-07,-2.165667396554774e-07,-7.517431869686061e-08,-1.3558287203192736e-07,-5.821497319207354e-08,-9.501344514125687e-08,-6.123716885142874e-08,-7.744542663016711e-08,0.09999998546323079,-1.28343048518186e-07,0.09999978731951634,-1.1371411994560482e-07,0.09999989671333988,-4.393553758264303e-07,-2.549645210267584e-07,0.09999999985392564,0.09999994385794256,0.09999987242899334,-2.501784466790431e-07,-1.6182387257063825e-07,-1.7088558072172756e-08,3.7729214415666553e-07,0.09999884231442344,-2.5473543728604655e-07,-1.4414404730088162e-07,-2.3401223776303095e-07,-5.904227445651196e-08,-1.1167623526597433e-07,-1.5986564810636206e-07,-4.185516189029518e-07,-1.1622386044250074e-07,-1.2814594982148528e-07,-3.679613492246699e-08,0.0999994914700244,-1.4605283010423324e-07,-1.0490995704668718e-06,0.0999992597440356,-2.1887163672852465e-08,1.1945723743444443e-09,4.328638944143559e-08,-6.113234807947845e-08,-1.796349500958654e-07,-6.176782254748126e-08,1.5157011933553753e-07,-8.942623118382364e-09,8.725191902176589e-06,-1.384553314338906e-07
11,2020-03-26,Simple + Baseline,-5.80366100334721e-08,-1.2434460989397576e-07,0.09999971889383766,-9.108973735176127e-08,-1.0957907317312807e-07,-4.71903794440856e-08,-2.4583636108547666e-08,-4.941009271684218e-09,-1.5970305928922393e-08,-5.205039200628633e-08,-4.6652344246397924e-08,0.0999999657195108,-5.896730172504291e-08,0.09999987059228457,-7.076411241987086e-08,0.10000012143252954,-8.73765617505339e-08,-4.8628577950942065e-08,0.09999994907590876,0.080523989047663,-3.049591467043834e-08,-1.2966981867309235e-07,-6.782522376379648e-08,-4.619957486414308e-08,3.226665654474831e-07,0.099999496523627,-6.793539831696506e-08,-7.128179505544597e-08,-1.7155608086437918e-07,-6.627319393787146e-08,-7.92277587218186e-08,-5.4676628745660204e-08,-1.3794469955764615e-07,3.1621384106759614e-09,-4.9918587508037e-08,6.239431587447483e-09,0.0999997609575826,0.01947871264384006,-2.7750525806895177e-07,0.09999986238247136,-1.4730017703667364e-08,-8.816390059825047e-09,-2.2493846681194697e-09,3.828485961786021e-08,-1.895408272295709e-08,1.9986724176583473e-08,0.09999988402743769,-3.361929652445341e-08,4.497148931950128e-07,-2.546284540613229e-09
11,2020-03-27,Simple + Baseline,-3.367615356876129e-08,1.3089226788654256e-07,0.1000005542297819,2.5223392607267413e-07,1.5912185946259633e-07,0.08057347754343662,6.484439608172141e-08,-1.0582192455744623e-08,1.5607070953433634e-08,8.153675988479068e-08,-1.6717558486009312e-07,0.10000007165357401,5.5730252173220684e-08,0.10000032641601712,-9.685746633006894e-08,0.10000032443245917,5.465129499522686e-07,-1.1121994076603065e-07,2.951978293876537e-09,5.764283578403031e-07,5.295920540436261e-07,1.2319673876089276e-07,6.76581739445105e-08,-1.5180280292034048e-08,4.521355949038011e-07,0.10000026649231834,8.586074676350404e-09,0.10000009398599835,3.3417730982488497e-07,-1.1922372079840558e-08,3.85144053582642e-08,1.775737021696772e-07,2.1084952338473725e-08,1.1364931491423351e-07,0.019420091177304005,7.002218206410467e-08,0.10000018054072919,1.2516681195426057e-07,2.423738430285419e-07,0.1000002245940679,1.2073029825337767e-07,-1.4446792341292986e-07,1.186476036018e-07,-5.272998075971127e-08,1.830183446384948e-07,1.4062275141573976e-07,0.1000001503792701,-8.44492457065081e-09,3.5847265727386954e-08,9.707537609637131e-08
11,2020-03-30,Simple + Baseline,1.316919484231315e-08,6.285134587816544e-08,0.1000001388608754,5.127897686408232e-08,3.7846733771528204e-08,0.04513838810108953,7.270689900039927e-09,-3.990757242842412e-09,1.1534381595113963e-08,6.883899188460632e-09,-2.177197723297036e-08,0.10000004068152783,1.1732944954075507e-08,0.10000005583468065,3.5982431061372566e-09,0.10000014666006482,6.119126160077056e-08,-5.5943236904861906e-09,8.083316472463755e-09,1.5561255277265395e-07,3.675773350443695e-07,3.726548469848166e-08,4.14053716941144e-08,0.024917648073316097,2.1955057567702202e-07,0.10000029144257964,1.2801569072002263e-08,0.10000006129561927,9.312862207150093e-08,8.503021386378973e-09,2.1735606558962773e-08,3.7372186540594623e-08,4.46787678254154e-08,9.768238326912945e-09,0.029941067461915567,3.9453138736661575e-09,0.10000015513306154,3.304259246002298e-08,2.513141518092706e-07,0.10000012177086642,1.1094947562155543e-08,5.385276292310728e-08,3.729530711823937e-08,3.833580035775172e-08,4.043555079354851e-08,8.57230960239115e-09,0.10000006530397691,1.3649396231241402e-08,7.418064768250581e-09,2.5515375149014954e-08
11,2020-03-31,Simple + Baseline,-1.1315492673451123e-07,-9.83825184097983e-08,0.09999976998084999,4.775862126393277e-08,-3.310452276012658e-09,0.015023023478763905,-1.0837696653074648e-08,-5.591784756162935e-09,-8.454286894104773e-08,-2.51759056139869e-08,3.0763423898506607e-09,0.10000001755455022,-4.465334762292222e-08,0.09999994077521787,-5.915295375211746e-08,0.09999994476163361,2.6769014841858984e-09,-1.0543923166955837e-07,-4.6080873763405626e-08,-1.1941583363689383e-07,-7.952208381295655e-07,-6.413322051836099e-08,-1.217865438752573e-07,0.052822019381521694,-3.2625899554007257e-07,0.0999995040448599,-5.933788952431806e-08,0.09999983396075582,-7.778699253363418e-08,0.03215932581151088,-5.972251949210878e-08,-4.208464982322927e-08,-9.63225903601355e-08,1.328201984718297e-08,1.0737418552097088e-09,-4.256704071447468e-08,0.09999972869259938,-3.362257798476907e-08,-4.1532874371564675e-07,0.09999967600655126,-5.0198600153206644e-08,3.4091022852822616e-09,1.0013800523071506e-07,-7.01391724122582e-08,7.818318484671621e-08,-1.5089978250976002e-08,0.10000002672325935,-7.87555568241133e-08,-6.095253809143076e-08,6.682136652608756e-08
