date,seed,strategy,asset,target_weight
2020-03-25,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-03-26,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-03-27,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-03-30,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-03-31,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-01,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-02,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,2.157334497455889e-22
2020-04-03,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-06,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-07,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-08,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,1.6885657355189258e-22
2020-04-09,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-13,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-14,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-15,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-16,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,3.274308701798896e-23
2020-04-17,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-20,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,4.3333081714895816e-24
2020-04-21,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-22,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-23,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-24,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-04-27,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,1.602554765402095e-23
2020-04-28,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,5.178377531956296e-24
2020-04-29,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,1.1327766283338837e-23
2020-04-30,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-05-01,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,1.2200645641117006e-22
2020-05-04,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-05-05,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-05-06,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-05-07,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-05-08,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,1.1405875535452637e-22
2020-05-11,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-05-12,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,1.2080306842245071e-22
2020-05-13,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,5.660960364531496e-23
2020-05-14,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,3.002811246487309e-23
2020-05-15,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-05-18,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,7.370851327246478e-25
2020-05-19,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,1.0598719650863268e-22
2020-05-20,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,2.651752990620858e-25
2020-05-21,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,7.471969895255972e-25
2020-05-22,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,1.218497378352256e-22
2020-05-26,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-05-27,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-05-28,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,1.5272170710650698e-22
2020-05-29,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-06-01,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,8.078511778124623e-23
2020-06-02,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-06-03,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-06-04,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,4.365255709396162e-23
2020-06-05,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,2.7296862919348906e-23
2020-06-08,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-06-09,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,7.144787444325832e-23
2020-06-10,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-06-11,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,1.0012256995394897e-22
2020-06-12,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-06-15,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-06-16,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,2.151994224285182e-23
2020-06-17,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,7.078105728610215e-23
2020-06-18,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,2.2603971049378702e-23
2020-06-19,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-06-22,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-06-23,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,4.186872050019904e-23
2020-06-24,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
2020-06-25,25,Simple alpha + Basic + Two-Step,NASDAQ:FHB,0.0
