seed,date,strategy,NASDAQ:KIDS,NASDAQ:NTAP,NASDAQ:CRUS,NASDAQ:MTRX,NYSE:THO,NASDAQ:ITCI,NASDAQ:KALU,NASDAQ:MDB,NASDAQ:CRDF,NASDAQ:UBSI,NASDAQ:HWC,NASDAQ:VRA,NASDAQ:SRCE,NYSE:FL,NYSE:EGO,NYSE:BBW,NASDAQ:RVNC,NYSE:IEX,NYSE:WCN,NASDAQ:RYTM,NASDAQ:FCFS,NYSE:MC,NYSE:QTWO,NASDAQ:AOSL,NASDAQ:NFLX,NYSE:KEX,NYSE:ELAN,NYSE:SBOW,NASDAQ:CHTR,NASDAQ:CAPR,NYSE:HI,NASDAQ:RPD,NASDAQ:GEVO,NASDAQ:QURE,NASDAQ:CENX,NYSE:JOE,NASDAQ:RDNT,NYSE:PINS,NYSE:TD,NYSE:NEM,NYSE:DHI,NYSE:AMCR,NYSE:GHC,NYSE:VST,NYSE:TPR,NASDAQ:SLM,NASDAQ:NBIX,NASDAQ:AAOI,NYSE:RYAM,NYSE:CHGG
5,2020-03-18,Simple + Baseline,2.3208665487955295e-07,0.09999994948795869,-1.523280446868613e-08,-4.335878376074421e-09,-4.854716230133134e-08,1.287293462122857e-09,-7.992349278256871e-09,-8.261777805967362e-08,-2.6553223635265742e-08,-1.083814599032666e-07,-4.578993462089488e-08,3.1019990537439834e-07,-4.845253639539245e-08,4.552447181121329e-09,-3.5084432421184344e-08,-2.8175505275379945e-07,-5.004127070986268e-08,-8.532655416776123e-09,0.09999996909290117,4.800010692442543e-07,-4.588955558440358e-08,-4.2239573744848215e-08,-4.8238673640544034e-08,-2.9859910412756636e-08,0.09999996050674977,-4.384472550518129e-08,-4.2693623998910415e-08,-1.1091116456520746e-08,0.09999997027989531,7.162513398278287e-07,-3.401556200081603e-08,7.744523754318156e-09,-3.9223151929475615e-08,0.09999994807740417,1.6350486994234814e-07,0.0999999637867996,1.1631936696935472e-08,-4.997760147587421e-08,-3.9627205694946944e-07,-5.128240616466976e-09,-4.5981000985087024e-07,0.09999993371019301,-3.675121009700418e-08,0.09999996611670321,0.09999994433179243,0.09999993678674685,-1.227734628359477e-07,4.450507502360592e-07,3.051555766722133e-07,-4.851709913328167e-08
5,2020-03-19,Simple + Baseline,2.407611850352768e-07,-7.342799482794414e-07,0.10000003306981946,1.063351713221502e-07,7.777735328496877e-08,1.0642782689295102e-07,1.0252549509006865e-07,0.10000024745707767,8.895893425695972e-08,4.189206738580034e-08,8.067032794469677e-08,0.10000094591302942,7.707729296353629e-08,1.0924576506719055e-07,8.773365047342222e-08,-6.046341319822626e-08,7.927244919087718e-08,1.0006183556244362e-07,-1.2410056974540864e-06,3.86520968582033e-07,8.001669845231328e-08,8.189996632150089e-08,7.79341768647835e-08,9.297969736734023e-08,0.10000008062136177,8.0881375680147e-08,8.225244280614151e-08,9.942944728193906e-08,-9.739877722036903e-07,5.24131670902944e-07,8.64123190359202e-08,1.1031426749164125e-07,8.673372199806077e-08,0.10000007357901661,2.0242908767479927e-07,-2.1965602186836845e-06,1.1148450110581207e-07,7.513410278243173e-08,-1.256976707752267e-07,1.0364453286501536e-07,-1.6380873715690222e-07,0.10000006177938392,8.375936442446463e-08,0.10000008249727449,-1.2170410719715946e-06,0.10000006692582775,3.2970314527645355e-08,0.10000065301221348,0.10000069111710211,7.762687695586505e-08
5,2020-03-20,Simple + Baseline,-5.671010320366403e-08,-4.0794447640422316e-08,-2.6571296363847415e-08,-1.8716913884994655e-08,-4.3894026025896025e-08,-1.3331523668458286e-07,1.0715979030190121e-07,-4.645212413100731e-08,-7.784024104924995e-08,4.2193160866057146e-08,-2.146119357161804e-08,9.684807320546904e-09,-1.4487394632952441e-08,3.52311420193339e-08,-3.194391400098279e-08,0.0999998491248744,-1.1083768362332518e-07,-2.7949547275371877e-08,-4.060247401551426e-07,-5.997852968089069e-08,-3.8101772618370526e-08,-4.7033874713887986e-08,-5.018453659632114e-08,-4.46397937020176e-08,0.09999990429325964,-5.5115934201916343e-08,-6.814821160179962e-08,1.5006129941528396e-08,-2.0298257097131263e-07,-1.3813512187887987e-08,-4.816360498841186e-08,0.0026161949032160216,-8.814886684046691e-08,0.09999996026943292,6.422296555671435e-08,-3.0457844166499657e-07,-1.8990491090339807e-08,-3.077423227246943e-08,-1.603819020333302e-07,-6.441050503505762e-08,-1.7388502400216793e-07,0.09999998149377134,-3.1823305734841264e-08,0.09999995558562344,0.10000011613905678,0.10000010010866495,0.09999984334610235,0.0973865112761572,0.09999992226463086,-5.344692384036389e-08
5,2020-03-23,Simple + Baseline,2.572581111876037e-09,1.595446995028438e-08,-1.555672281873299e-09,-1.5750446133285347e-09,-2.908548388288469e-09,-3.719970718927808e-09,5.9926671788183894e-09,1.7859762431385197e-08,-2.9465932425556678e-09,5.072227899736679e-09,-1.7770458014858475e-09,-3.0992271990183943e-10,-1.6421710753383147e-09,2.8419106844988506e-08,-2.3187894128386895e-09,5.010460419614564e-09,-1.9189894904176193e-09,-1.4815686731643879e-09,-1.3212813107113902e-07,2.3726103557797705e-09,-2.8164006624527365e-09,-3.054820794757609e-09,-3.014343984830375e-09,-2.637647537604143e-09,0.09999999450159198,-3.327826751429446e-09,-4.2532983095880946e-09,5.007319169968698e-09,0.10000000378570013,0.1000000000638968,-1.9968896087686886e-09,0.10000000955829301,-1.584259218265e-09,0.10000002528194694,2.9720768113690943e-08,-4.9783535414606956e-08,-1.21002346547219e-09,-1.9701720115891294e-09,-1.438139772806175e-08,-1.2458144259417017e-09,-1.0065965665229334e-08,0.10000000274480401,-1.5778700204337478e-09,2.9532972890867714e-09,2.6477238666739204e-08,0.1000000627594151,8.865022000425001e-09,0.1000000010631664,0.1000000005982636,0.10000000033486116
5,2020-03-24,Simple + Baseline,-1.941371638764207e-06,2.467747788030068e-06,-5.70817747581381e-07,-4.23002880670879e-07,-4.5473258284101345e-07,-2.604908769265546e-07,8.515166199684459e-07,0.09999857610656074,-8.054056936719389e-07,3.44493024416723e-07,2.2192356112942835e-07,-3.246335313995943e-07,-1.462163072224331e-07,6.93541135838837e-07,-1.719907893652931e-08,-6.930337004288232e-07,1.8976096986877305e-07,-8.500718816651753e-07,1.7799633870749372e-06,4.779743285216948e-07,-2.19312457977363e-08,-5.066513364192558e-07,-3.4251956787493786e-07,2.2378381115444957e-07,0.09999717765936449,-4.215919374895085e-07,-3.1074146205079143e-07,2.2761076806908387e-07,5.247227669152697e-06,0.10000018548552236,-5.163887957275438e-07,0.09999978172538931,1.7889089340276114e-07,0.10000102545732388,8.197440154315511e-07,8.776573268652981e-07,-5.095624321956918e-07,-5.145483641626069e-07,6.730700335489776e-07,4.2420973960051583e-07,-3.6132481170047586e-07,0.09999959227903339,-4.85999689037055e-07,-4.067915007494952e-07,5.982424831538743e-07,0.10000166797239014,-6.62645204983904e-07,0.0999987852752038,0.09999914989499252,0.09999930498570044
5,2020-03-25,Simple + Baseline,-5.563409318482388e-07,4.436687597758026e-07,-5.039915245311505e-08,-2.995891084787614e-08,-3.38454373239419e-08,-2.210335407395476e-08,8.207897759956043e-08,-4.3793350562764885e-08,-4.546846791434235e-08,2.0025221011416677e-08,4.864733702440077e-09,-1.2267434632938781e-08,-2.969667146906985e-08,4.9697214511711894e-08,7.998567724813875e-09,-1.1774899794397991e-07,2.0202875538692883e-08,-1.507561071291415e-07,3.9467119632976e-07,1.5629173101155095e-07,-2.9290149163491875e-08,-5.557226383628965e-08,-5.287244549469682e-08,4.023397728294756e-10,0.09999933233221904,-4.5680651208080984e-08,-3.5498709903595997e-08,1.6167694522676078e-08,1.0121364445769602e-06,0.10000002010845081,-3.9112664775978423e-08,0.09999999710004259,5.4262682350953704e-09,0.10000033785073253,8.48432704287123e-08,1.9506508783006913e-07,-1.5826936850955596e-08,-3.712352722324018e-08,7.388731699735877e-08,5.4926378340743216e-08,0.10000002912227142,0.09999998801010819,-2.876896324221409e-08,-3.1492826461045354e-08,3.36484092693275e-08,0.1000004681333668,0.06042189077756883,0.09999991653046549,0.05079973110055073,0.08877709629693613
5,2020-03-26,Simple + Baseline,-1.1095231320497465e-07,1.3532082185947222e-07,-1.0325112186559206e-08,-1.865858968661754e-08,-1.2493882197681909e-08,8.712525459194594e-09,6.589862967821846e-08,6.047332984328603e-09,0.010497486200892272,4.267040725887066e-08,7.569882501664616e-09,2.299522476449379e-10,4.509413609201429e-10,6.110211545866744e-09,9.289914997063987e-09,-4.0415844131096526e-08,1.2986194600743515e-08,-6.332787248061127e-09,1.3624104291123199e-07,1.6136844696150582e-07,1.2011901603037698e-09,-1.7611931334955425e-09,-2.0584966483206463e-08,2.2196285863242806e-08,0.10000000384420102,7.490470517243949e-09,-1.1246644328061423e-08,-5.610348329336566e-09,0.10000011699360048,0.06214564611658732,-2.750158566658692e-08,0.1000000639879595,-7.228575389572974e-09,9.73790159711295e-08,6.111156543548033e-08,1.7472504340231778e-07,-1.4466442230535282e-08,-3.767421852841975e-09,1.237958622487718e-08,5.55910682262086e-08,0.09999998947221529,0.09999998847335959,-3.608748574956386e-08,0.027355715027667066,7.717508557158148e-09,0.10000023842796141,0.10000002988369927,-7.692482683503865e-09,0.09999997911187021,0.1000000439775116
5,2020-03-27,Simple + Baseline,4.5366771494308816e-07,-6.009666449869262e-06,-1.3969287704951707e-06,1.4199426044578718e-06,-7.474923242772662e-07,0.029749688516621124,-4.9574366703297275e-06,-1.5275686950129378e-06,0.10000120089186029,-3.6590699684236314e-06,-1.6440420484830615e-06,-2.4747238964269487e-06,-1.5825912566699429e-06,-1.1878356475135162e-06,-7.505242049202861e-07,5.4598358845903845e-06,1.0506462435932573e-06,-3.565329815610418e-06,-3.695765507645624e-06,-5.671562825246081e-06,-2.806205069297661e-07,-9.967464455398028e-07,5.147436986266532e-07,-7.068935112827605e-07,0.09998019185859164,-1.0533447324918324e-06,-1.0333091905734458e-07,-5.823294838811051e-07,0.0843134622292768,-1.1118315986736104e-07,1.2568896904133155e-06,0.09999538894918748,3.1352290114894478e-06,-4.326800574625886e-06,-4.014550993483229e-06,-9.848338179954903e-06,2.871523608780497e-07,-1.5490506218265138e-06,-4.110080601291278e-07,-2.734550449271539e-06,0.08603099785467429,0.09999736686586826,1.8980677942517112e-06,0.0999971758529869,-1.1096123409532644e-06,0.09999049667493234,-2.988688982730997e-06,0.10000014864900554,2.0973876386654184e-06,0.09999606527680459
5,2020-03-30,Simple + Baseline,7.612430233099555e-07,-6.182934594208046e-07,-2.340786356642661e-07,-1.5261770064669577e-08,1.6759409841382334e-08,2.6887344974492113e-07,-3.9859180460200744e-07,2.5591222547799397e-07,0.10000044699727403,-4.3017123469390344e-07,-3.1047493994248294e-07,-8.979101594992941e-08,-2.8629296572776405e-07,-3.166717000398959e-07,1.623452256642304e-07,7.508620295602962e-07,5.430200822041079e-07,-2.0961236422256093e-07,-6.418663539447167e-07,-4.477844318298536e-07,-2.6335949127541155e-07,-3.481108084013484e-08,-1.512093393237046e-07,-1.3720512159521397e-08,0.09999640573853617,-2.4145811087669408e-08,5.688864155711888e-08,-4.0469558956869525e-08,0.10000082163788167,-2.606905385787237e-08,-8.818784817952041e-08,0.09999963500199688,5.495047211976575e-07,0.0026905104998045486,-3.608122523694795e-07,-1.6708611887516104e-06,-6.360466994809861e-08,-1.6636125397145333e-07,-8.606003476093462e-08,-1.992100275894407e-07,2.570299122502777e-07,0.09999969197567658,5.3829517625496993e-08,0.09999964544814133,-2.2353597848847842e-07,0.099998410288053,0.10000094595776605,0.10000035469743988,1.1586179866515162e-07,0.09731673849269061
5,2020-03-31,Simple + Baseline,-1.886320645322643e-07,-2.7123340592410717e-07,-1.0821236764912143e-07,1.3330779563578517e-07,-3.2631743944702945e-08,-2.7041494074676714e-07,5.6566668592918556e-08,0.0630509162163849,0.09999960004260161,-1.724117938164192e-08,-2.7667589457135894e-08,-8.502681666506849e-08,-4.7788682281767644e-08,-3.568528898326141e-07,1.3239429915098252e-07,-4.1153332036151303e-07,-1.8845541583610246e-07,-1.2461584683883214e-07,-4.567012255660815e-07,-8.645226783446727e-07,-3.759726019848846e-08,1.7370996244919982e-07,-1.1322860370972035e-07,2.4131873359602543e-07,0.09999931377048055,1.5052776715548286e-07,-6.01052087485975e-08,-2.420870726812198e-07,0.03963940219996405,-1.314165205044183e-07,-1.0032829094823768e-07,0.09999986695176435,-2.7847789770497695e-08,0.09999782533942156,-2.2917218207762028e-07,-1.1330967261902675e-08,1.0126524392404658e-07,2.9209719250033364e-08,-6.378907845652444e-07,-9.49786876561323e-08,-3.5565296330121967e-07,0.09999939121752505,-2.236273444789759e-07,0.09999939470695841,-3.731764033689907e-07,0.09999898015245871,-5.750129142516056e-07,0.0999998414975721,-1.3847784358460532e-07,0.09732125642823605
