seed,name,avg_turnover,max_turnover,avg_max_weight,avg_cost_coeff,avg_realised_tc,has_nan_weights,gross_n_obs,gross_mean_daily,gross_vol_daily,gross_ann_return,gross_ann_vol,gross_sharpe,gross_max_drawdown,gross_cum_return,net_n_obs,net_mean_daily,net_vol_daily,net_ann_return,net_ann_vol,net_sharpe,net_max_drawdown,net_cum_return
1,AR1 + EWMA Covariance + One-Step,0.2280081724120015,1.2224348448945679,0.09999698555643141,0.002,0.0004660533294201044,False,1014,0.0013547827574516996,0.016483941872849753,0.3414052548778283,0.2616744649296284,1.3046945752603019,-0.19576839255941947,2.439523855311891,1014,0.0008887294280315951,0.01645155431758862,0.22395981586396196,0.2611603284288625,0.8575568012618977,-0.3092281054856525,1.146030475763824
1,AR1 + EWMA Covariance + Two-Step,0.23419969424488282,1.2111574272910541,0.09997146020221957,0.002,0.0004787806074166626,False,1014,0.0013539663081629635,0.016481789427844902,0.3411995096570668,0.26164029592446697,1.3040785955828753,-0.1960108230102312,2.4367995909616664,1014,0.0008751857007463007,0.016449379262478622,0.22054679658806778,0.26112580049940903,0.8445997912357455,-0.3149875603560828,1.1168533354439818
1,AR1 + Sample Covariance + One-Step,0.21922907867588176,1.45903766949467,0.09983957697709876,0.002,0.00045177138655504677,False,1014,0.0012929051961167498,0.015905788547220273,0.32581210942142097,0.25249656541394516,1.2903625397330916,-0.2336247557065918,2.2618345852605324,1014,0.000841133809561703,0.01587248225822046,0.21196572000954916,0.25196784446721743,0.8412411530437457,-0.29617618572145066,1.0647737651376605
1,AR1 + Sample Covariance + Two-Step,0.22618701314460188,1.533574820153654,0.09981631833321639,0.002,0.00046828940777097946,False,1014,0.0012950330027694235,0.01591514781156242,0.3263483166978947,0.25264513912936815,1.2917260859342579,-0.23299526688998262,2.2684114855875452,1014,0.0008267435949984441,0.015869544990887163,0.2083393859396079,0.25192121679382934,0.8270021421423647,-0.3020172054493795,1.0349799186973287
1,Simple + Sample Covariance + One-Step,0.20685951017848705,0.8986863335961176,0.0999975631641102,0.002,0.00042397990920152836,False,1014,0.000901786319884576,0.015865997822230787,0.22725015261091314,0.25186490723709026,0.9022700109507265,-0.407876027390625,1.195067548420901,1014,0.00047780641068304774,0.01591404467132765,0.12040721549212803,0.25262762732103355,0.47661934986673976,-0.4992674271421539,0.4270903305658642
1,Simple + Sample Covariance + Two-Step,0.2109312276803816,0.8948683088009115,0.09997397900998155,0.002,0.00043302444333470896,False,1014,0.0009021326418571621,0.01585804691076343,0.22733742574800483,0.25173869043045677,0.903069072772535,-0.4082148767314141,1.1961094174230453,1014,0.00046910819852245285,0.015906194769584974,0.11821526602765813,0.2525030139940691,0.46817368298991796,-0.5016610694066765,0.41473596825958303
1,Simple + EWMA Covariance + One-Step,0.20044994983134148,0.7999951080783578,0.09999713293772407,0.002,0.00040825787035490656,False,1014,0.0008718266674655801,0.016456365287521448,0.21970032020132618,0.26123670020890616,0.8410009773727654,-0.3707907863289095,1.1089846603509836,1014,0.00046356879711067345,0.016558889445100977,0.11681933687188971,0.2628642207548971,0.444409423756517,-0.46707468885604186,0.3917997719896167
1,Simple + EWMA Covariance + Two-Step,0.20390700429367054,0.7967234784754996,0.09997440447789827,0.002,0.00041505161270316397,False,1014,0.0008721200804388907,0.016455905858110215,0.21977426027060046,0.2612294069931035,0.8413075036242093,-0.3711143264964324,1.1096328914604174,1014,0.00045706846773572676,0.01655846988834413,0.11518125386940314,0.2628575604978602,0.43818885654742573,-0.46917424047575185,0.38267104684824305
2,AR1 + Sample Covariance + One-Step,0.20670539113939831,1.3710070066000082,0.09984039814422449,0.0019999999999999996,0.0004194829773255278,False,1016,0.001210856004425038,0.016436141340881574,0.30513571311510956,0.2609156550088821,1.1694802793827075,-0.24570559882855203,1.9820172172051538,1016,0.0007913730270995102,0.016398505374370924,0.19942600282907658,0.26031820256244964,0.7660855094496698,-0.3490654730815881,0.9489183893038706
2,AR1 + Sample Covariance + Two-Step,0.21298465826208932,1.4888661812017376,0.09981547502853373,0.0019999999999999996,0.0004333827331814353,False,1016,0.0012080682782921357,0.016424833145029738,0.3044332061296182,0.26073614296487746,1.1675911236081566,-0.24488414879333464,1.974142018248525,1016,0.0007746855451107004,0.016386228912422977,0.19522075736789649,0.26012331977068553,0.7504931028098343,-0.3536185020885928,0.9165580674731839
