name,avg_turnover,max_turnover,avg_max_weight,avg_cost_coeff,avg_realised_tc,has_nan_weights,gross_n_obs,gross_mean_daily,gross_vol_daily,gross_ann_return,gross_ann_vol,gross_sharpe,gross_max_drawdown,gross_cum_return,net_n_obs,net_mean_daily,net_vol_daily,net_ann_return,net_ann_vol,net_sharpe,net_max_drawdown,net_cum_return
AR1 + Sample Covariance + One-Step,0.21880598402888515,1.5641533286139526,0.09984009830915909,0.002,0.0004504863934513793,0.0,1013.44,0.0012030624282532408,0.016962954034859715,0.3031717319198167,0.2692785472635509,1.128408527936421,-0.26747567630800595,1.9582208574256526,1013.44,0.0007525760348018616,0.016918303491266107,0.1896491607700691,0.26856974185803567,0.7065603109470925,-0.37182111806347234,0.8771096306702348
AR1 + EWMA Covariance + One-Step,0.22519016250202115,1.6670864146469018,0.09999754630600675,0.002,0.00045766420270330584,0.0,1013.44,0.001252060522815477,0.018066922380173083,0.3155192517495003,0.2868035014454708,1.101427099047242,-0.30011218235543224,2.06818500155503,1013.44,0.0007943963201121715,0.01804822259740638,0.2001878726682672,0.286506651596841,0.6974517625384561,-0.4154756947947063,0.9293895987387795
AR1 + Sample Covariance + Two-Step,0.22522827744281082,1.5677634011985793,0.09981464280676274,0.002,0.00046437079694199783,0.0,1013.44,0.0012021051108917736,0.01695585940498725,0.30293048794472693,0.26916592350583135,1.1279418949610407,-0.2672824597313064,1.9553670412753987,1013.44,0.0007377343139497758,0.016909231368991764,0.1859090471153435,0.26842572638162676,0.6928160178931583,-0.3756801476541678,0.8493642259137953
AR1 + EWMA Covariance + Two-Step,0.23084631348139872,1.6490002257529213,0.09997109509440932,0.002,0.00046920624529330206,0.0,1013.44,0.0012532025593368595,0.018065319204638344,0.3158070449528886,0.2867780518228334,1.1025443681850922,-0.29973909810669797,2.0721231123359756,1013.44,0.0007839963140435576,0.018046125315487403,0.19756707113897648,0.28647335827852016,0.6882701740105809,-0.4194189632110446,0.9096387132668354
Simple + EWMA Covariance + One-Step,0.195900549447923,0.7653875061402766,0.09999761255256967,0.002,0.000395797059220779,0.0,1013.44,0.0011234193577975705,0.018282728812894073,0.28310167816498777,0.29022932235931714,0.9685171523661269,-0.36718654872546563,1.7107772132951045,1013.44,0.0007276222985767915,0.018356765884402097,0.18336081924135147,0.29140462443337556,0.619170561445657,-0.4639934978403069,0.8170716836733412
Simple + EWMA Covariance + Two-Step,0.19923780853339365,0.7681835751550943,0.09997534474250312,0.002,0.0004026131120087709,0.0,1013.44,0.001122796295232332,0.01827681078047611,0.2829446663985477,0.29013537650714466,0.9683152106077393,-0.36732226124703515,1.7091188231323668,1013.44,0.0007201831832235611,0.018350668555799858,0.1814861621723374,0.2913078323425154,0.6129012850189239,-0.4660403841128876,0.8036247907788373
Simple + Sample Covariance + One-Step,0.20107998717391198,0.8346497949095985,0.09999771417199373,0.002,0.00041362696951229456,0.0,1013.44,0.001025361083021672,0.017217577227014995,0.2583909929214614,0.2733205651303846,0.9390661136438768,-0.36296730020998313,1.4893953845373655,1013.44,0.0006117341135093775,0.017234476239878,0.15415699660436313,0.27358882864301254,0.553697109658855,-0.4575263775976703,0.6386255395317082
Simple + Sample Covariance + Two-Step,0.20475670193685933,0.8321959351554031,0.09997486426985608,0.002,0.0004211328249182853,0.0,1013.44,0.0010243903107451302,0.017211247034922692,0.2581463583077728,0.2732200764462196,0.9385188759238445,-0.36309766569468793,1.487344255310735,1013.44,0.0006032574858268447,0.01722809851818228,0.15202088642836487,0.2734875854497842,0.5460020525717403,-0.45967700857004345,0.6250279497334028
