seed,asset
10,NASDAQ:MORN
10,NASDAQ:PLAB
10,NYSE:USPH
10,NASDAQ:HWC
10,NYSE:RRX
10,NYSE:ORCL
10,NYSE:JPM
10,NASDAQ:CSTL
10,NASDAQ:PBYI
10,NYSE:SBOW
10,NYSE:USM
10,NASDAQ:VSEC
10,NASDAQ:ADBE
10,NASDAQ:WERN
10,NYSE:VOYA
10,NASDAQ:SFIX
10,NASDAQ:MDB
10,NYSE:PGR
10,NYSE:NFG
10,NYSE:MFC
10,NYSE:MDU
10,NYSE:MS
10,NYSE:ALK
10,NYSE:HP
10,NYSE:BBW
10,NYSE:WLK
10,NASDAQ:KIDS
10,NASDAQ:FHB
10,NYSE:IQV
10,NYSE:SD
10,NYSE:LXU
10,NASDAQ:MNRO
10,NYSE:SCL
10,NASDAQ:GO
10,NASDAQ:HEES
10,NASDAQ:MERC
10,NYSE:SMG
10,NYSE:LII
10,NASDAQ:UCTT
10,NASDAQ:RVNC
10,NYSE:WGO
10,NYSE:QTWO
10,NASDAQ:RPD
10,NASDAQ:HOPE
10,NYSE:JEF
10,NASDAQ:RYTM
10,NYSE:FDX
10,NYSE:IEX
10,NYSE:MO
10,NYSE:TRI
