seed,asset
15,NASDAQ:SPSC
15,NYSE:UBER
15,NYSE:SFL
15,NYSE:MTD
15,NASDAQ:ALGN
15,NYSE:TPH
15,NASDAQ:ENTA
15,NASDAQ:MGNI
15,NYSE:STZ
15,NYSE:USM
15,NASDAQ:KHC
15,NYSE:ALLY
15,NASDAQ:SRCL
15,NYSE:VMI
15,NASDAQ:PLAB
15,NYSE:GKOS
15,NYSE:MC
15,NYSE:SMG
15,NYSE:SO
15,NYSE:ES
15,NASDAQ:EVBG
15,NASDAQ:SYBT
15,NYSE:PBI
15,NYSE:CRK
15,NYSE:SD
15,NYSE:OIS
15,NASDAQ:BRP
15,NASDAQ:PEP
15,NYSE:ALL
15,NASDAQ:MTRX
15,NASDAQ:HLIT
15,NYSE:AN
15,NASDAQ:RVNC
15,NASDAQ:SIGA
15,NASDAQ:PNFP
15,NYSE:PAGS
15,NYSE:TREX
15,NASDAQ:MCRB
15,NYSE:WAT
15,NYSE:KMB
15,NASDAQ:PFBC
15,NYSE:FDP
15,NYSE:RRC
15,NASDAQ:LKFN
15,NASDAQ:WIX
15,NYSE:WCN
15,NYSE:FIX
15,NYSE:YUMC
15,NYSE:FL
15,NASDAQ:UAL
